Ecosysteem	Jaar	Extent
Agro-ecosysteem	1990	8715
Agro-ecosysteem	2018	8471
Bos en terrestrische open natuur	1990	1259
Bos en terrestrische open natuur	2018	1245
Stedelijk en bebouwd gebied	1990	3471
Stedelijk en bebouwd gebied	2018	3706
Zee	1990	3474
Zee	2018	3471
Zoetwater en estuarium	1990	167
Zoetwater en estuarium	2018	192
