LandCover	OpeningStock	Loss	Gain
Agr	8715.28	-397.34	153.36
For	1258.76	-141.29	128.08
Sea	3473.94	-3.04	0.37
Urb	3470.69	-129.34	364.47
Wat	166.97	-9.96	34.69
