NUTS1regio	Stedelijk_bebouwd_gebied	Akker_grasland	Natuur	Zoetwater_estuarium	Zee
Comunidad de Madrid	1204	3690	3074	61	0
Hessen	2170	9985	8882	79	0
Nordrhein-Westfalen	6215	19084	8530	289	0
Oost-Nederland	1188	6867	1732	1182	0
Ostösterreich	1879	12372	9070	256	0
Southeast England	3132	13395	2454	120	4
Vlaams Gewest	3705	8474	1241	172	6
West-Nederland	2209	5971	613	1235	9
Zuid-Nederland	1295	4677	1142	179	0
Île-de-France	2629	6468	2837	134	0
