Beschermingscategorie	Ecosysteem	Variabele	Waarde
Oppervlakte natuur- of bosreservaat	Vlaanderen	oppervlakte	31097
Oppervlakte natuur- of bosreservaat	Bos	oppervlakte	13619
Oppervlakte natuur- of bosreservaat	Akker	oppervlakte	405
Oppervlakte natuur- of bosreservaat	Halfnatuurlijke graslanden	oppervlakte	9195
Oppervlakte natuur- of bosreservaat	Productie en overige graslanden	oppervlakte	181
Oppervlakte natuur- of bosreservaat	Heide en landduinen	oppervlakte	2435
Oppervlakte natuur- of bosreservaat	Moeras	oppervlakte	616
Oppervlakte natuur- of bosreservaat	Kustduinen en strand	oppervlakte	985
Oppervlakte natuur- of bosreservaat	Estuaria, slikken en schorren	oppervlakte	448
Oppervlakte natuur- of bosreservaat	Rivieren	lengte	512188
Oppervlakte natuur- of bosreservaat	Stilstaande wateren	oppervlakte	1798
Oppervlakte natuur- of bosreservaat	Stedelijk en bebouwd gebied	oppervlakte	1282
Extra opp. beschermd gebied geen reservaat	Vlaanderen	oppervlakte	169196
Extra opp. beschermd gebied geen reservaat	Bos	oppervlakte	56808
Extra opp. beschermd gebied geen reservaat	Akker	oppervlakte	33328
Extra opp. beschermd gebied geen reservaat	Halfnatuurlijke graslanden	oppervlakte	12456
Extra opp. beschermd gebied geen reservaat	Productie en overige graslanden	oppervlakte	23774
Extra opp. beschermd gebied geen reservaat	Heide en landduinen	oppervlakte	6351
Extra opp. beschermd gebied geen reservaat	Moeras	oppervlakte	857
Extra opp. beschermd gebied geen reservaat	Kustduinen en strand	oppervlakte	1213
Extra opp. beschermd gebied geen reservaat	Estuaria, slikken en schorren	oppervlakte	4603
Extra opp. beschermd gebied geen reservaat	Rivieren	lengte	4231856
Extra opp. beschermd gebied geen reservaat	Stilstaande wateren	oppervlakte	4912
Extra opp. beschermd gebied geen reservaat	Stedelijk en bebouwd gebied	oppervlakte	22637
Extra opp. andere beschermingsregimes	Vlaanderen	oppervlakte	149898
Extra opp. andere beschermingsregimes	Bos	oppervlakte	67442
Extra opp. andere beschermingsregimes	Akker	oppervlakte	14843
Extra opp. andere beschermingsregimes	Halfnatuurlijke graslanden	oppervlakte	6028
Extra opp. andere beschermingsregimes	Productie en overige graslanden	oppervlakte	17468
Extra opp. andere beschermingsregimes	Heide en landduinen	oppervlakte	836
Extra opp. andere beschermingsregimes	Moeras	oppervlakte	602
Extra opp. andere beschermingsregimes	Kustduinen en strand	oppervlakte	72
Extra opp. andere beschermingsregimes	Estuaria, slikken en schorren	oppervlakte	48
Extra opp. andere beschermingsregimes	Rivieren	lengte	3823729
Extra opp. andere beschermingsregimes	Stilstaande wateren	oppervlakte	4300
Extra opp. andere beschermingsregimes	Stedelijk en bebouwd gebied	oppervlakte	37997
rest	Vlaanderen	oppervlakte	1012584
rest	Bos	oppervlakte	10072
rest	Akker	oppervlakte	422215
rest	Halfnatuurlijke graslanden	oppervlakte	13593
rest	Productie en overige graslanden	oppervlakte	160415
rest	Heide en landduinen	oppervlakte	0
rest	Moeras	oppervlakte	0
rest	Kustduinen en strand	oppervlakte	1901
rest	Estuaria, slikken en schorren	oppervlakte	481
rest	Rivieren	lengte	16126351
rest	Stilstaande wateren	oppervlakte	4932
rest	Stedelijk en bebouwd gebied	oppervlakte	389807
