value	count	c2013	c2016
493	1.39	24	8
494	8.78	5	35
495	40.68	37	3
496	4.62	21	33
497	5.15	6	33
498	22.82	5	9
499	0.07	32	27
500	27.49	8	6
501	1.11	25	15
502	51.42	35	7
503	2.35	8	38
504	1.11	33	1
505	0.4	10	20
506	1.17	10	24
507	17.67	24	9
508	5.06	24	10
509	12.27	8	27
510	9.11	3	20
511	22.82	15	10
512	0.01	24	12
514	16.42	9	2
515	3.12	7	15
516	2.62	9	39
517	0.63	33	4
518	0.26	15	8
519	2	9	25
520	1.81	26	32
521	0.41	32	26
522	0.06	34	27
523	0.35	26	37
524	12.31	20	40
525	4.19	21	40
526	32.14	11	40
527	1.67	33	24
528	4.99	9	37
529	1.12	33	21
531	2.37	10	32
532	3.26	30	34
533	46.18	24	40
536	0.13	9	36
541	5.21	9	20
542	14.83	5	31
543	0.12	27	35
544	0.14	35	27
545	0.86	36	2
546	1.96	20	5
547	50.26	9	5
548	46.53	1	5
549	0.36	8	39
550	15.7	1	34
551	28.25	39	2
552	4	38	9
553	22.6	15	40
554	11.92	21	9
555	1.54	20	10
556	1.31	9	10
557	0.12	25	10
558	0.98	25	9
559	2.14	10	6
560	5.48	10	38
561	0.34	10	39
562	1.68	14	30
563	0.14	8	30
564	1.12	32	9
568	0.25	30	36
569	0.11	9	8
570	4.86	9	21
571	6.1	2	33
573	6.5	15	7
574	2.01	1	33
575	4.27	1	40
576	0.82	32	10
577	0.09	25	27
578	7.3	32	6
579	0.62	35	8
580	0.97	33	15
581	8.92	20	3
582	4.97	3	34
583	3.65	14	32
584	10.59	1	25
585	2.19	34	30
586	1.65	33	2
588	1.95	7	32
589	0.08	7	33
590	2.65	34	6
591	1.17	33	6
592	30.01	11	33
593	3.63	36	6
594	2.9	11	10
595	0.8	1	10
596	14.51	13	37
597	2.1	39	5
598	0.09	10	11
599	1.47	8	31
600	0.26	9	15
601	6.36	38	14
602	6.88	9	30
603	0.13	8	35
604	0.71	8	34
605	3.69	14	15
606	0.25	20	22
607	1.49	2	14
608	0.16	31	9
609	0.47	9	31
610	0.29	5	15
611	5.88	10	1
612	0.36	14	34
613	3.78	3	25
614	0.29	13	33
615	0.13	26	20
616	1.77	24	33
617	10.36	5	37
618	0.01	4	13
620	1.77	14	1
621	34.18	37	14
622	0.24	1	22
623	0.1	25	3
624	8.97	14	39
625	1.31	38	13
627	0.01	9	22
628	2.08	13	36
629	1.22	7	3
630	6.64	38	3
631	1.01	14	24
632	0.97	37	9
633	0.01	6	19
634	0.09	14	9
636	2.25	38	5
637	39.76	1	3
638	1.08	3	15
640	0.1	10	21
641	0.07	32	8
642	0.42	10	30
643	29.11	40	7
644	1.56	36	14
645	69.78	40	24
646	3.41	9	35
647	3.54	32	5
648	0.59	36	4
649	0.33	8	20
650	2.45	31	13
651	0.08	27	20
652	0.11	34	3
654	0.02	8	32
655	2.23	38	8
657	2.82	4	33
659	0.02	13	9
660	0.26	30	14
661	13.31	40	1
662	10.2	6	14
664	27.83	4	40
665	2.52	40	2
666	7.51	30	40
668	2.49	31	14
669	0.4	9	34
670	2.2	10	37
671	0.22	36	9
672	7.97	31	7
673	3.82	13	14
675	4.98	33	30
676	0.83	40	11
677	0.4	40	20
678	0.6	24	14
679	0.6	14	35
680	2.05	13	39
681	0.88	13	34
682	1.46	3	36
683	1.34	13	35
684	1.57	40	21
685	0.78	40	4
686	6.62	6	40
687	23.94	40	6
689	0.89	1	36
690	0.16	14	33
691	3.33	3	33
692	0.01	20	12
693	0.73	8	11
694	1.38	13	32
695	0.26	33	3
696	2.86	39	9
697	4.92	39	3
698	1.62	26	38
699	2.79	14	13
700	1.55	13	24
701	8.3	14	6
702	0.09	34	9
703	0.05	34	10
704	0.08	36	30
705	0.34	9	4
706	0.55	3	7
707	0.41	36	13
708	1.14	34	5
709	0.01	31	10
710	11.03	2	40
711	0.09	2	8
712	0.11	35	26
713	0.07	24	13
715	0.87	38	26
716	0.05	39	8
717	0.02	31	8
718	0.76	2	10
719	0.05	10	2
720	0.79	34	13
721	0.06	13	30
722	16.77	40	30
723	0.59	4	14
724	0.25	11	8
725	0.59	21	10
726	3.44	3	10
727	0.09	20	26
728	1.79	26	35
729	2.41	5	10
730	0.18	10	35
731	0.3	37	10
732	0.18	32	13
733	0.39	13	2
734	0.01	34	14
735	0.05	13	10
736	0.03	10	13
737	0.13	8	36
738	3.18	1	14
739	0.78	36	1
740	1.04	27	8
742	0.11	10	3
743	0.66	32	14
744	0.26	10	31
745	1.32	14	3
746	1.19	3	8
747	0.84	26	39
748	0.03	26	22
749	0.85	10	5
750	0.15	13	25
751	0.19	21	8
752	0.02	20	8
753	0.33	30	8
754	0.05	26	21
755	1.54	39	10
756	0.01	22	9
757	0.06	10	15
758	0.03	10	22
759	0.03	22	24
760	0.04	25	8
761	15.29	8	15
762	0.05	22	10
763	0.12	14	5
764	0.02	8	2
765	0.01	8	3
766	0.31	40	15
767	0.17	36	3
768	0.24	39	26
769	0.06	7	34
770	0.02	5	33
771	0.02	26	1
772	0.01	26	11
773	0.01	21	26
775	0.25	35	10
776	0.27	5	34
778	0.02	4	10
779	0.02	24	22
780	0.08	33	7
781	0.14	39	13
782	13.17	7	40
783	3.36	3	14
784	0.27	5	14
785	0.48	39	14
786	0.01	13	5
787	0.01	9	33
789	0.04	33	14
790	0.03	13	3
791	0.03	33	13
794	0.06	33	5
795	0.03	35	13
796	0.01	33	9
797	0.03	5	36
798	0.04	3	13
799	0.01	25	13
