value	count	c2013	c2016
1	162.47	6	37
3	1454.2	11	37
7	615.03	15	21
8	1184.55	15	37
11	17087.76	11	15
13	18083.2	15	11
16	7121.88	20	11
17	51.35	15	25
18	182.37	21	37
19	755.28	20	37
21	1007.71	21	11
22	170.5	21	15
26	761.91	37	11
27	1485.84	21	20
28	381.6	20	25
31	539.52	37	15
32	125.95	21	25
33	68.27	25	21
36	1516.89	20	21
37	148.68	11	25
40	113.59	37	21
43	777.26	11	21
44	4000.76	11	20
50	29.75	4	39
51	115.71	15	39
52	29.96	24	39
53	92.91	15	2
54	233.01	11	39
55	1757.36	6	11
57	10.28	36	15
58	11.95	36	20
59	27.49	36	11
60	106	11	3
61	671.38	11	31
62	109.14	2	11
63	1188.5	11	6
64	209.56	25	20
65	64.33	24	11
66	564.64	4	7
67	132.57	11	2
68	29.77	15	4
70	83.69	2	6
71	117.81	25	11
72	539.91	20	31
73	331.79	15	38
74	3.31	2	25
75	80.54	25	6
76	130.22	30	7
77	177.19	2	7
80	18.94	5	11
81	316.27	6	21
82	627.07	20	38
84	213.77	21	38
85	97.86	4	6
86	4.56	4	25
87	90.98	7	6
89	96.91	6	25
90	359.32	6	2
91	153	15	36
92	332.07	37	20
94	262.38	21	6
95	62.07	24	20
96	48.89	20	36
99	31.32	20	34
100	33.29	15	34
101	106.81	6	9
102	95.72	6	4
103	45.49	2	39
105	395.62	11	36
106	3.07	7	39
108	75.77	6	5
110	289.92	7	4
111	47.03	24	37
113	590.16	15	31
114	26.79	24	21
115	11.69	24	5
116	179.43	11	1
117	663.58	11	38
118	96.12	24	25
119	88.19	21	31
120	37.6	24	15
121	29.66	31	21
122	86.37	31	20
123	126.49	4	11
124	92.53	4	31
125	210.58	31	11
127	10.12	31	24
128	131.83	20	39
131	209.11	15	24
132	21.74	11	5
133	107.71	31	15
134	58.38	38	21
135	215.62	38	15
136	120.42	38	20
137	338.11	38	11
139	161.18	3	11
140	48.27	30	11
142	41.56	3	37
144	17.11	11	7
146	170.18	24	38
147	6.2	34	1
148	3.08	24	36
150	48.19	24	1
153	22.04	15	5
154	102.87	11	4
155	147.24	15	32
160	13.27	39	11
161	11.96	31	1
162	130.39	20	32
166	41.32	21	32
167	227.97	11	32
168	15.07	9	11
169	201.31	38	24
170	3.35	34	4
172	13.05	13	21
173	37.39	37	24
176	66.17	1	24
177	7.04	24	2
179	40.42	11	30
180	98.89	2	37
181	141.67	38	2
182	78.49	4	38
183	62.58	38	4
184	38.93	38	30
185	25.57	7	38
186	111.89	4	37
187	24.14	15	30
188	38.95	13	11
189	33.53	2	32
190	13.15	20	9
195	13.5	39	20
196	13.53	30	35
198	7.17	39	15
200	17.31	24	31
202	126.86	20	24
203	82.14	2	38
206	11.17	39	21
207	88.54	1	31
208	247.97	1	38
211	16.46	20	30
213	90.24	21	1
215	5.59	4	20
216	12.85	25	4
218	7.1	39	30
220	51.43	1	32
222	100.09	2	31
223	15.9	39	1
224	269.95	1	11
225	162.69	7	30
226	120.3	1	37
227	38.24	30	37
228	24.62	11	9
231	24.57	20	4
233	42.39	32	15
234	18.11	31	4
235	46.96	11	34
236	8.22	6	34
237	40.06	32	20
238	35.04	35	21
240	43.14	35	11
241	7.28	21	36
243	29.57	31	2
244	22.59	35	1
245	115.6	11	35
246	72.76	21	35
247	124.21	35	24
249	284.08	20	35
250	12.37	35	20
251	89.78	32	11
254	125.12	3	1
257	33.04	35	15
258	134.35	15	3
259	2.01	7	20
260	7.68	7	21
261	95.81	20	2
262	5.92	2	15
263	9.02	2	20
264	24.03	3	35
265	18.39	4	35
266	1.32	30	25
267	5	30	20
268	23.9	4	1
271	232.21	38	1
273	170.82	11	24
274	13.5	1	21
275	68.69	15	35
276	41.91	24	35
277	1.5	4	15
278	42.39	30	31
279	30.33	11	13
280	56.34	37	4
281	55.72	21	39
285	13.43	4	32
286	63.59	32	4
287	0.42	14	4
288	23.42	14	21
289	0.74	25	14
290	42.77	2	35
291	13.16	32	21
292	37.62	3	24
293	61.48	14	37
295	1.94	14	2
296	84.32	30	38
297	80.77	15	14
299	43.75	3	38
301	1.9	24	34
302	7.33	7	31
303	177.56	37	2
304	78.55	32	2
305	2.67	33	20
306	50.6	21	24
307	1.7	36	24
309	3.74	36	21
310	177.8	6	38
312	55.05	6	39
313	122.86	6	31
314	17.56	30	32
315	67.18	1	39
316	68.77	25	24
318	53.64	37	1
319	15.01	15	9
321	22.04	21	13
322	6.09	21	34
323	11.26	24	3
324	84.1	24	6
325	385.77	20	14
326	25.53	6	32
327	32.51	2	24
328	39.78	21	14
329	21.89	9	38
330	28.61	9	1
331	552.1	6	7
332	38.34	9	24
333	27.9	35	30
334	55.76	6	35
335	82.92	35	2
336	103.59	20	7
337	404.47	6	24
339	4.04	4	9
344	22.61	15	33
345	1.95	5	20
346	5.71	13	38
347	207.17	6	30
348	1.92	25	2
350	26.33	21	7
352	142.68	38	6
353	2.1	5	25
354	32.51	38	7
355	11.31	14	36
356	1.87	14	25
357	90.92	37	6
358	2.54	25	5
362	207.9	7	2
363	11.03	25	1
364	31.93	7	24
365	6.32	37	7
366	43.09	9	6
367	5.63	7	9
368	9.7	7	5
369	5.42	7	25
370	32.04	5	24
371	45.45	1	30
372	76.82	3	6
373	59.35	6	3
374	20.84	31	6
375	16.99	5	7
376	101.79	25	7
377	45.51	7	11
378	46.75	24	32
379	97.38	35	4
380	2.34	25	30
381	6.86	35	3
382	2.04	24	4
383	5.25	9	3
384	2.77	24	7
385	2.34	4	36
386	6.15	31	30
387	12.11	34	15
389	7.64	4	34
390	24.6	7	1
391	22.63	1	35
392	5.14	32	7
394	0.02	34	7
396	0.64	30	33
399	20.72	37	5
400	23.29	32	24
403	12.42	7	35
404	14.4	3	31
405	2.66	5	32
407	7.49	34	2
408	82.5	1	2
409	40.64	1	9
411	10.24	34	20
412	16.11	4	24
413	10.39	34	11
414	4.13	30	9
415	27.72	30	6
417	10.97	3	39
418	5.38	2	9
420	10.01	1	4
421	31.9	2	1
422	97.12	35	6
423	28.93	39	6
424	0.15	39	7
425	5.34	14	38
426	0.79	35	14
427	1.98	39	4
428	23.93	3	9
429	7.46	37	13
432	0.92	30	15
433	26.11	30	1
434	0.57	2	36
436	6.22	33	11
437	29.94	30	39
438	6.13	24	30
440	25.01	5	6
441	18.55	37	30
442	7.08	7	37
443	10.43	13	31
444	15.64	20	33
445	12.8	39	24
446	114.45	32	1
447	21.51	5	1
448	2.47	34	21
449	5.82	5	39
451	24.97	5	38
452	2.66	31	5
453	9.47	10	8
454	11.65	1	7
455	12.46	9	7
456	0.35	25	26
457	1.58	26	25
458	9.9	38	10
460	0.53	26	6
461	0.07	6	26
462	1.38	38	27
463	0.63	10	25
465	11.55	27	38
466	9.96	6	36
467	4.8	8	24
468	4.65	31	3
469	77.54	6	8
470	5.15	1	8
471	0.05	34	8
472	1.8	10	9
473	3.67	34	24
474	0.28	27	25
475	0.06	8	10
476	17.29	14	31
477	2.43	35	9
478	0.07	20	27
479	26.35	6	10
481	15.89	32	30
482	1.11	9	32
483	29.59	35	5
484	15.03	30	24
485	10.84	32	3
486	1.98	27	32
487	16.03	2	34
488	139.07	14	20
489	12.21	3	32
490	2.21	8	37
492	1.92	37	8
