orde	waterlichaam_code	waterlichaam_naam	categorie	categorie_2	type	statuut	speerpunt_aandachtsgebied	Stroomgebied	bekken	beoordeling_eco	beoordeling_fc	totale_beoordeling_bio	beoordeling_hydmo	fb_eqr	fb_beoordeling	fb_jaar	fp_eqr	fp_beoordeling	fp_jaar	mf_eqr	mf_beoordeling	mf_jaar	mmif_eqr	mmif_beoordeling	mmif_jaar	vis_eqr	vis_beoordeling	vis_jaar	AantalBemonsterdeBiota	AantalNietRelevanteBiota	AantalRelevanteBiota	VerhoudingBemonsterdeBiotaTovRelevanteBiota
VL	VL17_206	DENDER II+III	rivier	rivier	Rg	Sterk Veranderd	Andere         	 Schelde	Dender	4	3	4	Ontoereikend	0.52	Matig	2018	0.29	Ontoereikend	2018	NA	n.r.	NA	0.5	Matig	2017	0.455	Matig	2013-2018	4	1	4	4/apr
L1	L107_131	LISSEWEEGSEVAART	rivier	rivier	Pb	Natuurlijk     	Andere         	 Schelde	Brugse Polders	5	3	5	Ontoereikend	NA	n.r.	NA	NA	n.r.	NA	0	Slecht	2016	0.25	Ontoereikend	2018	0.45	Matig	2013-2018	3	2	3	3/mrt
VL	VL05_22	ZWINNEVAART	rivier	rivier	Pb	Sterk Veranderd	Andere         	 Schelde	Brugse Polders	5	3	5	Ontoereikend	NA	n.r.	NA	0.31	Ontoereikend	2018	0	Slecht	2018	0.3	Ontoereikend	2017	0.45	Matig	2013-2018	4	1	4	4/apr
VL	VL11_1	BLANKAART WATERLOPEN	rivier	rivier	Pz	Sterk Veranderd	Aandachtsgebied	 Schelde	Ijzer	4	3	4	Matig	0.47	Matig	2015	0.34	Ontoereikend	2018	0.5	Matig	2016	0.55	Matig	2016	0.55	Matig	2013-2018	5	0	5	5/mei
VL	VL08_132	GETIJDENETES	rivier	overgangswater	Mlz	Sterk Veranderd	Aandachtsgebied	 Schelde	Nete	5	3	5	Slecht	NA	n.r.	NA	0.34	Ontoereikend	2018	0.23	Ontoereikend	2018	0.15	Slecht	2018	0.55	Matig	2013-2018	4	1	4	4/apr
L1	L107_140	SCHELLEVLIET	rivier	rivier	Pb	Natuurlijk     	Andere         	 Schelde	Brugse Polders	5	3	5	Ontoereikend	NA	n.r.	NA	NA	n.r.	NA	0.07	Slecht	2014	0.3	Ontoereikend	2013	0.35	Ontoereikend	2013-2018	3	2	3	3/mrt
VL	VL05_6	IEPERLEED	rivier	rivier	Pb	Sterk Veranderd	Andere         	 Schelde	Ijzer	4	3	4	Ontoereikend	NA	n.r.	NA	0.35	Ontoereikend	2018	NA	n.b.	NA	0.25	Ontoereikend	2016	0.35	Ontoereikend	2013-2018	3	1	4	3/apr
VL	VL11_37	WATERLOOP VAN DE HOGE LANDEN + MELKADER	rivier	rivier	Pb	Sterk Veranderd	Andere         	 Schelde	Beneden-Schelde	5	3	5	Ontoereikend	NA	n.r.	NA	0.39	Ontoereikend	2018	0.08	Slecht	2015	0.33	Ontoereikend	2018	0.6	Matig	2013-2018	4	1	4	4/apr
VL	VL08_71	DENDER V	rivier	rivier	Rg	Sterk Veranderd	Andere         	 Schelde	Dender	4	3	4	Ontoereikend	0.38	Ontoereikend	2018	0.47	Matig	2018	NA	n.r.	NA	0.5	Matig	2018	0.335	Ontoereikend	2013-2018	4	1	4	4/apr
VL	VL08_82	DIJLE VI	rivier	rivier	Rg	Sterk Veranderd	Aandachtsgebied	 Schelde	Dijle Zenne	4	3	4	Ontoereikend	0.53	Matig	2017	0.47	Matig	2018	0.2	Ontoereikend	2017	0.35	Ontoereikend	2016	0.433333	Matig	2013-2018	5	0	5	5/mei
VL	VL08_95	GETIJDEDIJLE & GETIJDEZENNE	rivier	overgangswater	Mlz	Sterk Veranderd	Aandachtsgebied	 Schelde	Dijle Zenne	4	3	4	Ontoereikend	NA	n.r.	NA	0.49	Matig	2018	0.21	Ontoereikend	2018	0.26	Ontoereikend	2018	0.54	Matig	2013-2018	4	1	4	4/apr
VL	VL17_49	LEIE II	rivier	rivier	Rg	Sterk Veranderd	Andere         	 Schelde	Leie	4	3	4	Ontoereikend	0.54	Matig	2018	0.5	Matig	2018	NA	n.r.	NA	0.3	Ontoereikend	2017	0.435	Ontoereikend	2013-2018	4	1	4	4/apr
VL	VL08_55	BOVEN-SCHELDE I	rivier	rivier	Rg	Sterk Veranderd	Andere         	 Schelde	Boven-Schelde	4	3	4	Ontoereikend	0.27	Ontoereikend	2018	0.51	Matig	2018	NA	n.r.	NA	0.35	Ontoereikend	2018	0.464375	Matig	2013-2018	4	1	4	4/apr
L1	L107_218	SLEIDINGSVAARDEKEN	rivier	rivier	Bk	Kunstmatig     	Andere         	 Schelde	Gentse Kanalen	4	3	4		0.26	Ontoereikend	2015	NA	n.r.	NA	0.43	Matig	2015	0.9	Goed	2018	0.37	Ontoereikend	2013-2018	4	1	4	4/apr
VL	VL08_27	ZWARTESLUISBEEK	rivier	rivier	Pb	Sterk Veranderd	Aandachtsgebied	 Schelde	Gentse Kanalen	5	3	5	Ontoereikend	NA	n.r.	NA	0.51	Matig	2018	0	Slecht	2017	0.4	Matig	2017	0.2	Slecht	2013-2018	4	1	4	4/apr
VL	VL05_14	VLADSLOVAART	rivier	rivier	Pb	Sterk Veranderd	Andere         	 Schelde	Ijzer	5	3	5	Ontoereikend	NA	n.r.	NA	0.52	Matig	2018	0	Slecht	2017	0.2	Ontoereikend	2018	0.35	Ontoereikend	2013-2018	4	1	4	4/apr
VL	VL11_13	VEURNE AMBACHT POLDER WATERLOPEN	rivier	rivier	Pb	Sterk Veranderd	Andere         	 Schelde	Ijzer	5	3	5	Ontoereikend	NA	n.r.	NA	0.55	Matig	2018	0.02	Slecht	2017	0.7	Goed	2017	0.5075	Matig	2013-2018	4	1	4	4/apr
VL	VL17_54	TOERISTISCHE LEIE	rivier	rivier	Rg	Sterk Veranderd	Andere         	 Schelde	Leie	4	3	4	Matig	0.49	Matig	2017	0.57	Matig	2018	NA	n.b.	NA	0.3	Ontoereikend	2016	0.481667	Matig	2013-2018	4	0	5	4/mei
VL	VL11_203	MAAS I+II+III	rivier	rivier	Rzg	Sterk Veranderd	Aandachtsgebied	 Maas	Maas	4	3	4	Matig	0.56	Matig	2016	0.57	Matig	2018	0.587	Goed	2017	0.29	Ontoereikend	2016	0.460417	Matig	2013-2018	5	0	5	5/mei
VL	VL05_50	LEIE III	rivier	rivier	Rg	Sterk Veranderd	Andere         	 Schelde	Leie	4	3	4	Ontoereikend	0.57	Matig	2018	0.57	Matig	2018	NA	n.r.	NA	0.35	Ontoereikend	2016	0.51	Matig	2013-2018	4	1	4	4/apr
VL	VL17_204	BOVEN-SCHELDE II+III	rivier	rivier	Rg	Sterk Veranderd	Andere         	 Schelde	Boven-Schelde	4	3	4	Ontoereikend	0.43	Matig	2018	0.58	Matig	2018	NA	n.r.	NA	0.4	Ontoereikend	2016	0.464375	Matig	2013-2018	4	1	4	4/apr
VL	VL17_48	LEIE I	rivier	rivier	Rg	Sterk Veranderd	Andere         	 Schelde	Leie	4	3	4	Ontoereikend	0.73	Goed	2017	0.58	Matig	2018	NA	n.r.	NA	0.4	Ontoereikend	2018	0.488	Matig	2013-2018	4	1	4	4/apr
L1	L107_242	DUIVEBEEK	rivier	rivier	Bk	Natuurlijk     	Andere         	 Schelde	Leie	4	3	4	Ontoereikend	NA	n.b.	NA	NA	n.r.	NA	NA	n.b.	NA	0.4	Ontoereikend	2013	0.32	Ontoereikend	2013-2018	2	1	4	2/apr
VL	VL05_104	DEMER VII	rivier	rivier	Rg	Sterk Veranderd	Aandachtsgebied	 Schelde	Demer	4	3	4	Ontoereikend	1	Goed	2017	0.64	Goed	2018	0.3	Ontoereikend	2017	0.4	Ontoereikend	2017	0.54	Matig	2013-2018	5	0	5	5/mei
VL	VL05_58	BOVEN-SCHELDE IV	rivier	rivier	Rg	Sterk Veranderd	Andere         	 Schelde	Boven-Schelde	4	3	4	Ontoereikend	0.46	Matig	2018	0.65	Goed	2018	NA	n.r.	NA	0.38	Ontoereikend	2018	0.42	Ontoereikend	2013-2018	4	1	4	4/apr
VL	VL05_93	ZENNE II	rivier	rivier	Rg	Sterk Veranderd	Andere         	 Schelde	Dijle Zenne	5	3	5	Ontoereikend	0.34	Ontoereikend	2016	0.7	Goed	2018	0.27	Ontoereikend	2016	0.15	Slecht	2016	0.251667	Ontoereikend	2013-2018	5	0	5	5/mei
L1	L107_254	MOLENBEEK - BEIAARDBEEK	rivier	rivier	Bk	Natuurlijk     	Andere         	 Schelde	Boven-Schelde	4	3	4		NA	n.b.	NA	NA	n.r.	NA	NA	n.b.	NA	0.5	Matig	2018	0.43	Ontoereikend	2013-2018	2	1	4	2/apr
VL	VL05_17	ISABELLAVAART	rivier	rivier	Pb	Sterk Veranderd	Andere         	 Schelde	Brugse Polders	5	3	5	Matig	NA	n.r.	NA	0.74	Goed	2018	0	Slecht	2017	0.45	Matig	2017	0.45	Matig	2013-2018	4	1	4	4/apr
VL	VL08_39	GETIJDEDURME	rivier	overgangswater	Mlz	Sterk Veranderd	Aandachtsgebied	 Schelde	Beneden-Schelde	4	3	4	Matig	NA	n.r.	NA	0.78	Goed	2018	0.7	Goed	2018	0.34	Ontoereikend	2018	0.75	Goed	2013-2018	4	1	4	4/apr
VL	VL08_41	ZEESCHELDE II	rivier	overgangswater	Mlz	Sterk Veranderd	Aandachtsgebied	 Schelde	Beneden-Schelde	5	3	5	Ontoereikend	NA	n.r.	NA	0.84	Goed	2018	0.71	Goed	2018	0.17	Slecht	2018	0.66	Matig	2013-2018	4	1	4	4/apr
VL	VL08_92	ZENNE I	rivier	rivier	Rg	Sterk Veranderd	Andere         	 Schelde	Dijle Zenne	4	3	4	Matig	0.39	Ontoereikend	2016	0.89	Goed	2018	0.48	Matig	2016	0.7	Goed	2018	0.381667	Matig	2013-2018	5	0	5	5/mei
VL	VL05_103	DEMER VI	rivier	rivier	Rg	Sterk Veranderd	Aandachtsgebied	 Schelde	Demer	4	3	4	Matig	1	Goed	2017	0.89	Goed	2017	0.3	Ontoereikend	2017	0.4	Ontoereikend	2017	0.54	Matig	2013-2018	5	0	5	5/mei
VL	VL05_102	DEMER V	rivier	rivier	Rg	Sterk Veranderd	Andere         	 Schelde	Demer	3	3	3	Matig	0.59	Matig	2014	0.93	Goed	2018	0.5	Matig	2016	0.55	Matig	2016	0.53	Matig	2013-2018	5	0	5	5/mei
VL	VL05_21	ZUIDERVAARTJE	rivier	rivier	Pz	Sterk Veranderd	Andere         	 Schelde	Brugse Polders	4	3	4	Ontoereikend	0.39	Ontoereikend	2018	0.98	Goed	2018	NA	n.b.	NA	0.65	Goed	2018	0.335	Ontoereikend	2013-2018	4	0	5	4/mei
VL	VL05_106	GETE II	rivier	rivier	Rg	Sterk Veranderd	Andere         	 Schelde	Demer	4	3	4	Matig	0.56	Matig	2017	1	Goed	2017	0.37	Ontoereikend	2017	0.48	Matig	2017	0.33	Ontoereikend	2013-2018	5	0	5	5/mei
VL	VL08_80	DIJLE IV	rivier	rivier	Rg	Sterk Veranderd	Andere         	 Schelde	Dijle Zenne	4	3	4	Matig	NA	n.b.	NA	1	Goed	2018	0.86	Goed	2016	0.35	Ontoereikend	2016	0.54	Goed	2013-2018	4	0	5	4/mei
VL	VL17_42	ZEESCHELDE III + RUPEL	overgangswater	overgangswater	O1o	Sterk Veranderd	Aandachtsgebied	 Schelde	Beneden-Schelde	5	3	5	Ontoereikend	NA	n.v.t.	NA	1	Goed	2018	0.34	Ontoereikend	2018	0.16	Slecht	2018	0.45	Ontoereikend	2013-2018	4	0	5	4/mei
L1	L107_289	DAMSLOOT	rivier	rivier	Bk	Natuurlijk     	Aandachtsgebied	 Schelde	Beneden-Schelde	5	3	5	Ontoereikend	0.52	Matig	2016	NA	n.r.	NA	0.1	Slecht	2016	0.8	Goed	2018	0.2	Slecht	2013-2018	4	1	4	4/apr
L1	L107_120	SCHEEBEEK	rivier	rivier	Bk	Sterk Veranderd	Andere         	 Schelde	Boven-Schelde	5	3	5	Matig	0.03	Slecht	2013	NA	n.r.	NA	0.08	Slecht	2013	0.35	Ontoereikend	2017	0.3	Ontoereikend	2013-2018	4	1	4	4/apr
L1	L107_240	ZOUBEEK	rivier	rivier	Bk	Sterk Veranderd	Andere         	 Schelde	Leie	5	3	5	Ontoereikend	0.08	Slecht	2013	NA	n.r.	NA	0.18	Slecht	2015	0.2	Slecht	2015	0.32	Ontoereikend	2013-2018	4	1	4	4/apr
L1	L107_91	PLAATSBEEK	rivier	rivier	Bk	Sterk Veranderd	Andere         	 Schelde	Leie	5	3	5	Ontoereikend	0.1	Slecht	2013	NA	n.r.	NA	0.15	Slecht	2018	0.2	Slecht	2013	0.2	Slecht	2013-2018	4	1	4	4/apr
L1	L107_305	ZELEBEEK	rivier	rivier	Bk	Natuurlijk     	Aandachtsgebied	 Schelde	Beneden-Schelde	4	3	4	Ontoereikend	NA	n.b.	NA	NA	n.r.	NA	NA	n.b.	NA	0.75	Goed	2016	0.415	Ontoereikend	2013-2018	2	1	4	2/apr
L1	L107_325	GROTE ASTBEEK	rivier	rivier	Bk	Natuurlijk     	Andere         	 Schelde	Gentse Kanalen	4	3	4	Ontoereikend	NA	n.b.	NA	NA	n.r.	NA	NA	n.b.	NA	0.8	Goed	2018	0.4	Ontoereikend	2013-2018	2	1	4	2/apr
VL	VL05_47	HEULEBEEK	rivier	rivier	Bg	Sterk Veranderd	Aandachtsgebied	 Schelde	Leie	5	3	5	Matig	0.11	Slecht	2016	NA	n.r.	NA	0.57	Matig	2016	0	Slecht	2017	0.325	Ontoereikend	2013-2018	4	1	4	4/apr
L1	L107_16	HARINGEBEEK	rivier	rivier	Bk	Sterk Veranderd	Andere         	 Schelde	Ijzer	5	3	5	Matig	0.12	Slecht	2013	NA	n.r.	NA	0	Slecht	2013	0.4	Ontoereikend	2016	0.55	Matig	2013-2018	4	1	4	4/apr
L1	L117_17	STEENVOORDEBEEK (WATOU)	rivier	rivier	Bk	Sterk Veranderd	Andere         	 Schelde	Ijzer	5	3	5	Matig	0.12	Slecht	2013	NA	n.r.	NA	0	Slecht	2013	0.4	Ontoereikend	2016	0.55	Matig	2013-2018	4	1	4	4/apr
L1	L107_104	NEERBEEK	rivier	rivier	Bk	Sterk Veranderd	Andere         	 Schelde	Leie	5	3	5	Matig	0.14	Slecht	2013	NA	n.r.	NA	0	Slecht	2018	0.25	Slecht	2018	0	Slecht	2013-2018	4	1	4	4/apr
L1	L107_61	VAARTDIJKGELEED	rivier	rivier	Pz	Sterk Veranderd	Andere         	 Schelde	Ijzer	5	3	5	Ontoereikend	0.14	Slecht	2013	NA	n.r.	NA	0	Slecht	2018	0.25	Ontoereikend	2017	0.5	Matig	2013-2018	4	1	4	4/apr
L1	L107_3	BROENBEEK	rivier	rivier	Bk	Sterk Veranderd	Andere         	 Schelde	Ijzer	5	3	5	Matig	0.18	Slecht	2017	NA	n.r.	NA	NA	n.b.	NA	0.45	Ontoereikend	2018	0.2	Slecht	2013-2018	3	1	4	3/apr
L1	L111_1104	DESPIERREBEEK	rivier	rivier	Bk	Sterk Veranderd	Andere         	 Schelde	Leie	5	3	5	Ontoereikend	0.19	Slecht	2013	NA	n.r.	NA	NA	n.b.	NA	0.55	Matig	2017	0.48	Matig	2013-2018	3	1	4	3/apr
VL	VL05_122	GROTE LAAK	rivier	rivier	BgK	Sterk Veranderd	Aandachtsgebied	 Schelde	Nete	5	3	5	Goed	0.21	Ontoereikend	2014	NA	n.r.	NA	0	Slecht	2017	0.25	Slecht	2017	0.55	Matig	2013-2018	4	1	4	4/apr
L1	L107_8	IEPERLEE	rivier	rivier	Bk	Sterk Veranderd	Andere         	 Schelde	Ijzer	5	3	5	Ontoereikend	0.22	Ontoereikend	2013	NA	n.r.	NA	0.5	Matig	2017	0.4	Ontoereikend	2013	0.2	Slecht	2013-2018	4	1	4	4/apr
L1	L107_83	ROOBEEK	rivier	rivier	Bk	Sterk Veranderd	Andere         	 Schelde	Leie	5	3	5	Matig	0.22	Ontoereikend	2013	NA	n.r.	NA	0.1	Slecht	2018	0.2	Slecht	2014	0.28	Ontoereikend	2013-2018	4	1	4	4/apr
L1	L111_1094	HEULEBEEK L1	rivier	rivier	Bk	Sterk Veranderd	Aandachtsgebied	 Schelde	Leie	5	3	5	Matig	0.22	Ontoereikend	2013	NA	n.r.	NA	0	Slecht	2013	0.15	Slecht	2015	0.28	Ontoereikend	2013-2018	4	1	4	4/apr
L1	L107_403	MOLENBEEK - NEERPEDEBEEK	rivier	rivier	Bk	Natuurlijk     	Andere         	 Schelde	Beneden-Schelde	5	3	5	Matig	NA	n.b.	NA	NA	n.r.	NA	NA	n.b.	NA	0.2	Slecht	2014	0.2	Slecht	2013-2018	2	1	4	2/apr
L1	L107_404	LOTBEEK	rivier	rivier	Bk	Natuurlijk     	Andere         	 Schelde	Dijle Zenne	5	3	5	Matig	NA	n.b.	NA	NA	n.r.	NA	NA	n.b.	NA	0.3	Ontoereikend	2017	0	Slecht	2013-2018	2	1	4	2/apr
L1	L107_407	GROEBENGRACHT	rivier	rivier	Bk	Natuurlijk     	Andere         	 Schelde	Dijle Zenne	3	3	3	Matig	NA	n.b.	NA	NA	n.r.	NA	NA	n.b.	NA	0.65	Matig	2016	0.46	Matig	2013-2018	2	1	4	2/apr
L1	L107_409	KLEINE MAALBEEK	rivier	rivier	Bk	Natuurlijk     	Aandachtsgebied	 Schelde	Dijle Zenne	4	3	4	Matig	NA	n.b.	NA	NA	n.r.	NA	NA	n.b.	NA	0.5	Matig	2016	0.29	Ontoereikend	2013-2018	2	1	4	2/apr
L1	L107_411	MOLENBEEK - PARKBEEK	rivier	rivier	Bk	Natuurlijk     	Andere         	 Schelde	Dijle Zenne	4	3	4	Matig	NA	n.b.	NA	NA	n.r.	NA	NA	n.b.	NA	0.6	Matig	2017	0.38	Ontoereikend	2013-2018	2	1	4	2/apr
L1	L107_413	TANGEBEEK	rivier	rivier	Bk	Natuurlijk     	Andere         	 Schelde	Dijle Zenne	4	3	4	Ontoereikend	NA	n.b.	NA	NA	n.r.	NA	0.33	Ontoereikend	2018	0.65	Matig	2018	0.38	Ontoereikend	2013-2018	3	1	4	3/apr
L1	L107_417	DE GROTE LAAK	rivier	rivier	Bk	Kunstmatig     	Aandachtsgebied	 Schelde	Dijle Zenne	5	3	5	Matig	NA	n.b.	NA	NA	n.r.	NA	NA	n.b.	NA	0.35	Ontoereikend	2014	0.2	Slecht	2013-2018	2	1	4	2/apr
L1	L107_418	MENE	rivier	rivier	Bk	Natuurlijk     	Andere         	 Schelde	Demer	4	3	4	Matig	NA	n.b.	NA	NA	n.r.	NA	NA	n.b.	NA	0.45	Ontoereikend	2016	0.46	Matig	2013-2018	2	1	4	2/apr
L1	L107_421	GENOVEVABEEK	rivier	rivier	Bk	Natuurlijk     	Andere         	 Schelde	Demer	5	3	5	Matig	NA	n.b.	NA	NA	n.r.	NA	NA	n.b.	NA	0.3	Ontoereikend	2017	0.23	Slecht	2013-2018	2	1	4	2/apr
L1	L107_422	'S HERTOGENGRACHT	rivier	rivier	Bk	Natuurlijk     	Andere         	 Schelde	Demer	5	3	5	Matig	NA	n.b.	NA	NA	n.r.	NA	NA	n.b.	NA	0.35	Ontoereikend	2016	0.23	Slecht	2013-2018	2	1	4	2/apr
L1	L107_423	BEGIJNEBEEK L1	rivier	rivier	Bk	Natuurlijk     	Aandachtsgebied	 Schelde	Demer	4	3	4	Goed	NA	n.b.	NA	NA	n.r.	NA	NA	n.b.	NA	0.4	Ontoereikend	2016	0.45	Matig	2013-2018	2	1	4	2/apr
L1	L107_424	VIJVERSLOOP	rivier	rivier	Bk	Natuurlijk     	Aandachtsgebied	 Schelde	Demer	5	3	5	Matig	NA	n.b.	NA	NA	n.r.	NA	NA	n.b.	NA	0.23	Slecht	2018	0.45	Matig	2013-2018	2	1	4	2/apr
L1	L107_431	ST-ODULPHUSBEEK	rivier	rivier	Bk	Natuurlijk     	Andere         	 Schelde	Demer	5	3	5	Ontoereikend	NA	n.b.	NA	NA	n.r.	NA	NA	n.b.	NA	0.3	Ontoereikend	2016	0	Slecht	2013-2018	2	1	4	2/apr
L1	L107_432	DORMAALBEEK	rivier	rivier	Bk	Natuurlijk     	Andere         	 Schelde	Demer	5	3	5	Matig	NA	n.b.	NA	NA	n.r.	NA	NA	n.b.	NA	0.55	Matig	2017	0.23	Slecht	2013-2018	2	1	4	2/apr
VL	VL11_59	GROTE SPIEREBEEK	rivier	rivier	Bg	Sterk Veranderd	Andere         	 Schelde	Boven-Schelde	5	3	5	Ontoereikend	0.23	Ontoereikend	2016	NA	n.r.	NA	0.07	Slecht	2016	0.3	Ontoereikend	2018	0	Slecht	2013-2018	4	1	4	4/apr
L1	L107_434	SCHEIBEEK	rivier	rivier	Bk	Natuurlijk     	Aandachtsgebied	 Schelde	Dender	4	3	4	Matig	0.56	Matig	2014	NA	n.r.	NA	0.27	Ontoereikend	2014	0.6	Matig	2018	0.625	Matig	2013-2018	4	1	4	4/apr
L1	L107_435	AREBEEK	rivier	rivier	Bk	Natuurlijk     	Aandachtsgebied	 Schelde	Dender	4	3	4	Matig	NA	n.b.	NA	NA	n.r.	NA	0.3	Ontoereikend	2016	0.45	Ontoereikend	2016	0.625	Matig	2013-2018	3	1	4	3/apr
L1	L107_439	IJSE L1	rivier	rivier	Bk	Natuurlijk     	Speerpuntgebied	 Schelde	Dijle Zenne	4	3	4	Matig	NA	n.b.	NA	NA	n.r.	NA	0.37	Ontoereikend	2017	0.8	Goed	2018	0.4	Ontoereikend	2013-2018	3	1	4	3/apr
L1	L107_441	LANGEGRACHT	rivier	rivier	Bk	Natuurlijk     	Speerpuntgebied	 Schelde	Dijle Zenne	4	3	4	Matig	0.59	Matig	2018	NA	n.r.	NA	0.2	Ontoereikend	2018	NA	n.b.	NA	0.29	Ontoereikend	2013-2018	3	1	4	3/apr
L1	L107_449	VOER (BERTEM)	rivier	rivier	Bk	Natuurlijk     	Aandachtsgebied	 Schelde	Dijle Zenne	4	3	4	Matig	NA	n.b.	NA	NA	n.r.	NA	0.44	Matig	2017	0.55	Matig	2014	0.29	Ontoereikend	2013-2018	3	1	4	3/apr
L1	L107_451	GROTE LAAK - GROTE LOOP - MESTENLOOP	rivier	rivier	BkK	Natuurlijk     	Aandachtsgebied	 Schelde	Demer	4	3	4	Matig	NA	n.b.	NA	NA	n.r.	NA	NA	n.b.	NA	0.35	Ontoereikend	2016	0.53	Matig	2013-2018	2	1	4	2/apr
L1	L107_452	LAARBEEK	rivier	rivier	Bk	Natuurlijk     	Aandachtsgebied	 Schelde	Demer	4	3	4	Matig	NA	n.b.	NA	NA	n.r.	NA	0.47	Matig	2017	0.45	Ontoereikend	2017	0.53	Matig	2013-2018	3	1	4	3/apr
L1	L107_453	ZWARTEBEEK (SCHERPENHEUVEL-ZICHEM)	rivier	rivier	BkK	Natuurlijk     	Aandachtsgebied	 Schelde	Demer	4	3	4	Matig	0.46	Matig	2015	NA	n.r.	NA	0.33	Ontoereikend	2015	0.55	Matig	2015	0.4725	Matig	2013-2018	4	1	4	4/apr
L1	L107_454	KLEINEBEEK - RIJSELSESTRAATVLIET	rivier	rivier	BkK	Natuurlijk     	Aandachtsgebied	 Schelde	Demer	4	3	4	Matig	0.25	Ontoereikend	2013	NA	n.r.	NA	0.23	Ontoereikend	2013	0.55	Matig	2015	0.4725	Matig	2013-2018	4	1	4	4/apr
L1	L107_462	LEMINGSBEEK	rivier	rivier	Bk	Natuurlijk     	Andere         	 Schelde	Dijle Zenne	4	3	4	Matig	NA	n.b.	NA	NA	n.r.	NA	NA	n.b.	NA	0.5	Matig	2017	0.38	Ontoereikend	2013-2018	2	1	4	2/apr
