orde	waterlichaam_code	waterlichaam_naam	categorie	categorie_2	type	statuut	speerpunt_aandachtsgebied	Stroomgebied	bekken	beoordeling_eco	beoordeling_fc	totale_beoordeling_bio	beoordeling_hydmo	fb_eqr	fb_beoordeling	fb_jaar	fp_eqr	fp_beoordeling	fp_jaar	mf_eqr	mf_beoordeling	mf_jaar	mmif_eqr	mmif_beoordeling	mmif_jaar	vis_eqr	vis_beoordeling	vis_jaar	AantalBemonsterdeBiota	AantalNietRelevanteBiota	AantalRelevanteBiota	VerhoudingBemonsterdeBiotaTovRelevanteBiota
VL	VL05_119	VINNE	meer	meer	Ami	Sterk Veranderd	Andere         	 Schelde	Demer	5	3	5		0.6	Goed	2014	NA	Slecht	2018	NA	n.b.	NA	0.6	Matig	2014	0.35	Ontoereikend	2013-2018	4	0	5	4/mei
VL	VL05_34	NOORD-ZUIDVERBINDING	rivier	rivier	Pb	Sterk Veranderd	Andere         	 Schelde	Beneden-Schelde	5	3	5		NA	n.r.	NA	0	Slecht	2018	0.05	Slecht	2018	0.4	Matig	2018	0.6	Matig	2013-2018	4	1	4	4/apr
VL	VL11_40	ZEESCHELDE I	rivier	overgangswater	Mlz	Sterk Veranderd	Aandachtsgebied	 Schelde	Beneden-Schelde	5	3	5	Matig	NA	n.r.	NA	0	Slecht	2017	0.61	Goed	2018	0.33	Ontoereikend	2018	0.79	Goed	2013-2018	4	1	4	4/apr
VL	VL11_19	OOSTENDS KREKENGEBIED	rivier	rivier	Pb	Sterk Veranderd	Andere         	 Schelde	Ijzer	5	3	5	Matig	NA	n.r.	NA	0.06	Slecht	2018	0	Slecht	2017	0.4	Matig	2017	0.49	Matig	2013-2018	4	1	4	4/apr
L1	L107_112	LA HAUTE PLANCHE	rivier	rivier	Bk	Natuurlijk     	Andere         	 Schelde	Leie	5	3	5	Ontoereikend	0.25	Ontoereikend	2013	NA	n.r.	NA	NA	n.b.	NA	0.15	Slecht	2015	0.3	Ontoereikend	2013-2018	3	1	4	3/apr
VL	VL08_16	BLANKENBERGSE VAART + NOORDEDE	rivier	rivier	Pb	Sterk Veranderd	Andere         	 Schelde	Brugse Polders	5	3	5	Ontoereikend	NA	n.r.	NA	0.08	Slecht	2018	0	Slecht	2018	0.13	Slecht	2018	0.485	Matig	2013-2018	4	1	4	4/apr
VL	VL17_9	IJZER III	rivier	rivier	Rg	Sterk Veranderd	Andere         	 Schelde	Ijzer	5	3	5	Ontoereikend	0.32	Ontoereikend	2017	0.12	Slecht	2018	NA	n.r.	NA	0.3	Ontoereikend	2016	0.5075	Matig	2013-2018	4	1	4	4/apr
VL	VL08_8	IJZER II	rivier	rivier	Rg	Sterk Veranderd	Andere         	 Schelde	Ijzer	5	3	5	Ontoereikend	0.68	Goed	2017	0.19	Slecht	2018	NA	n.r.	NA	0.58	Matig	2017	0.5	Matig	2013-2018	4	1	4	4/apr
VL	VL05_70	DENDER IV	rivier	rivier	Rg	Sterk Veranderd	Andere         	 Schelde	Dender	4	3	4	Ontoereikend	0.7	Goed	2018	0.2	Ontoereikend	2018	NA	n.r.	NA	0.55	Matig	2017	0.49	Matig	2013-2018	4	1	4	4/apr
VL	VL05_67	DENDER I	rivier	rivier	Rg	Sterk Veranderd	Andere         	 Schelde	Dender	4	3	4	Ontoereikend	0.58	Matig	2018	0.28	Ontoereikend	2018	NA	n.r.	NA	0.55	Matig	2018	0.4	Matig	2013-2018	4	1	4	4/apr
L1	L107_123	KANAAL VAN BRUGGE NAAR SLUIS	rivier	rivier	Pz	Kunstmatig     	Andere         	 Schelde	Brugse Polders	4	3	4	Ontoereikend	NA	n.b.	NA	NA	n.r.	NA	0.3	Ontoereikend	2016	0.8	Goed	2013	0.35	Ontoereikend	2013-2018	3	1	4	3/apr
L1	L107_124	RONSELAREBEEK	rivier	rivier	Pb	Natuurlijk     	Andere         	 Schelde	Brugse Polders	5	3	5	Ontoereikend	NA	n.r.	NA	NA	n.r.	NA	0	Slecht	2018	0.3	Ontoereikend	2015	0.35	Ontoereikend	2013-2018	3	2	3	3/mrt
