Jaartal	Relintensiteit	Plot
1980	1	Vlaanderen
1985	1.02475283874321	Vlaanderen
1990	1.04114827932687	Vlaanderen
1995	1.0577631925571	Vlaanderen
2000	1.06737156837764	Vlaanderen
2005	1.07085981919962	Vlaanderen
2010	1.08190250018846	Vlaanderen
2011	1.09104483032422	Vlaanderen
2012	1.06814419957652	Vlaanderen
2013	1.0783618421379	Vlaanderen
2014	1.08088680318704	Vlaanderen
2015	1.07862323741849	Vlaanderen
2016	1.08267613847225	Vlaanderen
2017	1.09012129727191	Vlaanderen
2018	1.08892460412248	Vlaanderen
