hoofdstuk	volledig	kort
1	Biodiversiteit: het fundament van ons ecosysteem	fundament
3	Algemene toestand en trends in Vlaanderen	toestand-trend
4	De biodiversiteit onder druk	onder-druk
5	Trends per ecosysteem	ecosysteem
