PureId	Term	TermEN
18013686	Beschermde natuur	Protected nature
18013688	Water	Water
18013690	Bodem & lucht	Soil & air
18013701	Bos	Forest
18013703	Faunabeheer	Wildlife management
18013705	Klimaat	Climate
18013707	Invasieve soorten	Invasive species
18013709	Natuur & maatschappij	Nature & society
18051200	Landbouw	Agriculture
18053942	Andere	Other
18275310	Data & Infrastructuur	Data & infrastructure
