landgebruik	jaar	type1	type2	type3
historische agro-ecosystemen	2013	2443.76	7299.98	29.45
historische agro-ecosystemen	2016	2430.84	7927.99	44.9
blijvend cultuurgrasland	2013	2111.41	22877.23	543.64
blijvend cultuurgrasland	2016	1807.42	21431.72	958.3
akker en sierteelt	2013	64.19	4346.56	683.21
akker en sierteelt	2016	67.98	3944.49	987.47
