Categorie	Aantal	Gewichtsklasse	Gewicht	Biomassa
Biggen	1.552.080	<20	10	15.521
Fokvarkens	394.815	>50	80	31.585
Jonge varkens	1.191.509	20-50	35	41.703
Koeien vanaf 2 jaar	495.484	550-650	600	297.290
Mannelijke runderen vanaf 2 jaar	12.351	550-1200	875	10.807
Mestvarkens	1.265.080	50-80	65	82.230
Mestvarkens	1.179.541	80-110	95	112.056
Mestvarkens	249.440	>110	114	28.436
Runderen (< 1 jaar)	435.269	40-360	200	87.054
Runderen (1-2 jaar)	245.056	360-550	455	111.500
Vaarzen vanaf 2 jaar	95.322	550-750	650	61.959
