rand	opp
0.337503191	26.44
0.477429314	253.62
0.535925711	46.17
0.546562359	36.33
0.547181761	8.64
0.552161458	595.6
0.568870523	33.04
0.597218359	21.47
0.597630911	63.57
0.605533244	54.28
0.614200545	478.02
0.6213868	37.19
0.623799106	131.16
0.623847239	230
0.630403305	683.54
0.643371212	33.97
0.653655458	145.02
0.658468524	139.22
0.661461238	35.58
0.667358127	90.08
0.674051208	37.12
0.682557487	12.17
0.68277592	408.3
0.682776061	48.6
0.694316436	36.16
0.695113662	92.04
0.696439633	1135.51
0.698593919	58.13
0.699203187	7.02
0.700902009	34.19
0.702196908	189.86
0.707851674	94.3
0.707946815	91.58
0.710283528	63.13
0.714177551	37.73
0.714290172	228.93
0.721285999	148.52
0.723556928	159.32
0.727233529	84.33
0.727393912	98.22
0.72773483	68.72
0.727994848	1989.69
0.728367638	357.41
0.735547594	151.92
0.744867041	351.54
0.749181268	404.91
0.749236457	93.22
0.75	50.7
0.750316857	35.52
0.752420775	239.33
0.755141638	77.84
0.757438225	60.08
0.758760108	16.89
0.76119403	46.92
0.761768647	85.28
0.763614905	181.16
0.764061008	3265.23
0.767063922	14.16
0.768515248	65.27
0.770562771	40.94
0.772115575	78.03
0.773316921	81.67
0.773776306	296.72
0.774074074	52.25
0.775152166	43.3
0.775600122	102.1
0.776673693	77.38
0.776759975	288.31
0.777713957	27.08
0.778348398	37.89
0.78304665	233.99
0.783804727	60.69
0.78462251	16.94
0.787148594	1.96
0.787336413	40.91
0.788126446	51.11
0.78928642	39.93
0.791095363	51.35
0.793572136	56.05
0.793659323	29.54
0.796228792	417.2
0.796537416	111.34
0.796584781	53.18
0.797034841	53.76
0.79887218	123.25
0.799750093	345.62
0.803310933	49.01
0.803612606	20.91
0.804636785	26.03
0.804777595	39.08
0.805100583	73.24
0.805274656	2263.16
0.806541406	46.36
0.807294174	201.21
0.809337507	31.03
0.809480287	194.85
0.809843886	112.05
0.810722376	32.21
0.811883541	136.64
0.812302285	23.11
0.812847094	131.73
0.81364315	87.19
0.81424581	5.83
0.815985608	31.75
0.817479365	139.65
0.817872133	134.45
0.818271822	148.77
0.818452874	197.64
0.818867156	40.19
0.819032761	21
0.82308542	89.42
0.823138298	30.95
0.825211176	12.7
0.825652242	52.85
0.825932101	108.99
0.826325411	40.68
0.827605956	14.45
0.827690447	13.69
0.82858323	20.06
0.828708842	268.8
0.830250546	197.5
0.832012678	157.5
0.832079208	21.01
0.83259325	56.25
0.832889007	937.25
0.833761286	100.66
0.835365854	104.12
0.835567857	193.2
0.837681534	453.37
0.83797654	11.43
0.838247012	10.52
0.838887986	51.6
0.841085271	2.17
0.842028457	46.16
0.842932647	62.2
0.844315245	13.07
0.845665962	20
0.846153846	41.8
0.846715328	25.52
0.847568209	28.58
0.848334162	238.84
0.848891874	12.64
0.849493488	17.61
