jaar	rand	opp
2012	0.136549782	78.14
2009	0.15423772	78.58
2015	0.166709216	78.34
2012	0.242984102	527.73
2009	0.245927443	527.31
2015	0.274500207	531.22
2012	0.277681159	86.25
2015	0.282994777	86.15
2012	0.297156818	834.98
2009	0.300845751	1464.97
2012	0.304471509	224.98
2009	0.309026297	70.35
2015	0.309260478	1078.67
2012	0.310038119	15.74
2015	0.3125	58.08
2009	0.314757034	2188.99
2012	0.315168344	57.62
2015	0.315220457	106.37
2015	0.321089297	15.79
2009	0.321691491	58.41
2015	0.324966533	89.64
2015	0.329471942	66.47
2009	0.329498431	879.64
2015	0.330658974	221.86
2012	0.331431943	50.84
2009	0.33150518	16.41
2012	0.332318399	45.98
2012	0.338186081	1526.97
2009	0.343865851	1103.25
2015	0.34403819	368.68
2009	0.346765825	57.82
2009	0.350334448	35.88
2009	0.350402911	269.29
2015	0.350863442	778.28
2012	0.350932872	207.96
2009	0.351533561	134.98
2015	0.35451346	210.26
2009	0.354963279	1424.26
2012	0.355944894	66.78
2009	0.356563293	200.89
2012	0.359080254	89.59
2015	0.361585395	211.43
2012	0.361875637	9.81
2015	0.362878788	52.8
2009	0.365237816	51.09
2012	0.366359013	53.09
2009	0.368260621	209.96
2012	0.368939503	208.11
2015	0.370094716	1084.29
2012	0.373016732	1109.28
2015	0.377021751	53.79
2009	0.377972677	59.29
2015	0.379415855	35.95
2009	0.3819982	55.55
2009	0.382230624	52.9
2015	0.383466135	10.04
2009	0.384587992	140.41
2015	0.385309564	270.38
2009	0.385707804	220.4
2009	0.385736596	653.14
2009	0.387131952	18.34
2012	0.387339531	135.54
2015	0.387561716	1630.45
2009	0.388482835	90.3
2015	0.389687361	134.98
2009	0.390464014	132.97
2012	0.390486726	18.08
2015	0.39091419	17.83
2009	0.392224859	54.79
2015	0.392648287	59.85
2012	0.393006263	57.48
2012	0.393149665	53.72
2012	0.395509159	609.24
2009	0.401763908	147.4
2012	0.402698651	166.75
2009	0.405057626	89.37
2012	0.406542559	92.93
2012	0.407536784	94.47
2009	0.410814779	40.87
2012	0.411136537	52.44
2009	0.411852003	195.41
2009	0.412313433	21.44
2012	0.412396291	40.98
2009	0.41413169	51.94
2009	0.418248417	4561.93
2009	0.418659398	80.71
2012	0.418986658	129.67
2009	0.419433517	127.1
2009	0.420216317	74.89
2009	0.420503316	205.04
2012	0.420690331	509.9
2009	0.421034572	2010.88
2012	0.421796165	19.82
2009	0.423076923	213.72
2015	0.423237477	129.36
2012	0.424052648	94.21
2015	0.426729617	55.07
2012	0.427682737	38.58
2015	0.427919299	490.7
2009	0.42830297	383.14
2015	0.429339478	52.08
2015	0.430018002	88.88
2009	0.432172034	402.71
2015	0.432614555	22.26
2015	0.433942739	115.96
2012	0.434262948	2.51
2015	0.436421405	598
2012	0.437059859	22.72
2012	0.437298362	3294.89
2015	0.437751004	2.49
2015	0.439527452	206.54
2009	0.440187261	81.17
2012	0.440603163	27.19
2015	0.44076515	124.42
2015	0.440775096	205.91
2012	0.441002831	123.65
2009	0.441087613	9.93
2009	0.441104703	360.64
2009	0.442526555	105.44
2015	0.44261507	83.21
2009	0.443040039	122.63
2009	0.443277311	38.08
2009	0.444897959	2.45
2015	0.446554571	133.22
2015	0.447638003	170.83
2009	0.447653981	130.86
2015	0.44835572	21.59
2012	0.449558345	21.51
2012	0.450104676	42.99
2015	0.45047459	220.19
2012	0.452155377	84.44
2015	0.452417981	135.03
2009	0.454376395	322.64
2012	0.455671849	129.94
2009	0.457557565	131.59
2015	0.458613342	61.01
2009	0.459496501	138.63
2012	0.459801065	497.65
