IDPlots	IDGroup	Periode	PlotWeight	Paired_1_2	DivK	Div	NbHerb	NbOudbos	NbSpecRare	NbBos	NbOpen	NbEdge	NbIndif	NbUitheems	OwnerType	ForestAge	Frag	fPeriode	fpnv	fpnvGroup	Rand	FragInv	Fragclass	Bos01
17144	17144_2	2	0.66	FALSE	1.21264550251529	3.60445115164259	6	0	1	0	0	0	4	0	Private	recent	0.3676269	2	79	Arm Eiken-beukenbos	Rand	0.6323731	50% tot < 75%	0
18111	18111_1	2	1	FALSE	0.316215945186919	2.54456326344648	4	0	0	0	1	0	1	0	Private	recent	0.6681299	2	78	Arm Eiken-beukenbos	Volledig in bos	0.3318701	25% tot < 50%	0
18127	18127_1	2	1	FALSE	0.509929914981288	2.27148760269367	3	0	0	0	0	0	1	0	Private	oud	0.5314914	2	69	Eiken-beukenbos	Volledig in bos	0.4685086	25% tot < 50%	0
18135	18135_1	1	1	TRUE	0.693929956094487	3.0368046385601	6	1	0	1	0	0	3	0	Public	recent	0.7765124	1	69	Eiken-beukenbos	Volledig in bos	0.2234876	5% tot < 25%	1
18135	18135_1	2	1	TRUE	0.695060060323498	3.17367484845381	5	2	0	1	0	0	2	0	Private	recent	0.7765124	2	69	Eiken-beukenbos	Volledig in bos	0.2234876	5% tot < 25%	1
18159	18159_2	2	0.63	FALSE	1.26338033415781	4.41218012720184	13	1	0	0	0	0	9	0	Public	NA	0.3692643	2	79	Arm Eiken-beukenbos	Rand	0.6307357	50% tot < 75%	0
26148	26148_1	1	1	TRUE	0	2.78383037304042	1	0	0	0	0	0	0	0	Private	recent	0.7211562	1	78	Arm Eiken-beukenbos	Volledig in bos	0.2788438	25% tot < 50%	0
26148	26148_1	2	0.92	TRUE	0	2.27632151968323	1	0	0	0	0	0	0	0	Private	recent	0.7211562	2	78	Arm Eiken-beukenbos	Rand	0.2788438	25% tot < 50%	0
27091	27091_1	2	1	FALSE	0.604106150013628	2.28691927863594	6	0	0	0	0	0	4	0	Public	recent	0.510594	2	69	Eiken-beukenbos	Volledig in bos	0.489406	25% tot < 50%	0
27113	27113_1	1	1	TRUE	0.120456033849227	1.1719252169493	2	0	0	0	0	0	0	0	Private	recent	0.511302	1	79	Arm Eiken-beukenbos	Volledig in bos	0.488698	25% tot < 50%	0
27113	27113_1	2	1	TRUE	0.693147180559945	2	2	0	0	0	0	0	0	0	Private	recent	0.511302	2	79	Arm Eiken-beukenbos	Volledig in bos	0.488698	25% tot < 50%	0
27124	27124_1	2	1	FALSE	0	1	1	0	0	0	0	0	0	0	Private	recent	0.7424276	2	78	Arm Eiken-beukenbos	Volledig in bos	0.2575724	25% tot < 50%	0
27131	27131_1	1	1	TRUE	1.09861228866811	1.51269029921481	3	0	0	0	0	1	0	0	Private	recent	0.7859239	1	79	Arm Eiken-beukenbos	Volledig in bos	0.2140761	5% tot < 25%	0
27131	27131_1	2	1	TRUE	1.09861228866811	9.89630933079671	3	0	0	0	0	0	1	0	Private	recent	0.7859239	2	79	Arm Eiken-beukenbos	Volledig in bos	0.2140761	5% tot < 25%	0
27137	27137_1	2	0.96	FALSE	0.247750827451536	3.1548701050418	2	0	0	0	0	1	0	0	Private	recent	0.4271455	2	78	Arm Eiken-beukenbos	Rand	0.5728545	50% tot < 75%	0
27138	27138_2	2	1	FALSE	0.867563228481461	2.09248957999931	3	0	0	0	0	0	1	0	Private	recent	0.5091597	2	79	Arm Eiken-beukenbos	Volledig in bos	0.4908403	25% tot < 50%	0
27139	27139_1	2	1	FALSE	0.179578624043314	1.19671299078271	2	0	0	0	0	0	1	0	Private	recent	0.8304816	2	79	Arm Eiken-beukenbos	Volledig in bos	0.1695184	5% tot < 25%	0
27140	27140_2	2	0.69	FALSE	1.74092877927674	5.74337978379043	14	0	0	0	1	2	6	0	Private	recent	0.5483368	2	20	Elzenbroekbos	Rand	0.4516632	25% tot < 50%	0
27145	27145_1	1	1	FALSE	1.97784667900362	9.30985369703917	13	0	0	0	1	1	3	0	Private	recent	0.541755	1	79	Arm Eiken-beukenbos	Volledig in bos	0.458245	25% tot < 50%	0
27145	27145_2	2	0.64	FALSE	1.57467381129696	6.93235335960359	7	1	0	0	0	0	4	0	Private	recent	0.541755	2	79	Arm Eiken-beukenbos	Rand	0.458245	25% tot < 50%	0
27148	27148_1	1	1	TRUE	0.321863830031307	1.40355629261956	3	1	0	0	0	0	1	0	Private	oud	0.6503839	1	69	Eiken-beukenbos	Volledig in bos	0.3496161	25% tot < 50%	0
27148	27148_1	2	1	TRUE	0.358800516714025	1.43161119058076	3	1	0	0	0	0	1	0	Private	oud	0.6503839	2	69	Eiken-beukenbos	Volledig in bos	0.3496161	25% tot < 50%	0
27154	27154_1	2	1	FALSE	0	1.58273431039723	1	0	0	0	0	0	0	0	Private	recent	0.8274552	2	78	Arm Eiken-beukenbos	Volledig in bos	0.1725448	5% tot < 25%	0
27156	27156_1	2	1	FALSE	0.830471712436292	6.88320234726196	3	1	0	0	0	0	1	0	Private	recent	0.6164229	2	40	Elzen-vogelkersbos	Volledig in bos	0.3835771	25% tot < 50%	0
35106	35106_2	2	1	FALSE	1.78388250515962	6.1045749777457	19	2	0	1	1	1	10	0	Private	recent	0.5469836	2	20	Elzenbroekbos	Volledig in bos	0.4530164	25% tot < 50%	1
35114	35114_1	1	1	FALSE	0.752748053900929	2.25927275865316	3	0	0	0	0	1	1	0	Private	recent	0.3933358	1	79	Arm Eiken-beukenbos	Volledig in bos	0.6066642	50% tot < 75%	0
