date	Lat	long	pH	Revelle
10/04/2018	51.58243333	2.994816667	7.9989	10.81
14/12/2018	51.58011667	2.99605	7.7995	13.38
16/12/2019	51.58126667	2.992816667	7.8142	12.93
19/02/2019	51.57821667	2.9936	7.7505	14.41
19/02/2019	51.58625	3.0171	7.7575	14.28
19/12/2017	51.47116667	3.057933333	7.7382	14.9
19/12/2017	51.58815	3.012633333	7.7906	13.6
19/12/2017	51.57925	2.992966667	7.7957	13.49
19/12/2017	51.43325	2.80845	7.7915	13.54
19/12/2017	51.58051667	2.791	7.8211	12.87
19/12/2017	51.37718333	3.227033333	7.7247	15.68
20/02/2018	51.30863333	2.84855	7.7949	13.63
20/02/2018	51.47248333	3.057233333	7.7636	14.69
20/02/2018	51.43293333	2.806833333	7.7987	13.58
20/02/2018	51.58831667	3.012383333	7.8039	13.43
20/02/2018	51.58048333	2.9925	7.8087	13.31
20/02/2018	51.58093333	2.790133333	7.8008	13.32
20/06/2017	51.185	2.701166667	7.961	10.71
20/06/2017	51.33333333	2.5	7.9331	11.05
20/06/2017	51.45596667	2.3494	7.9044	11.38
20/06/2017	51.56666667	2.25	7.9001	11.43
21/02/2018	51.18485	2.701683333	7.7957	13.64
21/03/2018	51.43456667	2.808466667	7.8836	12.39
21/03/2018	51.57995	2.788466667	7.9276	11.38
21/03/2018	51.58646667	3.013033333	7.8887	12.26
21/03/2018	51.57881667	2.994683333	7.8904	12.23
21/03/2018	51.46841667	3.053316667	7.8895	12.52
21/06/2017	51.68333333	2.416666667	7.9018	11.42
21/06/2017	51.80108333	2.556133333	7.9061	11.39
21/06/2017	51.75031667	2.699716667	7.8993	11.5
21/06/2017	51.58076667	2.790133333	7.9314	11.18
21/06/2017	51.58525	3.008583333	7.9448	11.12
21/06/2017	51.43516667	2.81135	7.9296	11.21
21/06/2019	51.58065	2.992183333	7.89	11.8
21/06/2019	51.5868	3.016483333	7.8901	11.86
21/11/2018	51.27096667	2.900633333	7.7614	14.64
21/11/2018	51.37728333	3.220383333	7.8071	13.8
21/11/2018	51.58051667	2.992116667	7.89	12.06
21/11/2018	51.57945	2.993266667	7.8726	12.38
21/11/2018	51.58736667	3.0118	7.8696	12.45
22/08/2017	51.57901667	2.993866667	7.9158	11.28
22/08/2017	51.47121667	3.057383333	7.9164	11.47
22/11/2018	51.68521667	2.419616667	7.871	11.97
22/11/2018	51.56855	2.259316667	7.8715	11.94
22/11/2018	51.33438333	2.5025	7.8547	12.57
22/11/2018	51.18488333	2.6984	7.7832	14.02
23/04/2018	51.58833333	3.012366667	8.1326	9.31
23/04/2018	51.58226667	2.993183333	8.1349	9.27
23/04/2018	51.46713333	3.0566	8.1053	9.88
23/05/2017	51.27035	2.903333333	7.9655	11.43
23/05/2017	51.43666667	2.817266667	7.9816	10.96
23/05/2017	51.58443333	3.0075	7.9943	10.83
23/05/2019	51.57971667	2.994016667	8.0708	9.9
23/08/2019	51.58126667	2.992816667	7.923	11.14
24/05/2017	51.58171667	2.788983333	7.9681	10.82
24/05/2017	51.75036667	2.699433333	7.9554	10.83
24/05/2017	51.80016667	2.556066667	7.9012	11.55
24/05/2017	51.68258333	2.41585	7.8775	11.9
24/05/2017	51.56856667	2.255583333	7.8936	11.69
24/05/2017	51.33263333	2.502416667	7.9933	10.64
24/05/2017	51.18473333	2.701533333	7.9688	10.93
24/10/2018	51.27018333	2.904283333	7.8415	13.15
24/10/2018	51.18638333	2.701733333	7.8546	12.94
24/10/2018	51.33328333	2.501633333	7.9256	11.57
25/04/2019	51.5806	2.993366667	8.2584	8.28
25/04/2019	51.58821667	3.0128	8.2652	8.24
25/10/2017	51.57983333	2.9975	7.8972	11.57
25/10/2018	51.43023333	2.806866667	7.9293	11.64
25/10/2018	51.58615	3.014766667	7.9394	11.33
25/10/2018	51.5818	2.991883333	7.9386	11.34
25/10/2018	51.3765	3.221433333	7.8988	12.28
26/03/2019	51.43328333	3.141016667	7.8653	12.55
26/03/2019	51.58111667	2.993166667	7.9914	10.54
26/03/2019	51.58803333	3.016966667	7.9853	10.61
26/03/2019	51.80045	2.554466667	7.9183	11.35
26/09/2017	51.3762	3.21435	7.8042	13.54
26/09/2017	51.47156667	3.058383333	7.8633	12.35
26/09/2017	51.43343333	2.809733333	7.8963	11.68
26/09/2017	51.58641667	3.00795	7.9259	11.19
26/09/2017	51.58105	2.99535	7.9242	11.29
26/09/2017	51.58148333	2.789	7.9327	11.07
27/03/2019	51.33353333	2.494816667	7.978	10.78
27/03/2019	51.18445	2.698166667	8.0107	10.57
27/07/2018	51.58021667	2.992333333	7.952	11.37
27/07/2018	51.58055	2.9941	7.9584	11.27
27/07/2018	51.59051667	3.0172	7.9636	11.21
27/09/2017	51.33461667	2.498533333	7.9242	11.2
27/09/2017	51.1854	2.700383333	7.9487	10.95
28/05/2018	51.58025	2.995766667	8.1156	9.5
28/05/2018	51.5899	3.01345	8.0883	9.76
28/08/2018	51.58031667	2.9922	7.9529	11.07
28/08/2018	51.58006667	2.993483333	7.9532	11.14
28/08/2018	51.58721667	3.0122	7.9583	11.09
29/07/2019	51.58126667	2.992816667	7.9319	11.49
29/11/2017	51.27133333	2.905833333	7.8244	12.79
3/09/2018	51.57941667	2.991533333	7.9844	10.71
30/01/2018	51.58166667	2.9956	7.8126	13.06
30/01/2018	51.58821667	3.0123	7.8152	13.02
30/01/2018	51.47033333	3.0579	7.7847	13.69
31/01/2019	51.59186667	3.0182	7.7441	14.82
5/12/2017	427.7333333	222.5833333	7.7315	15.37
5/12/2017	489.3833333	145.2833333	7.7661	14.25
5/12/2017	521.8666667	65.56666667	7.772	14.07
5/12/2017	640.2166667	173.0666667	7.7898	13.61
5/12/2017	486.0333333	814.5166667	7.8016	13.36
5/12/2017	3141.15	853	7.8033	13.33
9/04/2018	51.58106667	2.990316667	8.0215	10.42
9/07/2018	51.58166667	2.997816667	7.9917	10.86
9/07/2018	51.5796	2.992416667	7.9855	10.93
9/07/2018	51.58796667	3.012483333	7.9845	10.96
