jaar	opp	oppfill	toename
1982	149326.1999	149326.1999	22.74530603
1983	152841.256	152841.256	9.630290685
1984	156896.116	156896.116	11.10920548
1985	160927.4351	160927.4351	11.04470986
1986	165283.6229	165283.6229	11.9347611
1987	169541.3401	169541.3401	11.66497863
1988	173846.3607	173846.3607	11.79457699
1989	178460.2928	178460.2928	12.64090986
1990	183437.6677	183437.6677	13.63664356
1991	NA	188226.2002	13.11926712
1992	193014.7327	193014.7327	13.11926712
1993	197615.1721	197615.1721	12.60394356
1994	202233.2124	202233.2124	12.65216521
1995	206870.3404	206870.3404	12.70446027
1996	210914.7165	210914.7165	11.08048247
1997	214646.1078	214646.1078	10.22298986
1998	218213.4347	218213.4347	9.773498356
1999	221597.7249	221597.7249	9.272027945
2000	224382.3803	224382.3803	7.629192877
2001	226609.7991	226609.7991	6.10251726
2002	229135.7817	229135.7817	6.920500274
2003	231526.9692	231526.9692	6.55119863
2004	233676.044	233676.044	5.887876164
2005	NA	236123.2815	6.704760274
2006	238570.519	238570.519	6.704760274
2007	241214.1487	241214.1487	7.242821096
2008	243767.4293	243767.4293	6.995289315
2009	246206.8217	246206.8217	6.683266849
2010	248228.2848	248228.2848	5.538255068
2011	250393.1825	250393.1825	5.931226575
2012	252593.8324	252593.8324	6.029177808
2013	254604.3189	254604.3189	5.508182192
2014	256231.5704	256231.5704	4.458223288
2015	258219.7929	258219.7929	5.447184932
2016	260247.8349	260247.8349	5.556279452
2017	262300.116	262300.116	5.622687945
2018	264914.0103	264914.0103	7.161354247
2019	266586.5859	266586.5859	4.582398904
