land	score	product
Argentinië	0	Cacao
Argentinië	0	Hout en papier
Argentinië	0	Koffie
Argentinië	0	Natuurlijk rubber
Argentinië	0	Palmolie
Argentinië	0	Rundsvlees en leder
Argentinië	10.20975694	Soja
Brazilië	0	Cacao
Brazilië	5.120355673	Hout en papier
Brazilië	2.807572175	Koffie
Brazilië	0	Natuurlijk rubber
Brazilië	0	Palmolie
Brazilië	6.59651523	Rundsvlees en leder
Brazilië	27.45337815	Soja
China	0	Cacao
China	2.23620171	Hout en papier
China	0.043047682	Koffie
China	0.024097936	Natuurlijk rubber
China	0	Palmolie
China	1.466546305	Rundsvlees en leder
China	0	Soja
Colombia	0	Cacao
Colombia	0	Hout en papier
Colombia	4.573448765	Koffie
Colombia	0	Natuurlijk rubber
Colombia	4.833834214	Palmolie
Colombia	0	Rundsvlees en leder
Colombia	0	Soja
Dominicaanse Republiek	26.44887765	Cacao
Dominicaanse Republiek	0	Hout en papier
Dominicaanse Republiek	0	Koffie
Dominicaanse Republiek	0	Natuurlijk rubber
Dominicaanse Republiek	0	Palmolie
Dominicaanse Republiek	0	Rundsvlees en leder
Dominicaanse Republiek	0	Soja
Ecuador	28.2135658	Cacao
Ecuador	0	Hout en papier
Ecuador	0	Koffie
Ecuador	0	Natuurlijk rubber
Ecuador	0	Palmolie
Ecuador	0	Rundsvlees en leder
Ecuador	0	Soja
Frankrijk	0	Cacao
Frankrijk	6.250423127	Hout en papier
Frankrijk	0	Koffie
Frankrijk	0	Natuurlijk rubber
Frankrijk	0	Palmolie
Frankrijk	1.371782694	Rundsvlees en leder
Frankrijk	0	Soja
Ghana	14.86258288	Cacao
Ghana	0	Hout en papier
Ghana	0	Koffie
Ghana	0	Natuurlijk rubber
Ghana	0	Palmolie
Ghana	0	Rundsvlees en leder
Ghana	0	Soja
Guatemala	0	Cacao
Guatemala	0	Hout en papier
Guatemala	0	Koffie
Guatemala	0	Natuurlijk rubber
Guatemala	4.286176457	Palmolie
Guatemala	0	Rundsvlees en leder
Guatemala	0	Soja
Honduras	0	Cacao
Honduras	0	Hout en papier
Honduras	5.714097097	Koffie
Honduras	0	Natuurlijk rubber
Honduras	4.714640979	Palmolie
Honduras	0	Rundsvlees en leder
Honduras	0	Soja
India	0	Cacao
India	0	Hout en papier
India	0.496801277	Koffie
India	0	Natuurlijk rubber
India	0	Palmolie
India	0	Rundsvlees en leder
India	6.176423878	Soja
Indonesië	0	Cacao
Indonesië	12.38810511	Hout en papier
Indonesië	3.008870107	Koffie
Indonesië	8.537038818	Natuurlijk rubber
Indonesië	70.52293368	Palmolie
Indonesië	5.543052288	Rundsvlees en leder
Indonesië	0	Soja
Ivoorkust	52.74755391	Cacao
Ivoorkust	0	Hout en papier
Ivoorkust	0	Koffie
Ivoorkust	0.355495119	Natuurlijk rubber
Ivoorkust	0	Palmolie
Ivoorkust	0	Rundsvlees en leder
Ivoorkust	0	Soja
Maleisië	0	Cacao
Maleisië	0	Hout en papier
Maleisië	0	Koffie
Maleisië	0.670009092	Natuurlijk rubber
Maleisië	36.54143465	Palmolie
Maleisië	0	Rundsvlees en leder
Maleisië	0	Soja
Nigeria	6.104771379	Cacao
Nigeria	0	Hout en papier
Nigeria	0	Koffie
Nigeria	0	Natuurlijk rubber
Nigeria	0	Palmolie
Nigeria	0	Rundsvlees en leder
Nigeria	0	Soja
Papua New Guinea	0	Cacao
Papua New Guinea	0	Hout en papier
Papua New Guinea	0	Koffie
Papua New Guinea	0	Natuurlijk rubber
Papua New Guinea	13.98146135	Palmolie
Papua New Guinea	0	Rundsvlees en leder
Papua New Guinea	0	Soja
Paraguay	0	Cacao
Paraguay	0	Hout en papier
Paraguay	0	Koffie
Paraguay	0	Natuurlijk rubber
Paraguay	0	Palmolie
Paraguay	0	Rundsvlees en leder
Paraguay	3.124836924	Soja
Peru	4.435098135	Cacao
Peru	0	Hout en papier
Peru	3.727708247	Koffie
Peru	0	Natuurlijk rubber
Peru	0	Palmolie
Peru	0	Rundsvlees en leder
Peru	0	Soja
Verenigde Staten	0	Cacao
Verenigde Staten	9.426351103	Hout en papier
Verenigde Staten	0	Koffie
Verenigde Staten	0	Natuurlijk rubber
Verenigde Staten	0	Palmolie
Verenigde Staten	3.191115584	Rundsvlees en leder
Verenigde Staten	3.400022864	Soja
Vietnam	0	Cacao
Vietnam	0	Hout en papier
Vietnam	2.914177184	Koffie
Vietnam	0.64906555	Natuurlijk rubber
Vietnam	0	Palmolie
Vietnam	0.120950702	Rundsvlees en leder
Vietnam	0	Soja
