IDPlots	IDGroup	Periode	PlotWeight	v40_L	v41_N	v42_R	v43_V	v44_T	NbHerbL	OwnerType	ForestAge	Frag	fPeriode	fpnv	fpnvGroup	Rand	FragInv
77038	77038_1	1	1	7.25	5.11111111111111	4	6.5	5.83333333333333	8	Private	oud	0.4648949	1	79	Arm Eiken-beukenbos	Volledig in bos	0.5351051
77038	77038_2	2	1	6.67	2.52702702702703	3.02816901408451	5.84126984126984	5.77142857142857	15	Public	oud	0.4648949	2	79	Arm Eiken-beukenbos	Volledig in bos	0.5351051
77040	77040_1	1	1	6	NA	NA	5	6	3	Private	oud	0.7341049	1	79	Arm Eiken-beukenbos	Volledig in bos	0.2658951
77040	77040_1	2	1	7	NA	NA	NA	NA	2	Public	oud	0.7341049	2	79	Arm Eiken-beukenbos	Volledig in bos	0.2658951
77048	77048_1	2	1	6.74285714285714	1.15584415584416	4	6.74712643678161	5.8	5	Private	recent	0.8882487	2	79	Arm Eiken-beukenbos	Volledig in bos	0.1117513
77056	77056_1	1	1	6	NA	4	5	6	3	Private	recent	0.8214512	1	79	Arm Eiken-beukenbos	Volledig in bos	0.1785488
77056	77056_2	2	1	6.8719512195122	1.06451612903226	3.30769230769231	6.8974358974359	6.3	9	Public	recent	0.8214512	2	79	Arm Eiken-beukenbos	Volledig in bos	0.1785488
77087	77087_1	1	1	6.18181818181818	NA	4	5	6	4	Public	recent	0.7296266	1	20	Elzenbroekbos	Volledig in bos	0.2703734
77087	77087_1	2	1	6	NA	4	NA	NA	2	Public	recent	0.7296266	2	20	Elzenbroekbos	Volledig in bos	0.2703734
77150	77150_2	2	0.84	6.43205574912892	6.63851351351351	7.6	6.96330275229358	5.12745098039216	17	Public	NA	0.402751	2	20	Elzenbroekbos	Rand	0.597249
78005	78005_1	1	1	7	1	NA	7	NA	1	Public	recent	0.3735477	1	69	Eiken-beukenbos	Volledig in bos	0.6264523
78005	78005_1	2	1	7.01101928374656	1.02234636871508	2	7.01129943502825	6	6	Public	recent	0.3735477	2	69	Eiken-beukenbos	Volledig in bos	0.6264523
78017	78017_1	1	1	6.82105263157895	1.22304832713755	3.65384615384615	6.85198555956679	5.7	8	Private	recent	0.7942913	1	78	Arm Eiken-beukenbos	Volledig in bos	0.2057087
78017	78017_2	2	0.53	6.69047619047619	1.48192771084337	4	6.85542168674699	5.6	5	Private	recent	0.7942913	2	78	Arm Eiken-beukenbos	Rand	0.2057087
78019	78019_1	1	1	4.08510638297872	5.3	6.08333333333333	5.02247191011236	5.55056179775281	10	Private	oud	0.8551565	1	78	Arm Eiken-beukenbos	Volledig in bos	0.1448435
78019	78019_2	2	1	3.87272727272727	6.48148148148148	6.05555555555556	5.96363636363636	6	8	Private	oud	0.8551565	2	78	Arm Eiken-beukenbos	Volledig in bos	0.1448435
78022	78022_1	1	1	6.98026315789474	1.02649006622517	4	6.98675496688742	5.5	3	Private	recent	0.7905089	1	78	Arm Eiken-beukenbos	Volledig in bos	0.2094911
78022	78022_1	2	0.65	6.94318181818182	1.20833333333333	4	6.97647058823529	5	6	Private	recent	0.7905089	2	78	Arm Eiken-beukenbos	Rand	0.2094911
78025	78025_2	2	0.91	5.42857142857143	5	4	5	5.6	6	Public	recent	0.8731002	2	78	Arm Eiken-beukenbos	Rand	0.1268998
78028	78028_2	2	0.91	6.50569476082005	3.32304038004751	3.78571428571429	6.25	5.20618556701031	26	Public	oud	0.6953157	2	78	Arm Eiken-beukenbos	Rand	0.3046843
78029	78029_2	2	0.89	6.96866840731071	1.208	2.2	6.88654353562005	5.85714285714286	10	Public	recent	0.7586285	2	79	Arm Eiken-beukenbos	Rand	0.2413715
78030	78030_1	2	1	6.17587939698493	3.0506329113924	2.02631578947368	6.66666666666667	6	9	Public	recent	0.8330655	2	79	Arm Eiken-beukenbos	Volledig in bos	0.1669345
78033	78033_2	2	1	5.6551724137931	3.57142857142857	1.94736842105263	5.55	5	11	Public	recent	0.8960616	2	79	Arm Eiken-beukenbos	Volledig in bos	0.1039384
78035	78035_1	1	1	6.35185185185185	2.79545454545455	2	4	5.52631578947368	4	Private	recent	0.6623499	1	78	Arm Eiken-beukenbos	Volledig in bos	0.3376501
78035	78035_1	2	1	6.20512820512821	2.80788177339901	2.17751479289941	6.43396226415094	5.72222222222222	14	Private	recent	0.6623499	2	78	Arm Eiken-beukenbos	Volledig in bos	0.3376501
78037	78037_1	1	1	6.89736842105263	1.15633423180593	2.54545454545455	6.97790055248619	6	9	Public	recent	NA	1	79	Arm Eiken-beukenbos	Volledig in bos	NA
78038	78038_2	2	1	6.94342762063228	2.66044142614601	3.07289293849658	6.48677248677249	5.48	18	Public	NA	0.4916633	2	79	Arm Eiken-beukenbos	Volledig in bos	0.5083367
78041	78041_2	2	1	3.68888888888889	2.33333333333333	3.8	5.21951219512195	5	6	Private	oud	0.8268339	2	79	Arm Eiken-beukenbos	Volledig in bos	0.1731661
78042	78042_1	2	1	5.30079155672823	4.41711229946524	2.01052631578947	5.82589285714286	5.09302325581395	9	Private	oud	0.7293258	2	78	Arm Eiken-beukenbos	Volledig in bos	0.2706742
78044	78044_1	2	1	6.98583569405099	1.01709401709402	4	6.99147727272727	6	4	Public	recent	0.8584803	2	79	Arm Eiken-beukenbos	Volledig in bos	0.1415197
78045	78045_1	2	1	7	1.07692307692308	2.5	7.03561643835616	5.33333333333333	6	Public	recent	0.5842072	2	79	Arm Eiken-beukenbos	Volledig in bos	0.4157928
78046	78046_1	2	1	5.2	7	4	6.77777777777778	6	6	Public	recent	0.8190824	2	79	Arm Eiken-beukenbos	Volledig in bos	0.1809176
78048	78048_2	2	1	6.82394366197183	1.22058823529412	2.71428571428571	7.01136363636364	6	10	Public	recent	0.6914238	2	79	Arm Eiken-beukenbos	Volledig in bos	0.3085762
78051	78051_1	1	1	7.03030303030303	1.55555555555556	2.45	6.86	5.33333333333333	11	Public	recent	0.9173371	1	79	Arm Eiken-beukenbos	Volledig in bos	0.0826629
78051	78051_1	2	1	6.98927613941019	1.03899721448468	1.77777777777778	7	6	9	Public	recent	0.9173371	2	79	Arm Eiken-beukenbos	Volledig in bos	0.0826629
78052	78052_2	2	1	5.05511811023622	5.05042016806723	3.2483660130719	5.60663507109005	5.1864406779661	23	Public	NA	0.8726568	2	79	Arm Eiken-beukenbos	Volledig in bos	0.1273432
78055	78055_1	1	1	7.42957746478873	1.30714285714286	1.921875	5.32520325203252	6.65116279069767	16	Private	recent	0.708809	1	78	Arm Eiken-beukenbos	Volledig in bos	0.291191
78055	78055_1	2	1	6.25925925925926	2.68224299065421	2.06122448979592	5.06896551724138	5.09090909090909	9	Private	recent	0.708809	2	78	Arm Eiken-beukenbos	Volledig in bos	0.291191
78056	78056_1	1	1	5.50847457627119	2.5702005730659	2.04379562043796	6.89873417721519	5.5	9	Public	oud	0.8145391	1	79	Arm Eiken-beukenbos	Volledig in bos	0.1854609
78056	78056_1	2	1	4.74074074074074	4.97026022304833	2.02352941176471	6.1989247311828	6	8	Public	oud	0.8145391	2	79	Arm Eiken-beukenbos	Volledig in bos	0.1854609
78058	78058_1	2	1	5.4	NA	NA	5	5.8	3	Private	recent	0.8842919	2	79	Arm Eiken-beukenbos	Volledig in bos	0.1157081
