IDPlots	IDGroup	Periode	PlotWeight	v40_L	v41_N	v42_R	v43_V	v44_T	NbHerbL	OwnerType	ForestAge	Frag	fPeriode	fpnv	fpnvGroup	Rand	FragInv
17144	17144_2	2	0.66	7.44047619047619	4.07361963190184	3.59090909090909	6.9438202247191	5.14130434782609	8	Private	recent	0.3676269	2	79	Arm Eiken-beukenbos	Rand	0.6323731
18111	18111_1	2	1	6.83223684210526	1.25555555555556	3.38709677419355	6.8271186440678	5.72972972972973	13	Private	recent	0.6681299	2	78	Arm Eiken-beukenbos	Volledig in bos	0.3318701
18127	18127_1	2	1	4.33720930232558	6.5	7.2	5.92941176470588	5.85714285714286	7	Private	oud	0.5314914	2	69	Eiken-beukenbos	Volledig in bos	0.4685086
18135	18135_1	1	1	6.83333333333333	1.22014925373134	3.40740740740741	6.95555555555556	5.77272727272727	13	Public	recent	0.7765124	1	69	Eiken-beukenbos	Volledig in bos	0.2234876
18135	18135_1	2	1	6.38679245283019	2.17460317460317	3.69230769230769	6.71794871794872	5.64285714285714	10	Private	recent	0.7765124	2	69	Eiken-beukenbos	Volledig in bos	0.2234876
18159	18159_2	2	0.63	5.896	7.73894736842105	6.90909090909091	5.98927038626609	5.57425742574257	14	Public	NA	0.3692643	2	79	Arm Eiken-beukenbos	Rand	0.6307357
26148	26148_1	1	1	4.20512820512821	7	NA	5.8974358974359	6	4	Private	recent	0.7211562	1	78	Arm Eiken-beukenbos	Volledig in bos	0.2788438
26148	26148_1	2	0.92	4.33333333333333	6.6	4	5.66666666666667	5.5	4	Private	recent	0.7211562	2	78	Arm Eiken-beukenbos	Rand	0.2788438
27091	27091_1	2	1	6.8997668997669	1.30413625304136	2.34848484848485	7.02452316076294	5.81818181818182	9	Public	recent	0.510594	2	69	Eiken-beukenbos	Volledig in bos	0.489406
27113	27113_1	1	1	4.01986754966887	6.97350993377483	3	6.01324503311258	NA	3	Private	recent	0.511302	1	79	Arm Eiken-beukenbos	Volledig in bos	0.488698
27113	27113_1	2	1	4	7	NA	6	NA	2	Private	recent	0.511302	2	79	Arm Eiken-beukenbos	Volledig in bos	0.488698
27124	27124_1	2	1	4	7	NA	6	NA	1	Private	recent	0.7424276	2	78	Arm Eiken-beukenbos	Volledig in bos	0.2575724
27131	27131_1	1	1	5	6	4	5.5	5.33333333333333	10	Private	recent	0.7859239	1	79	Arm Eiken-beukenbos	Volledig in bos	0.2140761
27131	27131_1	2	1	5.625	4.66666666666667	3	5.54545454545455	5.61538461538461	12	Private	recent	0.7859239	2	79	Arm Eiken-beukenbos	Volledig in bos	0.2140761
27137	27137_1	2	0.96	5.08219178082192	6.97222222222222	NA	5.5	6	7	Private	recent	0.4271455	2	78	Arm Eiken-beukenbos	Rand	0.5728545
27138	27138_2	2	1	5.85365853658537	6.4	3.5	5.15	5.97222222222222	6	Private	recent	0.5091597	2	79	Arm Eiken-beukenbos	Volledig in bos	0.4908403
27139	27139_1	2	1	4.13114754098361	6.73770491803279	NA	6.04371584699454	NA	2	Private	recent	0.8304816	2	79	Arm Eiken-beukenbos	Volledig in bos	0.1695184
27140	27140_2	2	0.69	6.52522255192878	7.71470160116448	6.65051903114187	6.14587332053743	5.79268292682927	15	Private	recent	0.5483368	2	20	Elzenbroekbos	Rand	0.4516632
27145	27145_1	1	1	6.912	5.61764705882353	5.95	6.14423076923077	5.58762886597938	19	Private	recent	0.541755	1	79	Arm Eiken-beukenbos	Volledig in bos	0.458245
27145	27145_2	2	0.64	6.15625	3.40740740740741	2.74074074074074	5.42307692307692	5.37931034482759	11	Private	recent	0.541755	2	79	Arm Eiken-beukenbos	Rand	0.458245
27148	27148_1	1	1	5.99715909090909	3.01136363636364	3	5.01136363636364	5	4	Private	oud	0.6503839	1	69	Eiken-beukenbos	Volledig in bos	0.3496161
27148	27148_1	2	1	5.81818181818182	3.36363636363636	3	5.09090909090909	5	3	Private	oud	0.6503839	2	69	Eiken-beukenbos	Volledig in bos	0.3496161
27154	27154_1	2	1	4.26744186046512	7	4	5.89285714285714	6	4	Private	recent	0.8274552	2	78	Arm Eiken-beukenbos	Volledig in bos	0.1725448
27156	27156_1	2	1	5.3125	6.53333333333333	3.81818181818182	5.92857142857143	5.5	9	Private	recent	0.6164229	2	40	Elzen-vogelkersbos	Volledig in bos	0.3835771
35106	35106_2	2	1	7.64976228209192	4.86833855799373	5.22525597269625	9.01577287066246	5.07462686567164	20	Private	recent	0.5469836	2	20	Elzenbroekbos	Volledig in bos	0.4530164
35114	35114_1	1	1	5.03225806451613	6.11320754716981	3.24539877300613	5.05625	6	5	Private	recent	0.3933358	1	79	Arm Eiken-beukenbos	Volledig in bos	0.6066642
35114	35114_2	2	0.61	5.6	6.52830188679245	6.04225352112676	7.4811320754717	5.23809523809524	16	Private	recent	0.3933358	2	79	Arm Eiken-beukenbos	Rand	0.6066642
35124	35124_1	2	1	6.99152542372881	1.00569800569801	3.33333333333333	7.002849002849	6	7	Public	recent	0.4095405	2	79	Arm Eiken-beukenbos	Volledig in bos	0.5904595
35129	35129_1	1	1	6.08333333333333	2.85714285714286	3.77777777777778	6.88888888888889	6	8	Private	recent	0.6937266	1	79	Arm Eiken-beukenbos	Volledig in bos	0.3062734
35129	35129_1	2	1	6.43548387096774	1.89795918367347	3.17391304347826	7.06122448979592	6	7	Public	recent	0.6937266	2	79	Arm Eiken-beukenbos	Volledig in bos	0.3062734
35132	35132_1	1	1	6.52733118971061	2	2.06289308176101	6.95483870967742	6	9	Public	recent	0.5823411	1	79	Arm Eiken-beukenbos	Volledig in bos	0.4176589
35132	35132_2	2	1	6.85294117647059	1.22727272727273	2.35294117647059	7.025	5.83333333333333	11	Public	recent	0.5823411	2	79	Arm Eiken-beukenbos	Volledig in bos	0.4176589
35140	35140_1	2	1	6.89078498293515	1.25650557620818	3.37931034482759	6.98913043478261	6	8	Public	recent	0.6540228	2	79	Arm Eiken-beukenbos	Volledig in bos	0.3459772
35145	35145_1	1	1	5.84848484848485	5.05	3.91666666666667	6.39130434782609	5.9	12	Public	recent	0.6440949	1	79	Arm Eiken-beukenbos	Volledig in bos	0.3559051
35145	35145_1	2	1	4.57709251101322	6.22222222222222	2.94029850746269	5.95121951219512	5.92	15	Public	recent	0.6440949	2	79	Arm Eiken-beukenbos	Volledig in bos	0.3559051
35148	35148_1	1	1	5.78064516129032	3.5513698630137	2.11494252873563	5.94	5.61111111111111	13	Public	recent	0.6982925	1	78	Arm Eiken-beukenbos	Volledig in bos	0.3017075
35148	35148_2	2	1	5.79099678456592	3.48442906574394	2.1123595505618	6.19230769230769	6	10	Public	recent	0.6982925	2	78	Arm Eiken-beukenbos	Volledig in bos	0.3017075
35149	35149_2	2	0.59	3.2	6.5	7	6.66666666666667	NA	4	Private	NA	0.5674633	2	79	Arm Eiken-beukenbos	Rand	0.4325367
35157	35157_2	2	0.83	5.47058823529412	6.25	6.6	6.15	5	11	Private	recent	0.730021	2	79	Arm Eiken-beukenbos	Rand	0.269979
47136	47136_1	1	1	7.25	5.3943661971831	5.80769230769231	4.06349206349206	5.71212121212121	17	Public	recent	NA	1	78	Arm Eiken-beukenbos	Volledig in bos	NA
48063	48063_2	2	1	6.35593220338983	7.36012861736334	7.38926174496644	7.12295081967213	5.19491525423729	11	Public	NA	0.1093765	2	78	Arm Eiken-beukenbos	Volledig in bos	0.8906235
48064	48064_2	2	1	6.05555555555556	6.91666666666667	8	7	5	3	Public	NA	0.4877646	2	40	Elzen-vogelkersbos	Volledig in bos	0.5122354
48072	48072_2	2	1	7.54135338345865	7.03759398496241	7.81034482758621	6.89795918367347	5	9	Public	NA	0.4955654	2	40	Elzen-vogelkersbos	Volledig in bos	0.5044346
48113	48113_1	1	1	6.91803278688525	4.80628272251309	5.20512820512821	4.59183673469388	5.54385964912281	28	Public	recent	0.7139005	1	78	Arm Eiken-beukenbos	Volledig in bos	0.2860995
48113	48113_2	2	1	6.7956204379562	2.24621212121212	2.140625	3.16728624535316	5.94360902255639	10	Public	recent	0.7139005	2	78	Arm Eiken-beukenbos	Volledig in bos	0.2860995
55115	55115_1	1	1	6.63101604278075	6.62376237623762	7.08823529411765	5.33774834437086	5.56647398843931	24	Public	recent	0.2015045	1	40	Elzen-vogelkersbos	Volledig in bos	0.7984955
55115	55115_2	2	1	6.79569892473118	7.74853801169591	6.95636363636364	5.92361111111111	5.63157894736842	16	Private	recent	0.2015045	2	40	Elzen-vogelkersbos	Volledig in bos	0.7984955
56018	56018_2	2	0.63	4.04213483146067	7.78571428571429	6.71428571428571	5.025	5.01404494382022	10	Private	NA	0.4685218	2	78	Arm Eiken-beukenbos	Rand	0.5314782
56019	56019_1	1	1	5.27058823529412	7.59322033898305	7	5.16494845360825	5.65934065934066	12	Private	recent	NA	1	78	Arm Eiken-beukenbos	Volledig in bos	NA
72144	72144_2	2	0.61	6.31797235023041	6.2196261682243	7.13461538461539	5.58045977011494	5.61458333333333	33	Public	NA	0.2010239	2	40	Elzen-vogelkersbos	Rand	0.7989761
73040	73040_2	2	0.65	4.38095238095238	6.91666666666667	3.8	6.05263157894737	5.5	7	Private	recent	0.5962842	2	79	Arm Eiken-beukenbos	Rand	0.4037158
73054	73054_2	2	0.39	6.42696629213483	2.90277777777778	2.72222222222222	4.29230769230769	5.78688524590164	10	Private	recent	0.3033586	2	69	Eiken-beukenbos	Rand	0.6966414
73062	73062_2	2	0.92	6.28342245989305	3.35593220338983	2.77586206896552	4.93975903614458	5.91397849462366	14	Private	recent	0.61524	2	69	Eiken-beukenbos	Rand	0.38476
73063	73063_1	2	1	6.98882681564246	1	4	7.01129943502825	6	5	Public	recent	0.5168937	2	78	Arm Eiken-beukenbos	Volledig in bos	0.4831063
73064	73064_2	2	1	6.43939393939394	2.02857142857143	2.84090909090909	5.29545454545455	6	10	Private	recent	0.7100561	2	78	Arm Eiken-beukenbos	Volledig in bos	0.2899439
73086	73086_2	2	1	6.86986301369863	1.1203007518797	2.89655172413793	6.96641791044776	6	7	Private	NA	0.8252877	2	78	Arm Eiken-beukenbos	Volledig in bos	0.1747123
73087	73087_1	1	1	7.02298850574713	1.01171875	1.33333333333333	7.00793650793651	4.5	6	Public	recent	NA	1	78	Arm Eiken-beukenbos	Volledig in bos	NA
73120	73120_1	1	1	7	2.5	2.28571428571429	5.5	6	9	Public	recent	0.5402793	1	78	Arm Eiken-beukenbos	Volledig in bos	0.4597207
73120	73120_2	2	1	6.72413793103448	2.44444444444444	1.8046875	4.28	5.72222222222222	14	Private	recent	0.5402793	2	78	Arm Eiken-beukenbos	Volledig in bos	0.4597207
73154	73154_2	2	0.88	5.72307692307692	4.37931034482759	3.1	5.72413793103448	5.83333333333333	6	Private	recent	0.7512088	2	78	Arm Eiken-beukenbos	Rand	0.2487912
74013	74013_1	2	1	5.66666666666667	3.97297297297297	3.45454545454545	5.38095238095238	5.84615384615385	15	Public	recent	0.3495947	2	78	Arm Eiken-beukenbos	Volledig in bos	0.6504053
74017	74017_1	1	1	5.92592592592593	5	4	5.5	6	5	Private	recent	0.8358448	1	79	Arm Eiken-beukenbos	Volledig in bos	0.1641552
74017	74017_2	2	1	4	7	NA	6	NA	3	Private	recent	0.8358448	2	79	Arm Eiken-beukenbos	Volledig in bos	0.1641552
74018	74018_1	1	1	6.79661016949153	1.26666666666667	2.71428571428571	6.70833333333333	6	9	Public	recent	0.825383	1	69	Eiken-beukenbos	Volledig in bos	0.174617
74018	74018_2	2	1	6.77595628415301	1.36144578313253	3.5	6.82035928143713	5.76470588235294	9	Public	recent	0.825383	2	69	Eiken-beukenbos	Volledig in bos	0.174617
74019	74019_1	1	1	5.83720930232558	4.57142857142857	4.13333333333333	5.23529411764706	5.76470588235294	9	Private	recent	0.4370874	1	78	Arm Eiken-beukenbos	Volledig in bos	0.5629126
74019	74019_1	2	0.95	4.18604651162791	6.79487179487179	4	5.81395348837209	5.5	4	Private	recent	0.4370874	2	78	Arm Eiken-beukenbos	Rand	0.5629126
74026	74026_2	2	1	6.98039215686275	1	4	6.97254901960784	6	4	Public	recent	0.853356	2	79	Arm Eiken-beukenbos	Volledig in bos	0.146644
74034	74034_1	1	1	6.06153846153846	3	2.73076923076923	5	5.975	5	Public	recent	0.7927126	1	78	Arm Eiken-beukenbos	Volledig in bos	0.2072874
74034	74034_2	2	1	6.82592592592593	3.61302681992337	3.63888888888889	6.21333333333333	5.4	20	Public	recent	0.7927126	2	78	Arm Eiken-beukenbos	Volledig in bos	0.2072874
74041	74041_2	2	1	6.36826347305389	4.81733746130031	3.9585798816568	6.11494252873563	5.9	16	Private	recent	0.7017481	2	79	Arm Eiken-beukenbos	Volledig in bos	0.2982519
74049	74049_1	1	1	4.42298288508557	5.47407407407407	4.0253164556962	6.06563706563707	5	6	Private	recent	0.7807733	1	79	Arm Eiken-beukenbos	Volledig in bos	0.2192267
74049	74049_2	2	0.89	4.99526066350711	6.58536585365854	5.69369369369369	6.05185185185185	5.65420560747664	28	Private	recent	0.7807733	2	79	Arm Eiken-beukenbos	Rand	0.2192267
74050	74050_1	1	1	6.98595505617978	1	4	7.0056338028169	6	7	Private	recent	0.7097855	1	79	Arm Eiken-beukenbos	Volledig in bos	0.2902145
74050	74050_1	2	0.93	7	1	NA	7	6	2	Private	recent	0.7097855	2	79	Arm Eiken-beukenbos	Rand	0.2902145
74057	74057_1	2	1	6.975	1	4	7.02506963788301	6	4	Private	recent	0.7984406	2	79	Arm Eiken-beukenbos	Volledig in bos	0.2015594
74065	74065_1	2	1	6.953125	1.24396782841823	3.45833333333333	6.94101876675603	5.7	14	Private	recent	0.670754	2	78	Arm Eiken-beukenbos	Volledig in bos	0.329246
74066	74066_1	1	1	6.83798882681564	1	4	6.83529411764706	6	6	Private	recent	0.8629295	1	78	Arm Eiken-beukenbos	Volledig in bos	0.1370705
74066	74066_2	2	1	6.8719512195122	1.15584415584416	4	6.93081761006289	6	6	Private	recent	0.8629295	2	78	Arm Eiken-beukenbos	Volledig in bos	0.1370705
74067	74067_1	1	1	4.4	7	4	6	NA	3	Private	oud	0.7457027	1	20	Elzenbroekbos	Volledig in bos	0.2542973
74067	74067_1	2	1	4.5	7	4	6	8	3	Private	oud	0.7457027	2	20	Elzenbroekbos	Volledig in bos	0.2542973
74072	74072_2	2	0.58	7.0025	1.26666666666667	3.64102564102564	6.96073298429319	5.87096774193548	13	Private	NA	0.1453559	2	79	Arm Eiken-beukenbos	Rand	0.8546441
74074	74074_2	2	1	6	NA	NA	5	6	3	Private	recent	0.8875985	2	69	Eiken-beukenbos	Volledig in bos	0.1124015
74082	74082_1	1	1	6.01219512195122	2	3.6	5.02631578947368	6	6	Private	recent	0.8300169	1	69	Eiken-beukenbos	Volledig in bos	0.1699831
74082	74082_2	2	1	6.25978647686833	3.55882352941176	3.01298701298701	5.92857142857143	5.37323943661972	20	Private	recent	0.8300169	2	69	Eiken-beukenbos	Volledig in bos	0.1699831
74087	74087_1	1	1	6	NA	NA	5	6	2	Private	recent	0.5670768	1	78	Arm Eiken-beukenbos	Volledig in bos	0.4329232
74087	74087_1	2	1	5.66666666666667	7	4	5.2	6	3	Public	recent	0.5670768	2	78	Arm Eiken-beukenbos	Volledig in bos	0.4329232
74088	74088_1	1	1	5.86206896551724	4.22388059701493	2.82758620689655	5.02040816326531	5.02040816326531	6	Private	recent	0.329719	1	79	Arm Eiken-beukenbos	Volledig in bos	0.670281
74088	74088_2	2	1	6.59016393442623	4.546875	3.87755102040816	5.7	5.4	11	Private	recent	0.329719	2	79	Arm Eiken-beukenbos	Volledig in bos	0.670281
74090	74090_2	2	1	5.63076923076923	4.09523809523809	3.20833333333333	5.10416666666667	5.82352941176471	13	Private	NA	0.7604446	2	69	Eiken-beukenbos	Volledig in bos	0.2395554
74128	74128_2	2	0.63	6.68852459016393	4.11340206185567	4.02247191011236	4.97368421052632	5.66666666666667	14	Private	NA	0.5759457	2	78	Arm Eiken-beukenbos	Rand	0.4240543
74129	74129_1	1	1	6.65686274509804	1.7741935483871	3.30769230769231	6.96039603960396	6	8	Public	recent	0.6831352	1	78	Arm Eiken-beukenbos	Volledig in bos	0.3168648
74129	74129_2	2	1	7.00842696629214	1	1.6	7	6	5	Public	recent	0.6831352	2	78	Arm Eiken-beukenbos	Volledig in bos	0.3168648
74130	74130_1	1	1	5.81818181818182	7	4	5.1	6	3	Private	recent	0.7730623	1	79	Arm Eiken-beukenbos	Volledig in bos	0.2269377
74130	74130_2	2	1	5.51612903225806	4.92307692307692	3.69230769230769	5.19047619047619	5.72222222222222	10	Private	recent	0.7730623	2	79	Arm Eiken-beukenbos	Volledig in bos	0.2269377
74135	74135_1	1	1	7	8	NA	6	NA	2	Private	recent	0.5627759	1	79	Arm Eiken-beukenbos	Volledig in bos	0.4372241
74135	74135_2	2	0.6	6.03448275862069	5.53488372093023	5.29411764705882	5.83928571428571	5.83783783783784	17	Private	recent	0.5627759	2	79	Arm Eiken-beukenbos	Rand	0.4372241
74137	74137_1	2	1	7.02228412256267	1.01117318435754	1	7.01129943502825	5.2	6	Public	recent	0.6722386	2	79	Arm Eiken-beukenbos	Volledig in bos	0.3277614
74143	74143_1	2	1	4.53333333333333	6.11111111111111	4	5.35714285714286	5.7	7	Private	recent	0.7188184	2	79	Arm Eiken-beukenbos	Volledig in bos	0.2811816
74145	74145_1	1	1	6.98866855524079	1.02840909090909	5	6.99147727272727	3	5	Private	oud	0.800062	1	79	Arm Eiken-beukenbos	Volledig in bos	0.199938
74145	74145_1	2	1	6.98804780876494	1.02390438247012	NA	6.99601593625498	NA	3	Private	oud	0.800062	2	79	Arm Eiken-beukenbos	Volledig in bos	0.199938
74146	74146_1	1	1	6.27027027027027	2.25	3.78260869565217	6.47058823529412	5.9	10	Public	recent	NA	1	78	Arm Eiken-beukenbos	Volledig in bos	NA
74151	74151_1	1	1	5.9	3.3	2.4	5.5	5.5	6	Private	recent	NA	1	79	Arm Eiken-beukenbos	Volledig in bos	NA
74156	74156_1	2	1	6.34649122807018	2.22842639593909	3.61290322580645	6.75728155339806	5.92307692307692	15	Public	recent	0.8482684	2	78	Arm Eiken-beukenbos	Volledig in bos	0.1517316
74157	74157_1	2	1	7	1	NA	7	NA	1	Public	recent	0.6110495	2	78	Arm Eiken-beukenbos	Volledig in bos	0.3889505
75149	75149_1	1	1	6.86666666666667	8.06666666666667	6.96842105263158	5.875	5.6551724137931	14	Private	NA	0.2883037	1	79	Arm Eiken-beukenbos	Volledig in bos	0.7116963
75149	75149_1	2	1	6.55172413793103	8.25396825396825	6.8974358974359	5.890625	5	10	Private	NA	0.2883037	2	79	Arm Eiken-beukenbos	Volledig in bos	0.7116963
76048	76048_2	2	0.79	6.70652173913043	7.37677725118483	6.88857142857143	7.7	5.24472573839662	19	Public	NA	0.4802896	2	69	Eiken-beukenbos	Rand	0.5197104
77011	77011_2	2	1	6.37647058823529	2.29230769230769	2.05769230769231	5.89189189189189	6	8	Public	NA	0.6458609	2	69	Eiken-beukenbos	Volledig in bos	0.3541391
77012	77012_2	2	1	5.90812720848057	3.18939393939394	2.11940298507463	5.91304347826087	5.85714285714286	11	Private	recent	0.8074953	2	78	Arm Eiken-beukenbos	Volledig in bos	0.1925047
77013	77013_2	2	0.89	5.72093023255814	NA	4	5	5.8974358974359	4	Private	oud	0.848246	2	78	Arm Eiken-beukenbos	Rand	0.151754
77015	77015_1	2	1	6.28571428571429	1	4	6.6	6	4	Private	recent	0.5635495	2	79	Arm Eiken-beukenbos	Volledig in bos	0.4364505
77016	77016_2	2	1	6.81034482758621	6.03053435114504	4.18181818181818	5.67741935483871	5.09025270758123	14	Private	recent	0.8426553	2	79	Arm Eiken-beukenbos	Volledig in bos	0.1573447
77021	77021_1	1	1	6	NA	NA	5	6	3	Private	recent	0.8106341	1	79	Arm Eiken-beukenbos	Volledig in bos	0.1893659
77021	77021_2	2	1	6.3125	3.91666666666667	3	6.33333333333333	5.66666666666667	11	Public	recent	0.8106341	2	79	Arm Eiken-beukenbos	Volledig in bos	0.1893659
77024	77024_1	1	1	6.08	2.75	3.7	6.94444444444444	5.5	13	Private	oud	0.8469892	1	79	Arm Eiken-beukenbos	Volledig in bos	0.1530108
77024	77024_2	2	1	6.56797583081571	1.87267080745342	2.14634146341463	6.89003436426117	5.9	13	Private	oud	0.8469892	2	79	Arm Eiken-beukenbos	Volledig in bos	0.1530108
77032	77032_2	2	1	7	1.20100502512563	2.33333333333333	7	NA	4	Public	NA	0.5407416	2	79	Arm Eiken-beukenbos	Volledig in bos	0.4592584
