IDPlots	Periode	IDGroup	PlotWeight	StartPeriode	DateDendro	Reeks	NbSpec	StandType	OwnerType	ForestType	UBBP_MeerDan10Jr	UBBP	ForestAge	Frag	pnv	Paired_1_2	fpnv	Frag2	fPeriode	fpnvGroup	FragInv	Weight	Year	Rand
17144	1	17144_1	1	1	1999	6	3	loofhout	Privaat	NA	FALSE	FALSE	recent	0.3676269	79	FALSE	79	-1.69870824770832	VBI 1	Arm Eiken-beukenbos	0.6323731	1	1999	Volledig in bos
17144	2	17144_2	0.66	2	2014	6	4	loofhout	Privaat	I	FALSE	FALSE	recent	0.3676269	79	FALSE	79	-1.69870824770832	VBI 2	Arm Eiken-beukenbos	0.6323731	0.66	2014	Rand
18111	1	18111_1	1	1	1999	4	2	naaldhout	Privaat	NA	FALSE	FALSE	recent	0.6681299	78	TRUE	78	0.0638520930736678	VBI 1	Arm Eiken-beukenbos	0.3318701	1	1999	Volledig in bos
18111	2	18111_1	1	1	2013	4	2	naaldhout	Privaat	I	FALSE	FALSE	recent	0.6681299	78	TRUE	78	0.0638520930736678	VBI 2	Arm Eiken-beukenbos	0.3318701	1	2013	Volledig in bos
18127	1	18127_1	1	1	1999	4	4	naaldhout	Privaat	NA	FALSE	FALSE	oud	0.5314914	69	TRUE	69	-0.737582838104857	VBI 1	Eiken-beukenbos	0.4685086	1	1999	Volledig in bos
18127	2	18127_1	1	1	2013	4	4	naaldhout	Privaat	I	FALSE	FALSE	oud	0.5314914	69	TRUE	69	-0.737582838104857	VBI 2	Eiken-beukenbos	0.4685086	1	2013	Volledig in bos
18135	1	18135_1	1	1	1999	4	4	naaldhout	Publiek	I	FALSE	FALSE	recent	0.7765124	69	TRUE	69	0.699555217950305	VBI 1	Eiken-beukenbos	0.2234876	1	1999	Volledig in bos
18135	2	18135_1	1	1	2013	4	8	naaldhout	Privaat	I	FALSE	FALSE	recent	0.7765124	69	TRUE	69	0.699555217950305	VBI 2	Eiken-beukenbos	0.2234876	1	2013	Volledig in bos
18159	2	18159_2	0.63	2	2013	4	2	loofhout	Publiek	D	FALSE	FALSE	NA	0.3692643	79	FALSE	79	-1.68910429599404	VBI 2	Arm Eiken-beukenbos	0.6307357	0.63	2013	Rand
26148	1	26148_1	1	1	1998	1	4	loofhout	Privaat	I	FALSE	FALSE	recent	0.7211562	78	TRUE	78	0.374870796375825	VBI 1	Arm Eiken-beukenbos	0.2788438	1	1998	Volledig in bos
