Species	Year	Lower_bound	Median	Upper_bound
Grote weerschijnvlinder	2009	0.00225025	0.005300428	0.009901649
Grote weerschijnvlinder	2010	0.003869878	0.006956403	0.011648353
Grote weerschijnvlinder	2011	0.007847949	0.012198137	0.019677567
Grote weerschijnvlinder	2012	0.006343603	0.011440857	0.017897068
Grote weerschijnvlinder	2013	0.010693481	0.01660261	0.023727479
Grote weerschijnvlinder	2014	0.012304842	0.017479551	0.02444594
Grote weerschijnvlinder	2015	0.018694502	0.026115426	0.034885762
Grote weerschijnvlinder	2016	0.017531299	0.02505712	0.035047077
Grote weerschijnvlinder	2017	0.042458438	0.054815767	0.069603447
Grote weerschijnvlinder	2018	0.100331733	0.117889797	0.14005443
Grote weerschijnvlinder	2019	0.058064159	0.0727187	0.090023934
Keizersmantel	2009	0.011659749	0.018387341	0.0276601
Keizersmantel	2010	0.024341153	0.033049614	0.046059891
Keizersmantel	2011	0.019264869	0.028066408	0.038962388
Keizersmantel	2012	0.01192155	0.017988505	0.025981125
Keizersmantel	2013	0.030119529	0.038467156	0.047143472
Keizersmantel	2014	0.043102395	0.054183478	0.070707033
Keizersmantel	2015	0.046077213	0.058956788	0.07246564
Keizersmantel	2016	0.028081383	0.03564375	0.045422357
Keizersmantel	2017	0.082798823	0.098586336	0.116160234
Keizersmantel	2018	0.317939811	0.354723059	0.392940611
Keizersmantel	2019	0.174135106	0.197818259	0.220447462
Kleine ijsvogelvlinder	2009	0.016497539	0.020418806	0.025759312
Kleine ijsvogelvlinder	2010	0.021685386	0.026652759	0.033110252
Kleine ijsvogelvlinder	2011	0.029199193	0.034914041	0.042763884
Kleine ijsvogelvlinder	2012	0.016873362	0.021039117	0.026271184
Kleine ijsvogelvlinder	2013	0.031368509	0.03615713	0.041869183
Kleine ijsvogelvlinder	2014	0.024180373	0.027801275	0.032219629
Kleine ijsvogelvlinder	2015	0.022345553	0.027230397	0.031750291
Kleine ijsvogelvlinder	2016	0.025120913	0.029629415	0.034618002
Kleine ijsvogelvlinder	2017	0.045501595	0.05134166	0.057956126
Kleine ijsvogelvlinder	2018	0.056461113	0.062888439	0.069751008
Kleine ijsvogelvlinder	2019	0.037168026	0.041669443	0.047499881
