IDPlots	Periode	IDGroup	PlotWeight	StartPeriode	DateDendro	Reeks	staand	liggend	totaal	StandType	OwnerType	ForestType	UBBP_MeerDan10Jr	UBBP	ForestAge	Frag	pnv	Paired_1_2	fpnv	fPeriode	fpnvGroup	Weight	Year	Rand
17144	1	17144_1	1	1	1999	6	10.2522900577758	NA	NA	loofhout	Private	NA	FALSE	FALSE	recent	0.3676269	79	FALSE	79	1	Arm Eiken-beukenbos	1	1999	Volledig in bos
17144	2	17144_2	0.66	2	2014	6	26.5424086050699	8.88264396098042	35.4250525660503	loofhout	Private	I	FALSE	FALSE	recent	0.3676269	79	FALSE	79	2	Arm Eiken-beukenbos	0.66	2014	Rand
18111	1	18111_1	1	1	1999	4	24.0683430612058	NA	NA	naaldhout	Private	NA	FALSE	FALSE	recent	0.6681299	78	TRUE	78	1	Arm Eiken-beukenbos	1	1999	Volledig in bos
18111	2	18111_1	1	1	2013	4	16.1101958951952	28.9812678501086	45.0914637453038	naaldhout	Private	I	FALSE	FALSE	recent	0.6681299	78	TRUE	78	2	Arm Eiken-beukenbos	1	2013	Volledig in bos
18127	1	18127_1	1	1	1999	4	2.17944084061598	NA	NA	naaldhout	Private	NA	FALSE	FALSE	oud	0.5314914	69	TRUE	69	1	Eiken-beukenbos	1	1999	Volledig in bos
18127	2	18127_1	1	1	2013	4	0.738121030274773	39.289926045063	40.0280470753378	naaldhout	Private	I	FALSE	FALSE	oud	0.5314914	69	TRUE	69	2	Eiken-beukenbos	1	2013	Volledig in bos
18135	1	18135_1	1	1	1999	4	0	0.645038921305912	0.645038921305912	naaldhout	Public	I	FALSE	FALSE	recent	0.7765124	69	TRUE	69	1	Eiken-beukenbos	1	1999	Volledig in bos
18135	2	18135_1	1	1	2013	4	0	5.48311355616075	5.48311355616075	naaldhout	Private	I	FALSE	FALSE	recent	0.7765124	69	TRUE	69	2	Eiken-beukenbos	1	2013	Volledig in bos
18159	2	18159_2	0.63	2	2013	4	0	0	0	loofhout	Public	D	FALSE	FALSE	NA	0.3692643	79	FALSE	79	2	Arm Eiken-beukenbos	0.63	2013	Rand
26148	1	26148_1	1	1	1998	1	13.2159901454056	0.645038921305912	13.8610290667115	loofhout	Private	I	FALSE	FALSE	recent	0.7211562	78	TRUE	78	1	Arm Eiken-beukenbos	1	1998	Volledig in bos
26148	2	26148_1	0.92	1	2010	1	0	2.22066099024511	2.22066099024511	loofhout	Private	I	FALSE	FALSE	recent	0.7211562	78	TRUE	78	2	Arm Eiken-beukenbos	0.92	2010	Rand
27091	1	27091_1	1	1	1998	9	8.8142967450221	NA	NA	loofhout	Public	NA	FALSE	FALSE	recent	0.510594	69	TRUE	69	1	Eiken-beukenbos	1	1998	Volledig in bos
27091	2	27091_1	1	1	2017	9	2.45351151488492	0	2.45351151488492	loofhout	Public	I	FALSE	TRUE	recent	0.510594	69	TRUE	69	2	Eiken-beukenbos	1	2017	Volledig in bos
27113	1	27113_1	1	1	1998	9	0	0.645038921305912	0.645038921305912	gemengd naaldhout	Private	I	FALSE	FALSE	recent	0.511302	79	TRUE	79	1	Arm Eiken-beukenbos	1	1998	Volledig in bos
27113	2	27113_1	1	1	2017	9	0.809077968701814	1.34336282125938	2.1524407899612	gemengd loofhout	Private	I	FALSE	FALSE	recent	0.511302	79	TRUE	79	2	Arm Eiken-beukenbos	1	2017	Volledig in bos
27124	1	27124_1	1	1	1998	9	0	NA	NA	naaldhout	Private	NA	FALSE	FALSE	recent	0.7424276	78	TRUE	78	1	Arm Eiken-beukenbos	1	1998	Volledig in bos
27124	2	27124_1	1	1	2017	9	1.11989765489299	1.75459633797144	2.87449399286443	naaldhout	Private	I	FALSE	FALSE	recent	0.7424276	78	TRUE	78	2	Arm Eiken-beukenbos	1	2017	Volledig in bos
27131	1	27131_1	1	1	1998	9	0	1.29007784261182	1.29007784261182	loofhout	Private	I	FALSE	FALSE	recent	0.7859239	79	TRUE	79	1	Arm Eiken-beukenbos	1	1998	Volledig in bos
27131	2	27131_1	1	1	2017	9	0	0	0	loofhout	Private	I	FALSE	FALSE	recent	0.7859239	79	TRUE	79	2	Arm Eiken-beukenbos	1	2017	Volledig in bos
27137	1	27137_1	1	1	1998	9	19.2507398686726	NA	NA	gemengd naaldhout	Private	NA	FALSE	FALSE	recent	0.4271455	78	TRUE	78	1	Arm Eiken-beukenbos	1	1998	Volledig in bos
27137	2	27137_1	0.96	1	2017	9	6.59177136328002	0	6.59177136328002	gemengd naaldhout	Private	I	FALSE	FALSE	recent	0.4271455	78	TRUE	78	2	Arm Eiken-beukenbos	0.96	2017	Rand
27138	1	27138_1	1	1	1998	9	0	NA	NA	gemengd naaldhout	Private	NA	FALSE	FALSE	recent	0.5091597	79	FALSE	79	1	Arm Eiken-beukenbos	1	1998	Volledig in bos
27138	2	27138_2	1	2	2017	9	0	0	0	naaldhout	Private	I	FALSE	FALSE	recent	0.5091597	79	FALSE	79	2	Arm Eiken-beukenbos	1	2017	Volledig in bos
27139	1	27139_1	1	1	1998	9	0	NA	NA	naaldhout	Private	NA	FALSE	FALSE	recent	0.8304816	79	TRUE	79	1	Arm Eiken-beukenbos	1	1998	Volledig in bos
27139	2	27139_1	1	1	2017	9	45.8026687274528	0	45.8026687274528	naaldhout	Private	J	FALSE	FALSE	recent	0.8304816	79	TRUE	79	2	Arm Eiken-beukenbos	1	2017	Volledig in bos
27140	1	27140_1	1	1	1998	9	0	NA	NA	loofhout	Private	NA	FALSE	FALSE	recent	0.5483368	20	FALSE	20	1	Elzenbroekbos	1	1998	Volledig in bos
27140	2	27140_2	0.69	2	2017	9	0	0	0	loofhout	Private	D	FALSE	FALSE	recent	0.5483368	20	FALSE	20	2	Elzenbroekbos	0.69	2017	Rand
27145	1	27145_1	1	1	1998	9	0	0	0	naaldhout	Private	I	FALSE	FALSE	recent	0.541755	79	FALSE	79	1	Arm Eiken-beukenbos	1	1998	Volledig in bos
27145	2	27145_2	0.64	2	2017	9	8.6821140447901	0	8.6821140447901	naaldhout	Private	I	FALSE	FALSE	recent	0.541755	79	FALSE	79	2	Arm Eiken-beukenbos	0.64	2017	Rand
27148	1	27148_1	1	1	1998	9	0	0	0	gemengd naaldhout	Private	H	FALSE	FALSE	oud	0.6503839	69	TRUE	69	1	Eiken-beukenbos	1	1998	Volledig in bos
27148	2	27148_1	1	1	2017	9	0	37.8883146730708	37.8883146730708	naaldhout	Private	I	FALSE	FALSE	oud	0.6503839	69	TRUE	69	2	Eiken-beukenbos	1	2017	Volledig in bos
27154	1	27154_1	1	1	1998	9	0	NA	NA	gemengd naaldhout	Private	NA	FALSE	FALSE	recent	0.8274552	78	TRUE	78	1	Arm Eiken-beukenbos	1	1998	Volledig in bos
27154	2	27154_1	1	1	2017	9	41.662614822325	5.72950557512922	47.3921203974542	gemengd naaldhout	Private	I	FALSE	FALSE	recent	0.8274552	78	TRUE	78	2	Arm Eiken-beukenbos	1	2017	Volledig in bos
27156	1	27156_1	1	1	1998	9	53.2710407502022	NA	NA	loofhout	Private	NA	FALSE	FALSE	recent	0.6164229	40	TRUE	40	1	Elzen-vogelkersbos	1	1998	Volledig in bos
27156	2	27156_1	1	1	2017	9	46.7621889387	8.88264396098042	55.6448328996804	loofhout	Private	I	FALSE	FALSE	recent	0.6164229	40	TRUE	40	2	Elzen-vogelkersbos	1	2017	Volledig in bos
35106	1	35106_1	1	1	1998	5	1.65327100651755	NA	NA	loofhout	Private	NA	FALSE	FALSE	recent	0.5469836	20	FALSE	20	1	Elzenbroekbos	1	1998	Volledig in bos
35106	2	35106_2	1	2	2013	5	0	0	0	loofhout	Private	C	FALSE	FALSE	recent	0.5469836	20	FALSE	20	2	Elzenbroekbos	1	2013	Volledig in bos
35114	1	35114_1	1	1	1999	5	24.6686073564863	18.3349053672031	43.0035127236894	gemengd naaldhout	Private	I	FALSE	FALSE	recent	0.3933358	79	FALSE	79	1	Arm Eiken-beukenbos	1	1999	Volledig in bos
35114	2	35114_2	0.61	2	2013	5	0	23.4121760649565	23.4121760649565	loofhout	Private	I	FALSE	FALSE	recent	0.3933358	79	FALSE	79	2	Arm Eiken-beukenbos	0.61	2013	Rand
35124	1	35124_1	1	1	1998	5	0	NA	NA	naaldhout	Private	NA	FALSE	FALSE	recent	0.4095405	79	TRUE	79	1	Arm Eiken-beukenbos	1	1998	Volledig in bos
35124	2	35124_1	1	1	2013	5	0	39.7525732821655	39.7525732821655	naaldhout	Public	J	FALSE	TRUE	recent	0.4095405	79	TRUE	79	2	Arm Eiken-beukenbos	1	2013	Volledig in bos
35129	1	35129_1	1	1	1997	5	0	0.645038921305912	0.645038921305912	naaldhout	Private	I	FALSE	FALSE	recent	0.6937266	79	TRUE	79	1	Arm Eiken-beukenbos	1	1997	Volledig in bos
35129	2	35129_1	1	1	2013	5	0	3.97525732821655	3.97525732821655	naaldhout	Public	I	FALSE	TRUE	recent	0.6937266	79	TRUE	79	2	Arm Eiken-beukenbos	1	2013	Volledig in bos
35132	1	35132_1	1	1	1997	5	0	0	0	naaldhout	Public	I	FALSE	FALSE	recent	0.5823411	79	FALSE	79	1	Arm Eiken-beukenbos	1	1997	Volledig in bos
35132	2	35132_2	1	2	2013	5	28.8477076442432	0	28.8477076442432	naaldhout	Public	I	FALSE	TRUE	recent	0.5823411	79	FALSE	79	2	Arm Eiken-beukenbos	1	2013	Volledig in bos
35140	1	35140_1	1	1	1997	5	17.1542645139448	NA	NA	naaldhout	Public	NA	FALSE	FALSE	recent	0.6540228	79	TRUE	79	1	Arm Eiken-beukenbos	1	1997	Volledig in bos
35140	2	35140_1	1	1	2013	5	0	2.74155677808038	2.74155677808038	naaldhout	Public	I	FALSE	TRUE	recent	0.6540228	79	TRUE	79	2	Arm Eiken-beukenbos	1	2013	Volledig in bos
35145	1	35145_1	1	1	1997	5	11.433196481568	0.645038921305912	12.0782354028739	naaldhout	Public	I	FALSE	FALSE	recent	0.6440949	79	TRUE	79	1	Arm Eiken-beukenbos	1	1997	Volledig in bos
35145	2	35145_1	1	1	2013	5	0	0	0	naaldhout	Public	I	FALSE	FALSE	recent	0.6440949	79	TRUE	79	2	Arm Eiken-beukenbos	1	2013	Volledig in bos
35148	1	35148_1	1	1	1997	5	9.85966273854961	0.645038921305912	10.5047016598555	naaldhout	Public	I	FALSE	FALSE	recent	0.6982925	78	FALSE	78	1	Arm Eiken-beukenbos	1	1997	Volledig in bos
35148	2	35148_2	1	2	2013	5	0	4.63323095495584	4.63323095495584	naaldhout	Public	I	FALSE	TRUE	recent	0.6982925	78	FALSE	78	2	Arm Eiken-beukenbos	1	2013	Volledig in bos
35149	2	35149_2	0.59	2	2013	4	0	33.0357591758685	33.0357591758685	loofhout	Private	I	FALSE	FALSE	NA	0.5674633	79	FALSE	79	2	Arm Eiken-beukenbos	0.59	2013	Rand
35157	1	35157_1	1	1	1997	4	0	NA	NA	loofhout	Private	NA	FALSE	FALSE	recent	0.730021	79	FALSE	79	1	Arm Eiken-beukenbos	1	1997	Volledig in bos
35157	2	35157_2	0.83	2	2013	4	1.13090161495685	0	1.13090161495685	loofhout	Private	I	FALSE	FALSE	recent	0.730021	79	FALSE	79	2	Arm Eiken-beukenbos	0.83	2013	Rand
47128	1	47128_1	1	1	1998	8	0	NA	NA	naaldhout	Public	NA	FALSE	FALSE	NA	NA	78	FALSE	78	1	Arm Eiken-beukenbos	1	1998	Volledig in bos
47136	1	47136_1	1	1	1999	8	27.0183965034472	1.29007784261182	28.308474346059	naaldhout	Public	D	FALSE	FALSE	recent	NA	78	FALSE	78	1	Arm Eiken-beukenbos	1	1999	Volledig in bos
48063	2	48063_2	1	2	2018	10	13.5940373594901	0	13.5940373594901	loofhout	Public	D	FALSE	FALSE	NA	0.1093765	78	FALSE	78	2	Arm Eiken-beukenbos	1	2018	Volledig in bos
48064	2	48064_2	1	2	2018	10	0	0	0	loofhout	Public	E	FALSE	FALSE	NA	0.4877646	40	FALSE	40	2	Elzen-vogelkersbos	1	2018	Volledig in bos
48072	2	48072_2	1	2	2017	10	31.1573238844405	0	31.1573238844405	loofhout	Public	A	FALSE	FALSE	NA	0.4955654	40	FALSE	40	2	Elzen-vogelkersbos	1	2017	Volledig in bos
48113	1	48113_1	1	1	1998	9	0	0	0	naaldhout	Public	A	FALSE	FALSE	recent	0.7139005	78	FALSE	78	1	Arm Eiken-beukenbos	1	1998	Volledig in bos
48113	2	48113_2	1	2	2017	9	9.35617562228353	0	9.35617562228353	naaldhout	Public	I	FALSE	TRUE	recent	0.7139005	78	FALSE	78	2	Arm Eiken-beukenbos	1	2017	Volledig in bos
55115	1	55115_1	1	1	1998	7	3.35712730596122	17.6898664458972	21.0469937518584	loofhout	Public	A	FALSE	FALSE	recent	0.2015045	40	FALSE	40	1	Elzen-vogelkersbos	1	1998	Volledig in bos
55115	2	55115_2	1	2	2015	7	3.97942049315036	8.88125159674535	12.8606720898957	loofhout	Private	D	FALSE	FALSE	recent	0.2015045	40	FALSE	40	2	Elzen-vogelkersbos	1	2015	Volledig in bos
56018	2	56018_2	0.63	2	2014	5	21.4621003105416	3.31728370147726	24.7793840120189	gemengd loofhout	Private	E	FALSE	FALSE	NA	0.4685218	78	FALSE	78	2	Arm Eiken-beukenbos	0.63	2014	Rand
56019	1	56019_1	1	1	1998	5	4.51954181234739	0	4.51954181234739	loofhout	Private	E	FALSE	FALSE	recent	NA	78	FALSE	78	1	Arm Eiken-beukenbos	1	1998	Volledig in bos
72144	2	72144_2	0.61	2	2017	8	0	0	0	loofhout	Public	D	FALSE	FALSE	NA	0.2010239	40	FALSE	40	2	Elzen-vogelkersbos	0.61	2017	Rand
73032	1	73032_1	1	1	1999	6	0	NA	NA	loofhout	Private	NA	FALSE	FALSE	recent	NA	79	FALSE	79	1	Arm Eiken-beukenbos	1	1999	Volledig in bos
73040	2	73040_2	0.65	2	2014	6	0	37.1741175465348	37.1741175465348	gemengd naaldhout	Private	I	FALSE	FALSE	recent	0.5962842	79	FALSE	79	2	Arm Eiken-beukenbos	0.65	2014	Rand
73054	2	73054_2	0.39	2	2014	6	35.288514793576	1.34336282125938	36.6318776148354	gemengd naaldhout	Private	I	FALSE	FALSE	recent	0.3033586	69	FALSE	69	2	Eiken-beukenbos	0.39	2014	Rand
73062	1	73062_1	1	1	1999	6	0	NA	NA	naaldhout	Private	NA	FALSE	FALSE	recent	0.61524	69	FALSE	69	1	Eiken-beukenbos	1	1999	Volledig in bos
