IDPlots	Periode	IDGroup	PlotWeight	StartPeriode	DateDendro	Reeks	staand	liggend	totaal	StandType	OwnerType	ForestType	UBBP_MeerDan10Jr	UBBP	ForestAge	Frag	pnv	Paired_1_2	fpnv	fPeriode	fpnvGroup	Weight	Year	Rand
73062	2	73062_2	0.92	2	2014	6	56.5234809550781	31.4517269316449	87.9752078867231	gemengd naaldhout	Private	I	FALSE	FALSE	recent	0.61524	69	FALSE	69	2	Eiken-beukenbos	0.92	2014	Rand
73063	1	73063_1	1	1	1998	6	0	NA	NA	naaldhout	Public	NA	FALSE	FALSE	recent	0.5168937	78	TRUE	78	1	Arm Eiken-beukenbos	1	1998	Volledig in bos
73063	2	73063_1	1	1	2014	6	0	104.109475167162	104.109475167162	naaldhout	Public	J	TRUE	TRUE	recent	0.5168937	78	TRUE	78	2	Arm Eiken-beukenbos	1	2014	Volledig in bos
73064	1	73064_1	1	1	1999	6	0	NA	NA	naaldhout	Private	NA	FALSE	FALSE	recent	0.7100561	78	FALSE	78	1	Arm Eiken-beukenbos	1	1999	Volledig in bos
73064	2	73064_2	1	2	2014	6	1.06332818529784	16.0381071517702	17.101435337068	naaldhout	Private	I	FALSE	FALSE	recent	0.7100561	78	FALSE	78	2	Arm Eiken-beukenbos	1	2014	Volledig in bos
73086	2	73086_2	1	2	2014	6	0	15.7968163849534	15.7968163849534	gemengd naaldhout	Private	I	FALSE	FALSE	NA	0.8252877	78	FALSE	78	2	Arm Eiken-beukenbos	1	2014	Volledig in bos
73087	1	73087_1	1	1	1999	6	178.49158414157	60.2562993289359	238.747883470506	naaldhout	Public	J	FALSE	FALSE	recent	NA	78	FALSE	78	1	Arm Eiken-beukenbos	1	1999	Volledig in bos
73120	1	73120_1	1	1	1999	6	0	18.979944288509	18.979944288509	naaldhout	Public	I	FALSE	FALSE	recent	0.5402793	78	FALSE	78	1	Arm Eiken-beukenbos	1	1999	Volledig in bos
73120	2	73120_2	1	2	2014	6	0	0	0	naaldhout	Private	I	FALSE	FALSE	recent	0.5402793	78	FALSE	78	2	Arm Eiken-beukenbos	1	2014	Volledig in bos
73154	1	73154_1	1	1	1999	7	0	NA	NA	naaldhout	Private	NA	FALSE	FALSE	recent	0.7512088	78	FALSE	78	1	Arm Eiken-beukenbos	1	1999	Volledig in bos
73154	2	73154_2	0.88	2	2014	7	20.2456500765931	11.2981577391333	31.5438078157265	naaldhout	Private	I	FALSE	FALSE	recent	0.7512088	78	FALSE	78	2	Arm Eiken-beukenbos	0.88	2014	Rand
74013	1	74013_1	1	1	1999	4	2.20906196511725	NA	NA	gemengd naaldhout	Public	NA	FALSE	FALSE	recent	0.3495947	78	TRUE	78	1	Arm Eiken-beukenbos	1	1999	Volledig in bos
74013	2	74013_1	1	1	2013	4	0.511856433472448	13.7622669349047	14.2741233683772	gemengd naaldhout	Public	I	FALSE	FALSE	recent	0.3495947	78	TRUE	78	2	Arm Eiken-beukenbos	1	2013	Volledig in bos
74017	1	74017_1	1	1	1999	5	27.7845410898586	141.265824737177	169.050365827035	gemengd naaldhout	Private	I	FALSE	FALSE	recent	0.8358448	79	FALSE	79	1	Arm Eiken-beukenbos	1	1999	Volledig in bos
74017	2	74017_2	1	2	2014	5	20.912939257799	0	20.912939257799	gemengd naaldhout	Private	I	FALSE	FALSE	recent	0.8358448	79	FALSE	79	2	Arm Eiken-beukenbos	1	2014	Volledig in bos
74018	1	74018_1	1	1	1999	5	0	4.23838891692803	4.23838891692803	naaldhout	Public	I	FALSE	FALSE	recent	0.825383	69	FALSE	69	1	Eiken-beukenbos	1	1999	Volledig in bos
74018	2	74018_2	1	2	2014	5	2.44279197544792	7.28000282651037	9.72279480195829	gemengd naaldhout	Public	I	FALSE	TRUE	recent	0.825383	69	FALSE	69	2	Eiken-beukenbos	1	2014	Volledig in bos
74019	1	74019_1	1	1	1999	5	0	30.1281496644679	30.1281496644679	naaldhout	Private	I	FALSE	FALSE	recent	0.4370874	78	TRUE	78	1	Arm Eiken-beukenbos	1	1999	Volledig in bos
74019	2	74019_1	0.95	1	2014	5	10.8077205466662	14.393173084922	25.2008936315881	naaldhout	Private	I	FALSE	FALSE	recent	0.4370874	78	TRUE	78	2	Arm Eiken-beukenbos	0.95	2014	Rand
74025	1	74025_1	1	1	1999	5	42.6152364674022	NA	NA	naaldhout	Private	NA	FALSE	FALSE	recent	NA	79	FALSE	79	1	Arm Eiken-beukenbos	1	1999	Volledig in bos
74026	1	74026_1	1	1	1999	5	0	NA	NA	naaldhout	Public	NA	FALSE	FALSE	recent	0.853356	79	FALSE	79	1	Arm Eiken-beukenbos	1	1999	Volledig in bos
74026	2	74026_2	1	2	2014	5	45.402425364907	1.78166381469348	47.1840891796005	naaldhout	Public	J	FALSE	TRUE	recent	0.853356	79	FALSE	79	2	Arm Eiken-beukenbos	1	2014	Volledig in bos
74034	1	74034_1	1	1	1999	5	0	1.29007784261182	1.29007784261182	gemengd loofhout	Public	I	FALSE	FALSE	recent	0.7927126	78	FALSE	78	1	Arm Eiken-beukenbos	1	1999	Volledig in bos
74034	2	74034_2	1	2	2014	5	0	0	0	gemengd naaldhout	Public	I	FALSE	TRUE	recent	0.7927126	78	FALSE	78	2	Arm Eiken-beukenbos	1	2014	Volledig in bos
74041	1	74041_1	1	1	1999	5	0	NA	NA	naaldhout	Private	NA	FALSE	FALSE	recent	0.7017481	79	FALSE	79	1	Arm Eiken-beukenbos	1	1999	Volledig in bos
74041	2	74041_2	1	2	2014	5	14.9731961740271	0	14.9731961740271	gemengd naaldhout	Private	I	FALSE	FALSE	recent	0.7017481	79	FALSE	79	2	Arm Eiken-beukenbos	1	2014	Volledig in bos
74049	1	74049_1	1	1	1999	5	3.18480323047796	0.645038921305912	3.82984215178387	loofhout	Private	J	FALSE	FALSE	recent	0.7807733	79	FALSE	79	1	Arm Eiken-beukenbos	1	1999	Volledig in bos
74049	2	74049_2	0.89	2	2014	5	9.88092409590829	2.74155677808038	12.6224808739886	loofhout	Private	B	FALSE	FALSE	recent	0.7807733	79	FALSE	79	2	Arm Eiken-beukenbos	0.89	2014	Rand
74050	1	74050_1	1	1	1999	5	7.96141756085095	0	7.96141756085095	loofhout	Private	I	FALSE	FALSE	recent	0.7097855	79	TRUE	79	1	Arm Eiken-beukenbos	1	1999	Volledig in bos
74050	2	74050_1	0.93	1	2014	5	10.9892013639979	0	10.9892013639979	loofhout	Private	J	FALSE	TRUE	recent	0.7097855	79	TRUE	79	2	Arm Eiken-beukenbos	0.93	2014	Rand
74057	1	74057_1	1	1	1999	5	0	NA	NA	naaldhout	Private	NA	FALSE	FALSE	recent	0.7984406	79	TRUE	79	1	Arm Eiken-beukenbos	1	1999	Volledig in bos
74057	2	74057_1	1	1	2014	5	0	0	0	naaldhout	Private	J	FALSE	FALSE	recent	0.7984406	79	TRUE	79	2	Arm Eiken-beukenbos	1	2014	Volledig in bos
74058	1	74058_1	1	1	1999	5	9.05429814246953	NA	NA	gemengd naaldhout	Private	NA	FALSE	FALSE	recent	NA	79	FALSE	79	1	Arm Eiken-beukenbos	1	1999	Volledig in bos
74065	1	74065_1	1	1	1999	5	0	NA	NA	naaldhout	Private	NA	FALSE	FALSE	recent	0.670754	78	TRUE	78	1	Arm Eiken-beukenbos	1	1999	Volledig in bos
74065	2	74065_1	1	1	2014	5	84.1229906469997	0	84.1229906469997	gemengd naaldhout	Private	I	FALSE	FALSE	recent	0.670754	78	TRUE	78	2	Arm Eiken-beukenbos	1	2014	Volledig in bos
74066	1	74066_1	1	1	1999	5	12.4149165887131	228.310030564959	240.724947153673	naaldhout	Private	I	FALSE	FALSE	recent	0.8629295	78	FALSE	78	1	Arm Eiken-beukenbos	1	1999	Volledig in bos
74066	2	74066_2	1	2	2014	5	17.2748704661919	1.75459633797144	19.0294668041634	gemengd naaldhout	Private	I	FALSE	FALSE	recent	0.8629295	78	FALSE	78	2	Arm Eiken-beukenbos	1	2014	Volledig in bos
74067	1	74067_1	1	1	1999	5	25.3034756803701	1.29007784261182	26.593553522982	loofhout	Private	I	FALSE	FALSE	oud	0.7457027	20	TRUE	20	1	Elzenbroekbos	1	1999	Volledig in bos
74067	2	74067_1	1	1	2014	5	11.6572649227389	6.22940457330543	17.8866694960443	loofhout	Private	I	FALSE	FALSE	oud	0.7457027	20	TRUE	20	2	Elzenbroekbos	1	2014	Volledig in bos
74072	2	74072_2	0.58	2	2013	4	0	0	0	loofhout	Private	J	FALSE	FALSE	NA	0.1453559	79	FALSE	79	2	Arm Eiken-beukenbos	0.58	2013	Rand
74074	1	74074_1	1	1	1999	5	1.62436508274402	NA	NA	naaldhout	Private	NA	FALSE	FALSE	recent	0.8875985	69	FALSE	69	1	Eiken-beukenbos	1	1999	Volledig in bos
74074	2	74074_2	1	2	2014	5	8.83736991833879	14.5028353560452	23.340205274384	naaldhout	Private	I	FALSE	FALSE	recent	0.8875985	69	FALSE	69	2	Eiken-beukenbos	1	2014	Volledig in bos
74082	1	74082_1	1	1	1999	5	14.5483147706983	10.1350110655604	24.6833258362588	gemengd naaldhout	Private	I	FALSE	FALSE	recent	0.8300169	69	FALSE	69	1	Eiken-beukenbos	1	1999	Volledig in bos
74082	2	74082_2	1	2	2014	5	14.3017906517783	0	14.3017906517783	gemengd loofhout	Private	I	FALSE	FALSE	recent	0.8300169	69	FALSE	69	2	Eiken-beukenbos	1	2014	Volledig in bos
74087	1	74087_1	1	1	1999	4	14.3826174991458	0.645038921305912	15.0276564204517	naaldhout	Private	I	FALSE	FALSE	recent	0.5670768	78	TRUE	78	1	Arm Eiken-beukenbos	1	1999	Volledig in bos
74087	2	74087_1	1	1	2013	4	0	12.4921605209592	12.4921605209592	naaldhout	Public	I	FALSE	FALSE	recent	0.5670768	78	TRUE	78	2	Arm Eiken-beukenbos	1	2013	Volledig in bos
74088	1	74088_1	1	1	1999	4	0	0	0	naaldhout	Private	I	FALSE	FALSE	recent	0.329719	79	FALSE	79	1	Arm Eiken-beukenbos	1	1999	Volledig in bos
74088	2	74088_2	1	2	2013	4	0	0	0	naaldhout	Private	I	FALSE	FALSE	recent	0.329719	79	FALSE	79	2	Arm Eiken-beukenbos	1	2013	Volledig in bos
74090	2	74090_2	1	2	2014	5	0	6.16850275068085	6.16850275068085	gemengd naaldhout	Private	I	FALSE	FALSE	NA	0.7604446	69	FALSE	69	2	Eiken-beukenbos	1	2014	Volledig in bos
74128	2	74128_2	0.63	2	2013	4	0	0	0	naaldhout	Private	I	FALSE	FALSE	NA	0.5759457	78	FALSE	78	2	Arm Eiken-beukenbos	0.63	2013	Rand
74129	1	74129_1	1	1	1998	5	0	1.29007784261182	1.29007784261182	naaldhout	Public	I	FALSE	FALSE	recent	0.6831352	78	FALSE	78	1	Arm Eiken-beukenbos	1	1998	Volledig in bos
74129	2	74129_2	1	2	2014	5	0	0	0	naaldhout	Public	J	TRUE	TRUE	recent	0.6831352	78	FALSE	78	2	Arm Eiken-beukenbos	1	2014	Volledig in bos
74130	1	74130_1	1	1	1999	5	0	1.29007784261182	1.29007784261182	naaldhout	Private	I	FALSE	FALSE	recent	0.7730623	79	FALSE	79	1	Arm Eiken-beukenbos	1	1999	Volledig in bos
74130	2	74130_2	1	2	2014	5	0	0	0	gemengd loofhout	Private	I	FALSE	FALSE	recent	0.7730623	79	FALSE	79	2	Arm Eiken-beukenbos	1	2014	Volledig in bos
74135	1	74135_1	1	1	1999	4	0	0	0	naaldhout	Private	D	FALSE	FALSE	recent	0.5627759	79	FALSE	79	1	Arm Eiken-beukenbos	1	1999	Volledig in bos
74135	2	74135_2	0.6	2	2013	4	14.0697917530811	0	14.0697917530811	naaldhout	Private	I	FALSE	FALSE	recent	0.5627759	79	FALSE	79	2	Arm Eiken-beukenbos	0.6	2013	Rand
74137	1	74137_1	1	1	1998	5	0	NA	NA	naaldhout	Public	NA	FALSE	FALSE	recent	0.6722386	79	TRUE	79	1	Arm Eiken-beukenbos	1	1998	Volledig in bos
74137	2	74137_1	1	1	2014	5	0	4.63323095495584	4.63323095495584	naaldhout	Public	I	TRUE	TRUE	recent	0.6722386	79	TRUE	79	2	Arm Eiken-beukenbos	1	2014	Volledig in bos
74143	1	74143_1	1	1	1999	4	0	NA	NA	loofhout	Public	NA	FALSE	FALSE	recent	0.7188184	79	TRUE	79	1	Arm Eiken-beukenbos	1	1999	Volledig in bos
74143	2	74143_1	1	1	2013	4	2.3872810198612	3.97525732821655	6.36253834807775	loofhout	Private	I	FALSE	FALSE	recent	0.7188184	79	TRUE	79	2	Arm Eiken-beukenbos	1	2013	Volledig in bos
74145	1	74145_1	1	1	1999	5	0	0.645038921305912	0.645038921305912	naaldhout	Private	I	FALSE	FALSE	oud	0.800062	79	TRUE	79	1	Arm Eiken-beukenbos	1	1999	Volledig in bos
74145	2	74145_1	1	1	2014	5	0	8.38247171001046	8.38247171001046	naaldhout	Private	I	FALSE	FALSE	oud	0.800062	79	TRUE	79	2	Arm Eiken-beukenbos	1	2014	Volledig in bos
74146	1	74146_1	1	1	1998	5	18.9461556573485	15.3865942928869	34.3327499502354	naaldhout	Public	I	FALSE	FALSE	recent	NA	78	FALSE	78	1	Arm Eiken-beukenbos	1	1998	Volledig in bos
