IDPlots	Periode	IDGroup	PlotWeight	Replaced	Paired_1_2	fPeriode	Reeks	DateDendro	OwnerType	ForestTypeGroupCode	v11_Volume_ha	v1_HomogeenDen	Weight	Year
17144	1	17144_1	1	FALSE	FALSE	1	6	1999	Private	NA	294.469862274598	0	1	1999
17144	2	17144_2	0.66	FALSE	FALSE	2	6	2014	Private	I	170.102747346575	0	0.66	2014
18111	1	18111_1	1	FALSE	TRUE	1	4	1999	Private	NA	271.625038121762	1	1	1999
18111	2	18111_1	1	FALSE	TRUE	2	4	2013	Private	I	223.615557237313	1	1	2013
18127	1	18127_1	1	FALSE	TRUE	1	4	1999	Private	NA	185.110603438586	1	1	1999
18127	2	18127_1	1	FALSE	TRUE	2	4	2013	Private	I	279.026504892048	1	1	2013
18135	1	18135_1	1	FALSE	TRUE	1	4	1999	Public	I	233.732313720688	0	1	1999
18135	2	18135_1	1	FALSE	TRUE	2	4	2013	Private	I	197.909067402337	1	1	2013
18159	2	18159_2	0.63	FALSE	FALSE	2	4	2013	Public	D	353.773616075202	0	0.63	2013
26148	1	26148_1	1	FALSE	TRUE	1	1	1998	Private	I	244.760863342103	0	1	1998
26148	2	26148_1	0.92	FALSE	TRUE	2	1	2010	Private	I	414.406943938496	0	0.92	2010
27091	1	27091_1	1	FALSE	TRUE	1	9	1998	Public	NA	160.119750077004	0	1	1998
27091	2	27091_1	1	FALSE	TRUE	2	9	2017	Public	I	180.648202766328	0	1	2017
27113	1	27113_1	1	FALSE	TRUE	1	9	1998	Private	I	180.70963566125	0	1	1998
27113	2	27113_1	1	FALSE	TRUE	2	9	2017	Private	I	245.989589257256	0	1	2017
27124	1	27124_1	1	FALSE	TRUE	1	9	1998	Private	NA	431.440463819989	0	1	1998
27124	2	27124_1	1	FALSE	TRUE	2	9	2017	Private	I	766.060185630746	0	1	2017
27131	1	27131_1	1	FALSE	TRUE	1	9	1998	Private	I	283.883114881707	0	1	1998
27131	2	27131_1	1	FALSE	TRUE	2	9	2017	Private	I	313.015282880318	0	1	2017
27137	1	27137_1	1	FALSE	TRUE	1	9	1998	Private	NA	167.661822680586	0	1	1998
27137	2	27137_1	0.96	FALSE	TRUE	2	9	2017	Private	I	301.363180946052	0	0.96	2017
27138	1	27138_1	1	FALSE	FALSE	1	9	1998	Private	NA	0	0	1	1998
27138	2	27138_2	1	FALSE	FALSE	2	9	2017	Private	I	364.828832790062	0	1	2017
27139	1	27139_1	1	FALSE	TRUE	1	9	1998	Private	NA	357.738020143508	1	1	1998
27139	2	27139_1	1	FALSE	TRUE	2	9	2017	Private	J	806.344848910952	1	1	2017
27140	1	27140_1	1	FALSE	FALSE	1	9	1998	Private	NA	0	0	1	1998
27140	2	27140_2	0.69	FALSE	FALSE	2	9	2017	Private	D	386.416616824544	0	0.69	2017
27145	1	27145_1	1	FALSE	FALSE	1	9	1998	Private	I	0	0	1	1998
27145	2	27145_2	0.64	FALSE	FALSE	2	9	2017	Private	I	438.055474525376	1	0.64	2017
27148	1	27148_1	1	FALSE	TRUE	1	9	1998	Private	H	167.526430652083	1	1	1998
27148	2	27148_1	1	FALSE	TRUE	2	9	2017	Private	I	190.657106106401	1	1	2017
27154	1	27154_1	1	FALSE	TRUE	1	9	1998	Private	NA	96.9169723335678	0	1	1998
27154	2	27154_1	1	FALSE	TRUE	2	9	2017	Private	I	240.191342684484	0	1	2017
27156	1	27156_1	1	FALSE	TRUE	1	9	1998	Private	NA	225.348125638958	0	1	1998
27156	2	27156_1	1	FALSE	TRUE	2	9	2017	Private	I	245.57070739203	0	1	2017
35106	1	35106_1	1	FALSE	FALSE	1	5	1998	Private	NA	194.200082583314	0	1	1998
35106	2	35106_2	1	FALSE	FALSE	2	5	2013	Private	C	258.250970333508	0	1	2013
35114	1	35114_1	1	FALSE	FALSE	1	5	1999	Private	I	171.831869610759	1	1	1999
35114	2	35114_2	0.61	FALSE	FALSE	2	5	2013	Private	I	290.28373576334	0	0.61	2013
35124	1	35124_1	1	FALSE	TRUE	1	5	1998	Private	NA	224.880965486442	1	1	1998
35124	2	35124_1	1	FALSE	TRUE	2	5	2013	Public	J	247.43424644424	1	1	2013
35129	1	35129_1	1	FALSE	TRUE	1	5	1997	Private	I	202.166795199801	1	1	1997
35129	2	35129_1	1	FALSE	TRUE	2	5	2013	Public	I	187.475662854971	0	1	2013
35132	1	35132_1	1	FALSE	FALSE	1	5	1997	Public	I	0	0	1	1997
35132	2	35132_2	1	FALSE	FALSE	2	5	2013	Public	I	155.387029800681	1	1	2013
35140	1	35140_1	1	FALSE	TRUE	1	5	1997	Public	NA	242.450677755306	1	1	1997
35140	2	35140_1	1	FALSE	TRUE	2	5	2013	Public	I	298.477696850312	1	1	2013
35145	1	35145_1	1	FALSE	TRUE	1	5	1997	Public	I	185.164301706708	1	1	1997
35145	2	35145_1	1	FALSE	TRUE	2	5	2013	Public	I	153.411588839418	1	1	2013
35148	1	35148_1	1	FALSE	FALSE	1	5	1997	Public	I	151.970969777552	1	1	1997
35148	2	35148_2	1	FALSE	FALSE	2	5	2013	Public	I	97.7415052572337	1	1	2013
35149	2	35149_2	0.59	FALSE	FALSE	2	4	2013	Private	I	318.085310711413	0	0.59	2013
35157	1	35157_1	1	FALSE	FALSE	1	4	1997	Private	NA	227.871411640337	0	1	1997
35157	2	35157_2	0.83	FALSE	FALSE	2	4	2013	Private	I	544.932847798534	0	0.83	2013
47128	1	47128_1	1	FALSE	FALSE	1	8	1998	Public	NA	180.15907667132	1	1	1998
