bostype	plot	Nkg	jaar	N
Beuk	Wijnendale	25029.2	1995	25.0292
Beuk	Wijnendale	24000	1997	24
Beuk	Wijnendale	25840	1999	25.84
Beuk	Wijnendale	27320	2001	27.32
Beuk	Wijnendale	26620	2003	26.62
Beuk	Wijnendale	26580	2005	26.58
Beuk	Wijnendale	24220	2007	24.22
Beuk	Wijnendale	26020	2009	26.02
Beuk	Wijnendale	26780	2011	26.78
Beuk	Wijnendale	27520	2013	27.52
Beuk	Wijnendale	27620	2015	27.62
Beuk	Wijnendale	26924	2017	26.924
Beuk	Zonikn	20787	1995	20.787
Beuk	Zonikn	21640	1997	21.64
Beuk	Zonikn	23660	1999	23.66
Beuk	Zonikn	24520	2001	24.52
Beuk	Zonikn	22720	2003	22.72
Beuk	Zonikn	24840	2005	24.84
Beuk	Zonikn	23560	2007	23.56
Beuk	Zonikn	24020	2009	24.02
Beuk	Zonikn	25340	2011	25.34
Beuk	Zonikn	24280	2013	24.28
Beuk	Zonikn	26360	2015	26.36
Beuk	Zonikn	24702	2017	24.702
Corsicaanse den 	Ravels	18645.2	1995	18.6452
Corsicaanse den 	Ravels	20760	1997	20.76
Corsicaanse den 	Ravels	21000	1999	21
Corsicaanse den 	Ravels	21480	2001	21.48
Corsicaanse den 	Ravels	22140	2003	22.14
Corsicaanse den 	Ravels	22440	2005	22.44
Corsicaanse den 	Ravels	20460	2007	20.46
Corsicaanse den 	Ravels	18140	2009	18.14
Corsicaanse den 	Ravels	18420	2011	18.42
Corsicaanse den 	Ravels	19100	2013	19.1
Corsicaanse den 	Ravels	17880	2015	17.88
Corsicaanse den 	Ravels	18552	2017	18.552
Grove den	Brasschaat	23394	1995	23.394
Grove den	Brasschaat	22540	1997	22.54
Grove den	Brasschaat	24400	1999	24.4
Grove den	Brasschaat	21780	2001	21.78
Grove den	Brasschaat	22920	2003	22.92
Grove den	Brasschaat	23140	2005	23.14
Grove den	Brasschaat	22740	2007	22.74
Grove den	Brasschaat	21460	2009	21.46
Grove den	Brasschaat	21360	2011	21.36
Grove den	Brasschaat	18820	2013	18.82
Grove den	Brasschaat	19540	2015	19.54
Grove den	Brasschaat	21710	2017	21.71
Zomereik	Gontrode	25582	1995	25.582
Zomereik	Gontrode	26720	1997	26.72
Zomereik	Gontrode	26380	1999	26.38
Zomereik	Gontrode	27180	2001	27.18
Zomereik	Gontrode	28140	2003	28.14
Zomereik	Gontrode	29160	2005	29.16
Zomereik	Gontrode	29220	2007	29.22
Zomereik	Gontrode	27020	2009	27.02
Zomereik	Gontrode	28320	2011	28.32
Zomereik	Gontrode	27120	2013	27.12
Zomereik	Gontrode	29380	2015	29.38
Zomereik	Gontrode	27214	2017	27.214
