Druk	bos	grasland	heide_en_landduinen	moeras	rivieren_en_stilstaande_wateren	kustduinen_en_strand	estuaria_slikken_en_schorren
vermesting via de lucht	prioritair	prioritair	prioritair	prioritair	prioritair	niet prioritair	niet prioritair
versnippering	prioritair	prioritair	niet prioritair	prioritair	niet prioritair	prioritair	prioritair
verstoring van hydro- en geomorfologie	niet prioritair	prioritair	niet prioritair	prioritair	prioritair	prioritair	prioritair
vermesting via water en bodem	prioritair	prioritair	niet prioritair	prioritair	prioritair	niet prioritair	niet prioritair
landgebruiksverandering	prioritair	prioritair	niet prioritair	prioritair	niet prioritair	prioritair	prioritair
achterstallig of onaangepast beheer	prioritair	prioritair	prioritair	niet prioritair	niet prioritair	prioritair	niet prioritair
verzuring	prioritair	niet prioritair	prioritair	prioritair	prioritair	niet prioritair	niet prioritair
klimaatverandering	niet prioritair	prioritair	niet prioritair	prioritair	prioritair	niet prioritair	prioritair
invasieve uitheemse soorten	niet prioritair	niet prioritair	niet prioritair	niet prioritair	prioritair	niet prioritair	prioritair
verdroging	prioritair	prioritair	niet prioritair	prioritair	prioritair	niet prioritair	niet prioritair
verstoring	niet prioritair	niet prioritair	prioritair	niet prioritair	niet prioritair	prioritair	niet prioritair
