Telseizoen1	Wmax	type	x	v	m	sd	ci_min	ci_max
1991	21237	Zeeschelde + zijrivieren	1991	21237	NA	NA	NA	NA
1992	28262	Zeeschelde + zijrivieren	1992	28262	NA	NA	NA	NA
1993	34151	Zeeschelde + zijrivieren	1993	34151	34389	10369.0445799022	43477.8683086158	25300.1316913842
1994	40337	Zeeschelde + zijrivieren	1994	40337	38497.8	7538.6290995114	45105.6997524769	31889.9002475231
1995	47958	Zeeschelde + zijrivieren	1995	47958	39725	5740.87044793732	44757.0948160701	34692.9051839299
1996	41781	Zeeschelde + zijrivieren	1996	41781	42848.6	6181.79685043111	48267.183848418	37430.016151582
1997	34398	Zeeschelde + zijrivieren	1997	34398	44573.4	6500.71290705873	50271.5260972583	38875.2739027417
1998	49769	Zeeschelde + zijrivieren	1998	49769	43824.4	6223.07076932281	49279.1620334471	38369.6379665529
1999	48961	Zeeschelde + zijrivieren	1999	48961	50882.6	15866.9698209835	64790.6122617294	36974.5877382706
2000	44213	Zeeschelde + zijrivieren	2000	44213	58577	15188.2165674578	71890.0588031151	45263.9411968849
2001	77072	Zeeschelde + zijrivieren	2001	77072	59501	14649.3795943719	72341.7473716758	46660.2526283242
2002	72870	Zeeschelde + zijrivieren	2002	72870	59259.2	14875.0828132149	72297.7849657846	46220.6150342154
2003	54389	Zeeschelde + zijrivieren	2003	54389	61422.8	12778.4591285491	72623.6132775823	50221.9867224177
2004	47752	Zeeschelde + zijrivieren	2004	47752	54902.2	10989.7545786974	64535.1446112507	45269.2553887493
2005	55031	Zeeschelde + zijrivieren	2005	55031	45146.8	12585.9509453994	56178.8724151532	34114.7275848468
2006	44469	Zeeschelde + zijrivieren	2006	44469	38795	14607.2400712797	51598.8104511118	25991.1895488882
2007	24093	Zeeschelde + zijrivieren	2007	24093	34285	14631.5340104857	47110.1050277181	21459.8949722819
2008	22630	Zeeschelde + zijrivieren	2008	22630	28207.2	9140.8399340542	36219.499469884	20194.900530116
2009	25202	Zeeschelde + zijrivieren	2009	25202	22922.2	2889.99086503747	25455.3886832023	20389.0113167977
2010	24642	Zeeschelde + zijrivieren	2010	24642	22368	2874.99426086384	24888.0435800676	19847.9564199324
2011	18044	Zeeschelde + zijrivieren	2011	18044	21288.4	3658.70671139407	24495.3978312334	18081.4021687666
2012	21322	Zeeschelde + zijrivieren	2012	21322	19527.4	3414.9840116756	22520.7654657352	16534.0345342648
2013	17232	Zeeschelde + zijrivieren	2013	17232	17543.2	2444.66576447579	19686.0440220007	15400.3559779993
2014	16397	Zeeschelde + zijrivieren	2014	16397	16924.6	2667.43946510507	19262.7137801775	14586.4862198225
2015	14721	Zeeschelde + zijrivieren	2015	14721	15264.8	1625.70052592721	16689.7893397159	13839.8106602841
2016	14951	Zeeschelde + zijrivieren	2016	14951	14303.6	1592.24614931235	15699.2652856957	12907.9347143043
2017	13023	Zeeschelde + zijrivieren	2017	13023	NA	NA	NA	NA
2018	12426	Zeeschelde + zijrivieren	2018	12426	NA	NA	NA	NA
