LandCover	COpeningStock	CLaCoFlo1	CLaCoFlo2	CLaCoFlo3	CLaCoFlo4	CLaCoFlo5	CLaCoFlo6	CLaCoFlo7	CLaCoFlo8	PLaCoFlo1	PLaCoFlo2	PLaCoFlo3	PLaCoFlo4	PLaCoFlo5	PLaCoFlo6	PLaCoFlo7	PLaCoFlo8	PClosingStock
Agr	871528	0	24364	10637	0	0	3343	1390	0	0	0	10637	4699	0	0	0	0	847130
For	125876	0	5045	0	1365	6631	0	1088	0	0	0	0	0	6631	6177	0	0	124555
Sea	347394	0	168	0	0	0	0	136	0	0	0	0	0	0	0	0	37	347127
Total	1708564	6343	30104	10637	4699	6631	6177	3469	37	6343	30104	10637	4699	6631	6177	3469	37	1708564
Urb	347069	6343	0	0	3141	0	2590	829	31	6343	30104	0	0	0	0	0	0	370582
Wat	16697	0	527	0	193	0	244	26	6	0	0	0	0	0	0	3469	0	19170
