value	count	c1990	c2018
1	3352	242	121
2	116	313	242
3	7069	242	112
4	145	231	313
5	2672	242	211
6	43	313	231
7	61	312	231
8	62	312	211
9	83	112	313
10	117	211	312
11	279	322	312
12	10	324	242
13	757	231	242
14	640	324	312
15	684	243	242
16	44	324	211
17	1127	112	242
18	66	242	312
19	2728	211	112
20	369	112	231
21	2762	211	121
22	126	243	231
23	967	231	121
24	1166	231	112
25	1010	211	242
26	222	313	112
27	352	231	243
28	151	312	242
29	73	112	312
30	99	313	312
31	344	312	112
32	1541	112	121
33	71	142	211
34	1179	231	211
35	55	311	211
36	284	211	243
37	385	243	211
38	642	242	243
39	84	242	311
40	52	313	211
41	115	211	313
42	322	211	231
43	355	312	121
44	37	211	311
45	1871	243	112
46	613	112	211
47	8	121	231
48	145	243	312
49	39	231	312
50	1180	243	121
51	42	231	142
52	542	242	231
53	56	142	312
54	504	312	324
55	7	242	321
56	16	411	312
57	1	312	321
58	58	312	243
59	22	242	324
60	501	324	322
61	46	313	322
62	15	124	312
63	35	312	124
64	210	331	322
65	9	124	242
66	242	211	142
67	36	331	312
68	50	242	313
69	77	243	313
70	4	112	324
71	97	231	322
72	29	311	231
73	317	324	313
74	41	313	512
75	246	211	421
76	365	211	122
77	6	423	523
78	634	133	121
79	24	511	231
80	473	331	423
81	28	142	242
82	3	133	321
83	1186	322	121
84	123	322	122
85	236	133	122
86	3	421	331
87	133	322	324
88	222	313	121
89	418	411	324
90	31	123	523
91	123	242	122
92	560	411	322
93	1190	324	311
94	22	322	421
95	102	141	112
96	6	324	411
97	125	131	313
98	168	523	123
99	18	112	331
100	638	322	123
101	11	133	242
102	79	112	322
103	2	312	411
104	17	331	112
105	163	312	322
106	505	131	121
107	47	231	421
108	1	421	242
109	3	111	112
110	55	131	243
111	136	123	512
112	927	133	123
113	173	311	242
114	79	331	123
115	51	121	242
116	411	112	243
117	193	243	142
118	179	512	123
119	573	312	313
120	23	112	111
121	18	522	123
122	57	133	132
123	192	142	112
124	141	311	112
125	52	423	331
126	44	112	141
127	70	324	112
128	156	112	142
129	129	411	313
130	133	243	512
131	44	231	131
132	47	512	121
133	85	242	131
134	214	322	512
135	133	131	242
136	1152	243	311
137	428	131	324
138	37	311	121
139	11	122	112
140	5	122	512
141	382	211	133
142	16	321	522
143	5	231	411
144	132	211	411
145	10	122	242
146	276	242	142
147	194	242	133
148	256	211	322
149	29	242	421
150	41	512	324
151	11	121	243
152	217	131	512
153	40	512	311
154	29	121	512
155	7	123	242
156	3	132	123
157	257	242	512
158	217	211	123
159	45	121	211
160	69	141	121
161	22	313	243
162	166	211	324
163	288	211	512
164	152	322	133
165	51	313	131
166	21	231	324
167	18	512	242
168	335	124	142
169	75	112	311
170	10	123	322
171	98	231	311
172	126	243	324
173	62	512	133
174	553	133	322
175	30	322	132
176	143	231	123
177	26	123	121
178	62	512	132
179	14	231	331
180	102	231	512
181	1	122	132
182	32	322	211
183	58	231	133
184	161	243	141
185	123	131	112
186	35	131	211
187	76	242	123
188	108	133	522
189	2	324	331
190	18	512	522
191	14	121	313
192	50	313	311
193	19	133	112
194	33	133	142
195	25	243	122
196	7	311	122
197	70	121	322
198	14	242	411
199	6	522	122
200	49	312	142
201	25	133	211
202	11	121	311
203	16	322	522
204	20	243	123
205	188	242	322
206	4	511	133
207	22	231	511
208	71	243	322
209	43	512	322
210	92	322	311
211	147	311	243
212	156	311	324
213	4	421	522
214	83	133	512
215	73	311	142
216	724	242	222
217	7	522	322
218	233	132	121
219	53	242	511
220	467	322	112
221	14	511	211
222	73	222	243
223	7	222	324
224	63	211	511
225	1	222	322
226	5	123	421
227	7	313	124
228	27	512	243
229	14	112	512
230	17	123	522
231	20	142	322
232	28	512	211
233	27	123	142
234	3	522	142
235	7	132	511
236	1	112	123
237	42	123	112
238	5	142	522
239	17	133	243
240	13	311	312
241	30	112	511
242	1	423	421
243	37	511	112
244	212	324	121
245	113	312	512
246	42	121	511
247	4	411	123
248	16	511	242
249	27	322	411
250	2	423	522
251	6	121	522
252	2	111	423
253	278	121	112
254	5	142	123
255	30	311	512
256	29	324	522
257	5	123	511
