value	count	c1990	c2018
258	11	121	141
259	10	511	123
260	78	131	311
261	18	121	123
262	2	111	142
263	24	313	122
264	14	512	131
265	4	121	312
266	60	322	242
267	2	122	311
268	14	132	311
269	17	141	142
270	21	141	311
271	11	512	112
272	43	242	124
273	702	211	222
274	270	142	311
275	84	324	133
276	16	512	231
277	68	123	133
278	10	211	132
279	4	123	111
280	7	132	133
281	16	313	142
282	16	121	132
283	1	142	321
284	32	324	132
285	1	142	231
286	6	112	321
287	45	122	121
288	140	411	311
289	29	122	133
290	3	511	311
291	1	122	123
292	15	132	322
293	7	112	124
294	224	211	131
295	16	522	121
296	5	124	112
297	30	511	243
298	14	322	331
299	29	324	231
300	76	121	133
301	1	141	122
302	70	243	511
303	36	322	142
304	135	322	313
305	45	313	324
306	21	331	142
307	33	511	121
308	5	312	511
309	2	124	313
310	20	142	331
311	45	132	243
312	4	121	142
313	11	321	423
314	46	211	331
315	56	411	121
316	7	512	331
317	17	142	121
318	50	243	131
319	16	243	421
320	17	321	142
321	1	321	112
322	1	242	331
323	21	131	411
324	8	131	331
325	24	142	313
326	1	121	331
327	136	523	423
328	17	522	112
329	72	124	121
330	44	243	321
331	12	242	522
332	5	124	322
333	150	324	243
334	5	133	311
335	64	133	511
336	29	324	512
337	15	324	131
338	24	331	313
339	129	211	124
340	2	142	512
341	6	512	142
342	3	411	112
343	1	124	211
344	43	324	142
345	10	121	324
346	2	331	324
347	123	131	322
348	8	132	122
349	31	112	522
350	191	132	324
351	41	243	522
352	12	132	231
353	9	231	122
354	77	112	122
355	4	211	522
356	76	222	112
357	157	222	242
358	63	322	243
359	13	132	112
360	5	312	311
361	28	131	312
362	2	111	511
363	1	511	122
364	99	311	313
365	16	311	131
366	1	322	231
367	1	411	211
368	4	522	243
369	16	132	313
370	2	522	211
371	1	522	512
372	6	522	311
373	7	231	522
374	1	311	522
375	9	324	122
376	3	522	242
377	8	132	312
378	10	522	231
379	44	312	131
380	9	313	132
381	4	112	133
382	88	131	133
383	28	231	141
384	1	411	512
385	7	511	322
386	1	411	231
387	1	131	132
388	1	511	142
389	25	322	131
390	32	512	411
391	4	313	411
392	6	121	122
393	1	124	243
394	1	511	321
395	6	122	211
396	5	122	243
397	54	133	324
398	1	311	511
399	83	322	511
400	1	511	411
401	1	511	312
402	5	131	222
403	6	121	411
404	20	112	411
405	16	243	222
406	73	311	141
407	3	324	511
408	3	112	131
409	19	131	511
410	29	112	222
411	3	312	222
412	117	142	141
413	48	222	121
414	10	222	211
415	6	242	141
416	2	313	222
