Trend	Periode	Aantal
toenemend	korte termijn	14
toenemend	lange termijn	12
stabiel	korte termijn	2
stabiel	lange termijn	1
fluctuerend	korte termijn	3
fluctuerend	lange termijn	10
afnemend	korte termijn	7
afnemend	lange termijn	3
