Soort	Populatietrend_korte_termijn	Populatietrend_lange_termijn	Beoordeling_populatie	Beooordeling_areaal	Beoordeling_leefgebied	Beoordeling_toekomstperspectieven	Globale_beoordeling
Blauwborst	toenemend	toenemend	gunstig	gunstig	gunstig	gunstig	gunstig
Boomleeuwerik	toenemend	toenemend	gunstig	gunstig	gunstig	gunstig	gunstig
Bruine Kiekendief	stabiel	fluctuerend	matig ongunstig	matig ongunstig	matig ongunstig	matig ongunstig	matig ongunstig
Dwergstern	afnemend	fluctuerend	zeer ongunstig	zeer ongunstig	zeer ongunstig	zeer ongunstig	zeer ongunstig
Grauwe Klauwier	toenemend	fluctuerend	matig ongunstig	matig ongunstig	matig ongunstig	matig ongunstig	matig ongunstig
Grote Stern	afnemend	fluctuerend	zeer ongunstig	zeer ongunstig	zeer ongunstig	zeer ongunstig	zeer ongunstig
IJsvogel	fluctuerend	fluctuerend	gunstig	gunstig	gunstig	gunstig	gunstig
Kleine Mantelmeeuw	afnemend	toenemend	gunstig	gunstig	gunstig	gunstig	gunstig
Kleine Zilverreiger	afnemend	fluctuerend	zeer ongunstig	zeer ongunstig	matig ongunstig	matig ongunstig	zeer ongunstig
Kluut	toenemend	toenemend	gunstig	gunstig	gunstig	gunstig	gunstig
Kwak	stabiel	afnemend	zeer ongunstig	zeer ongunstig	zeer ongunstig	zeer ongunstig	zeer ongunstig
Kwartelkoning	fluctuerend	afnemend	zeer ongunstig	zeer ongunstig	zeer ongunstig	zeer ongunstig	zeer ongunstig
Lepelaar	toenemend	toenemend	gunstig	gunstig	gunstig	matig ongunstig	matig ongunstig
Middelste Bonte Specht	toenemend	toenemend	gunstig	gunstig	gunstig	gunstig	gunstig
Nachtzwaluw	toenemend	toenemend	gunstig	gunstig	gunstig	gunstig	gunstig
Ooievaar	toenemend	toenemend	matig ongunstig	matig ongunstig	matig ongunstig	matig ongunstig	matig ongunstig
Porseleinhoen	fluctuerend	fluctuerend	zeer ongunstig	zeer ongunstig	zeer ongunstig	zeer ongunstig	zeer ongunstig
Roerdomp	toenemend	fluctuerend	zeer ongunstig	zeer ongunstig	zeer ongunstig	gunstig	zeer ongunstig
Slechtvalk	toenemend	toenemend	gunstig	gunstig	gunstig	gunstig	gunstig
Steltkluut	toenemend	toenemend	gunstig	gunstig	gunstig	gunstig	gunstig
Strandplevier	afnemend	afnemend	zeer ongunstig	zeer ongunstig	zeer ongunstig	zeer ongunstig	zeer ongunstig
Visdief	afnemend	fluctuerend	zeer ongunstig	zeer ongunstig	zeer ongunstig	zeer ongunstig	zeer ongunstig
Wespendief	toenemend	stabiel	gunstig	gunstig	gunstig	gunstig	gunstig
Woudaap	toenemend	toenemend	matig ongunstig	matig ongunstig	matig ongunstig	matig ongunstig	matig ongunstig
Zwarte Specht	afnemend	fluctuerend	matig ongunstig	gunstig	gunstig	gunstig	matig ongunstig
Zwartkopmeeuw	toenemend	toenemend	gunstig	gunstig	gunstig	gunstig	gunstig
