OBJECTID	type	x	y
280	change	148405	181655.0039
281	change	117215	180165.0039
282	change	35575	179525.0039
283	change	137125	176555.0039
284	change	71525	174155.0039
285	change	185535	172815.0039
286	change	137835	170845.0039
287	change	220915	169295.0039
288	change	188615	162785.0039
289	change	92025	161325.0039
290	change	150005	159335.0039
291	change	183295	232285.0039
292	change	155145	228655.0039
293	change	200895	224275.0039
294	change	195625	223635.0039
295	change	163085	223005.0039
296	change	188705	222705.0039
297	change	158065	219785.0039
298	change	153795	219215.0039
299	change	168685	218345.0039
300	change	75125	217955.0039
301	change	179175	216975.0039
302	change	191555	215315.0039
303	change	193475	215135.0039
304	change	187305	213435.0039
305	change	225075	209685.0039
306	change	180915	207725.0039
307	change	44305	204215.0039
308	change	156985	204155.0039
309	change	235985	203805.0039
310	change	250435	203385.0039
311	change	204675	200445.0039
312	change	125005	200185.0039
313	change	178205	198925.0039
314	change	209745	195695.0039
315	change	187405	195065.0039
316	change	207955	194585.0039
317	change	53425	194485.0039
318	change	132445	191465.0039
319	change	210165	190995.0039
320	change	197765	189895.0039
321	change	179035	189375.0039
322	change	182415	188425.0039
323	change	168255	184975.0039
324	change	63825	181085.0039
325	change	181665	180385.0039
326	change	158115	171655.0039
327	change	209405	170885.0039
328	change	210275	170655.0039
329	change	107365	165205.0039
330	change	189845	164415.0039
331	change	176125	241695.0039
332	change	178625	241545.0039
333	change	195825	240485.0039
334	change	194655	239195.0039
335	change	177045	238625.0039
336	change	195335	238265.0039
337	change	197915	237825.0039
338	change	151275	237625.0039
339	change	152815	235245.0039
340	change	173505	235065.0039
341	change	168985	234345.0039
342	change	173175	233365.0039
343	change	185675	233185.0039
344	change	171565	233165.0039
345	change	159935	232475.0039
346	change	170255	231985.0039
347	change	194065	231445.0039
348	change	172165	231045.0039
349	change	160595	230855.0039
350	change	165875	230495.0039
351	change	163705	229955.0039
352	change	176115	228995.0039
353	change	187525	228215.0039
354	change	187405	227435.0039
355	change	176175	226445.0039
356	change	185215	226395.0039
357	change	168165	225065.0039
358	change	201795	224605.0039
359	change	164905	224585.0039
360	change	172045	222545.0039
361	change	170825	222485.0039
362	change	63455	222475.0039
363	change	140425	222045.0039
364	change	203755	221685.0039
365	change	192655	220715.0039
366	change	155495	218425.0039
367	change	186565	217705.0039
368	change	164735	217265.0039
369	change	202195	216165.0039
370	change	233015	214205.0039
371	change	94235	214095.0039
372	change	178275	213805.0039
373	change	72515	213725.0039
374	change	141065	213575.0039
375	change	83985	213035.0039
376	change	101015	212815.0039
377	change	178345	212395.0039
378	change	77355	212345.0039
379	change	57175	212305.0039
380	change	101825	212025.0039
381	change	200535	211445.0039
382	change	172445	211435.0039
383	change	182315	211155.0039
384	change	200165	210675.0039
385	change	220735	210455.0039
386	change	236335	210335.0039
387	change	142065	210185.0039
388	change	142125	210035.0039
389	change	223485	209915.0039
390	change	57275	209755.0039
391	change	171055	209135.0039
392	change	50065	209065.0039
393	change	44735	208955.0039
394	change	225425	208855.0039
395	change	100395	208785.0039
396	change	244315	208035.0039
397	change	197035	207885.0039
398	change	132755	207435.0039
399	change	80285	206955.0039
400	change	184465	206865.0039
401	change	232305	206725.0039
402	change	241775	206025.0039
403	change	143195	205715.0039
404	change	200685	205475.0039
405	change	74805	205205.0039
406	change	169555	204865.0039
407	change	163915	204785.0039
408	change	188885	204665.0039
409	change	72875	203935.0039
410	change	50785	203895.0039
411	change	226145	203875.0039
412	change	50635	203775.0039
413	change	75015	203725.0039
414	change	201335	203365.0039
415	change	117855	203345.0039
416	change	98505	203095.0039
417	change	171175	202735.0039
418	change	209855	202585.0039
419	change	59345	202135.0039
420	change	32595	202075.0039
421	change	179165	201955.0039
422	change	177675	201805.0039
423	change	51305	201595.0039
424	change	110905	201345.0039
425	change	182895	200805.0039
426	change	41755	200365.0039
427	change	82275	199755.0039
428	change	223585	199025.0039
429	change	71495	197985.0039
430	change	114905	197805.0039
431	change	45345	197765.0039
432	change	37465	197725.0039
433	change	84015	197595.0039
434	change	206265	197515.0039
435	change	157085	197355.0039
436	change	127005	197315.0039
437	change	227005	197215.0039
438	change	189245	196945.0039
439	change	123415	196635.0039
440	change	135845	196545.0039
441	change	189445	195315.0039
442	change	132475	194835.0039
443	change	172225	194655.0039
444	change	92115	193735.0039
445	change	44385	193685.0039
446	change	174745	193335.0039
447	change	77345	192835.0039
448	change	125435	191945.0039
449	change	45755	191565.0039
450	change	182925	191485.0039
451	change	200685	191235.0039
452	change	175945	191115.0039
453	change	201225	190645.0039
454	change	84165	189985.0039
455	change	128795	189925.0039
456	change	49105	189835.0039
457	change	134785	189005.0039
458	change	83785	188875.0039
459	change	92685	188025.0039
460	change	167865	187355.0039
461	change	223075	186585.0039
462	change	97385	186435.0039
463	change	112095	186315.0039
464	change	107585	185865.0039
465	change	210465	185725.0039
466	change	59005	184745.0039
467	change	117455	184045.0039
468	change	190205	182705.0039
469	change	107505	182695.0039
470	change	31165	182195.0039
471	change	89855	181735.0039
472	change	198855	181185.0039
473	change	26705	179335.0039
474	change	111715	178685.0039
475	change	41365	178665.0039
476	change	98665	178415.0039
477	change	213405	178335.0039
478	change	124185	177995.0039
479	change	117465	177025.0039
480	change	224405	176795.0039
481	change	104845	176765.0039
482	change	62485	175295.0039
483	change	67135	175225.0039
484	change	73845	174875.0039
485	change	200135	174225.0039
486	change	228535	174185.0039
487	change	198705	173715.0039
488	change	33295	173575.0039
489	change	117515	172865.0039
490	change	108065	171875.0039
491	change	177235	170135.0039
492	change	200675	169465.0039
493	change	82215	169115.0039
494	change	80655	168535.0039
495	change	232605	168315.0039
496	change	108455	168275.0039
497	change	224375	167845.0039
498	change	234725	167845.0039
499	change	181485	167585.0039
500	change	90395	166555.0039
501	change	74265	165995.0039
502	change	166175	165865.0039
503	change	222445	165385.0039
504	change	186005	162935.0039
505	change	72075	162745.0039
506	change	168025	162495.0039
507	change	133985	160725.0039
508	change	133975	159915.0039
509	change	214175	159615.0039
510	change	39975	158485.0039
511	change	127715	157505.0039
512	change	125435	156735.0039
513	change	142525	155315.0039
514	change	197185	238045.0039
515	change	195255	230885.0039
516	change	187545	219125.0039
517	change	142295	215525.0039
518	change	91175	215455.0039
519	change	91635	214955.0039
520	change	174205	211305.0039
521	change	187465	206225.0039
522	change	37715	203785.0039
523	change	197615	202995.0039
524	change	41185	202715.0039
525	change	161185	199405.0039
526	change	177205	195665.0039
527	change	118535	194595.0039
528	change	108215	192085.0039
529	change	120445	191515.0039
530	change	135035	191165.0039
531	change	142985	190155.0039
532	change	133795	189175.0039
533	change	139065	187755.0039
534	change	189065	186525.0039
535	change	213445	185825.0039
536	change	222175	184695.0039
537	change	169045	183975.0039
538	change	136655	183235.0039
539	change	164335	182865.0039
540	change	165285	182025.0039
541	change	172335	181885.0039
542	change	60685	181785.0039
543	change	120965	179875.0039
544	change	68635	177865.0039
545	change	219985	177395.0039
546	change	213235	177165.0039
547	change	225735	176855.0039
548	change	196855	174405.0039
549	change	33515	174265.0039
550	change	105855	173415.0039
551	change	219645	169455.0039
552	change	137665	169025.0039
553	change	50855	168075.0039
554	change	238965	166115.0039
555	change	126865	162925.0039
556	change	101205	162785.0039
557	change	127175	162535.0039
558	change	196155	241445.0039
559	change	176605	241015.0039
560	change	161945	239595.0039
561	change	176265	239485.0039
562	change	181725	238575.0039
563	change	179695	236615.0039
564	change	159865	236395.0039
565	change	176495	234585.0039
566	change	161245	233175.0039
567	change	169885	232275.0039
568	change	198585	227025.0039
569	change	178185	226955.0039
570	change	172185	226945.0039
571	change	167905	226265.0039
572	change	71885	225175.0039
573	change	74415	225155.0039
574	change	171815	223095.0039
575	change	174735	222135.0039
576	change	198555	222095.0039
577	change	184595	218975.0039
578	change	225975	218155.0039
579	change	212765	217265.0039
580	change	157895	217205.0039
581	change	215815	216925.0039
582	change	193165	216585.0039
583	change	224615	215875.0039
584	change	101605	215205.0039
585	change	124155	213925.0039
586	change	188305	213895.0039
587	change	108855	213875.0039
588	change	64525	213355.0039
589	change	158045	213335.0039
590	change	146665	213015.0039
591	change	211705	211825.0039
592	change	140365	211785.0039
593	change	78735	210765.0039
594	change	81225	210645.0039
595	change	225465	210265.0039
596	change	194485	210045.0039
597	change	133945	209905.0039
598	change	145915	209825.0039
599	change	198265	209765.0039
600	change	115975	209705.0039
601	change	193575	208635.0039
602	change	180855	208625.0039
603	change	180995	208585.0039
604	change	162535	208145.0039
605	change	88515	207965.0039
606	change	184885	207405.0039
607	change	192675	206925.0039
608	change	175375	205575.0039
609	change	136125	204975.0039
610	change	39455	204755.0039
611	change	180945	204735.0039
612	change	188955	204585.0039
613	change	165155	204315.0039
614	change	64895	204185.0039
615	change	189755	204025.0039
616	change	193265	203585.0039
617	change	68795	202855.0039
618	change	111915	202845.0039
619	change	121085	202795.0039
620	change	153225	202735.0039
621	change	87615	202395.0039
622	change	168295	202275.0039
623	change	116655	202085.0039
624	change	90945	201715.0039
625	change	121975	201625.0039
626	change	61055	201255.0039
627	change	199255	201185.0039
628	change	191865	201075.0039
629	change	225485	201035.0039
630	change	47445	200555.0039
631	change	36635	200335.0039
632	change	132675	199955.0039
633	change	96425	199395.0039
634	change	84525	198715.0039
635	change	26125	198575.0039
636	change	183005	198435.0039
637	change	67535	198135.0039
638	change	225655	197655.0039
639	change	159995	197305.0039
640	change	160935	197085.0039
641	change	83495	196345.0039
642	change	199585	195935.0039
643	change	113275	195285.0039
644	change	82495	194865.0039
645	change	177585	194835.0039
646	change	176715	194815.0039
647	change	180555	194565.0039
648	change	171165	193055.0039
649	change	189545	193045.0039
650	change	140975	193025.0039
651	change	89395	192105.0039
652	change	175375	191735.0039
653	change	95125	191705.0039
654	change	89405	191595.0039
655	change	237015	191395.0039
656	change	155075	191015.0039
657	change	239105	190855.0039
658	change	189195	190845.0039
659	change	212125	190685.0039
660	change	201415	190245.0039
661	change	240445	189875.0039
662	change	90375	189835.0039
663	change	203305	189735.0039
664	change	221495	189115.0039
665	change	204845	189085.0039
666	change	140835	188485.0039
667	change	31115	188425.0039
668	change	35955	188375.0039
669	change	164285	188195.0039
670	change	205155	188075.0039
671	change	205305	188055.0039
672	change	194835	188035.0039
673	change	81035	187765.0039
674	change	96415	186445.0039
675	change	88135	185935.0039
676	change	203695	185535.0039
677	change	92975	185435.0039
678	change	212375	184595.0039
679	change	76465	183915.0039
680	change	70555	183425.0039
681	change	133455	181635.0039
682	change	209285	181415.0039
683	change	130665	180625.0039
684	change	209845	180555.0039
685	change	76105	180415.0039
686	change	130175	180035.0039
687	change	199525	180035.0039
688	change	88595	179625.0039
689	change	236385	179425.0039
690	change	187255	179265.0039
691	change	111375	179215.0039
692	change	28925	178955.0039
693	change	93535	176895.0039
694	change	115885	176475.0039
695	change	222495	176305.0039
696	change	124345	176175.0039
697	change	44185	175355.0039
698	change	53955	174715.0039
699	change	177845	173565.0039
700	change	83065	173335.0039
701	change	64305	173105.0039
702	change	116095	172805.0039
703	change	80715	172675.0039
704	change	221915	172205.0039
705	change	227645	171925.0039
706	change	128775	171765.0039
707	change	133265	171685.0039
708	change	94155	171455.0039
709	change	64615	171425.0039
710	change	81135	171115.0039
711	change	111615	170825.0039
712	change	123475	170505.0039
713	change	124425	170395.0039
714	change	182195	169445.0039
715	change	130215	169255.0039
716	change	39325	169125.0039
717	change	138945	168975.0039
718	change	36845	168835.0039
719	change	173765	168725.0039
720	change	111775	167935.0039
721	change	138785	167635.0039
722	change	69245	167575.0039
723	change	69455	167525.0039
724	change	220895	165485.0039
725	change	114185	164685.0039
726	change	65945	164475.0039
727	change	247845	162515.0039
728	change	203545	161605.0039
729	change	92525	160535.0039
730	change	229915	160515.0039
731	change	145925	159775.0039
732	change	225975	159195.0039
733	change	128925	158835.0039
734	change	136185	158355.0039
735	change	180065	239395.0039
736	change	174275	238435.0039
737	change	199595	229445.0039
738	change	199275	225845.0039
739	change	147035	225475.0039
740	change	205715	221685.0039
741	change	186605	219545.0039
742	change	207705	219455.0039
743	change	105175	216875.0039
744	change	95175	216615.0039
745	change	205415	213425.0039
746	change	205445	213395.0039
747	change	170965	212895.0039
748	change	201385	211095.0039
749	change	169015	210395.0039
750	change	133085	207355.0039
751	change	79335	205745.0039
752	change	203865	204135.0039
753	change	211475	203355.0039
754	change	228185	199795.0039
755	change	190975	192945.0039
756	change	187505	190845.0039
757	change	197235	190455.0039
758	change	63065	187665.0039
759	change	63085	187665.0039
760	change	188385	186115.0039
761	change	175775	185195.0039
762	change	207515	184935.0039
763	change	112675	183595.0039
764	change	178765	182465.0039
765	change	209575	179975.0039
766	change	141565	176145.0039
767	change	212415	172815.0039
768	change	196245	172365.0039
769	change	212045	172005.0039
770	change	201175	171885.0039
771	change	216425	170905.0039
772	change	178715	170335.0039
773	change	121205	168425.0039
774	change	213775	162375.0039
775	change	176295	240665.0039
776	change	179565	240565.0039
777	change	179525	240555.0039
778	change	176805	240505.0039
779	change	176285	232615.0039
780	change	194465	232075.0039
781	change	191415	224265.0039
782	change	200695	221465.0039
783	change	166025	210535.0039
784	change	90585	206115.0039
785	change	107605	205955.0039
786	change	181355	204705.0039
787	change	180495	201425.0039
788	change	65125	200335.0039
789	change	119275	200195.0039
790	change	100545	198265.0039
791	change	207535	196595.0039
792	change	197615	196485.0039
793	change	207625	196295.0039
794	change	140125	194135.0039
795	change	33895	190225.0039
796	change	132295	187035.0039
797	change	54545	185815.0039
798	change	194775	185425.0039
799	change	132375	184375.0039
800	change	91415	182705.0039
801	change	176985	180085.0039
802	change	225525	179805.0039
803	change	120725	178805.0039
804	change	141995	176125.0039
805	change	54625	175915.0039
806	change	211285	175905.0039
807	change	195815	175215.0039
808	change	215435	174735.0039
809	change	238205	174635.0039
810	change	78875	172545.0039
811	change	62745	170545.0039
812	change	209555	167585.0039
813	change	62765	167425.0039
814	change	36345	166645.0039
815	change	173425	238385.0039
816	change	159785	230155.0039
817	change	159765	230125.0039
818	change	159145	228755.0039
819	change	140445	224995.0039
820	change	70645	220905.0039
821	change	140815	220695.0039
822	change	99405	219475.0039
823	change	144225	217705.0039
824	change	220585	214065.0039
825	change	166665	208535.0039
826	change	208255	207105.0039
827	change	194525	206645.0039
828	change	55325	206275.0039
829	change	107745	205555.0039
830	change	106995	205175.0039
831	change	106385	204735.0039
832	change	106915	204425.0039
833	change	187565	204375.0039
834	change	107605	204325.0039
835	change	188105	200985.0039
836	change	114475	199245.0039
837	change	124235	198405.0039
838	change	26025	198015.0039
839	change	32515	197155.0039
840	change	38725	197105.0039
841	change	124055	196815.0039
842	change	181315	189325.0039
843	change	77015	187035.0039
844	change	47635	184875.0039
845	change	65665	180255.0039
846	change	151185	177635.0039
847	change	44745	176275.0039
848	change	66095	172055.0039
849	change	43935	171585.0039
850	change	44385	168685.0039
851	change	176335	168125.0039
852	change	187185	163965.0039
853	change	70095	162915.0039
854	change	96615	160055.0039
855	change	196095	230125.0039
856	change	168225	227805.0039
857	change	177705	226625.0039
858	change	183785	225775.0039
859	change	72375	225435.0039
860	change	138145	217725.0039
861	change	91835	215045.0039
862	change	141205	212325.0039
863	change	108705	208405.0039
864	change	196945	207955.0039
865	change	90085	206175.0039
866	change	111925	205495.0039
867	change	155135	203725.0039
868	change	64495	202295.0039
869	change	155125	199935.0039
870	change	244105	199425.0039
871	change	93075	198575.0039
872	change	148685	195845.0039
873	change	130175	193465.0039
874	change	143735	193295.0039
875	change	82035	192365.0039
876	change	82535	191515.0039
877	change	73835	188635.0039
878	change	210095	188245.0039
879	change	115615	187875.0039
880	change	220775	186775.0039
881	change	200235	182635.0039
882	change	222745	179475.0039
883	change	75385	178845.0039
884	change	47565	177825.0039
885	change	70745	175345.0039
886	change	117565	169215.0039
887	change	78655	168225.0039
888	change	205775	167535.0039
889	change	191295	167375.0039
890	change	117485	166985.0039
891	change	213595	164935.0039
892	change	207045	164395.0039
893	change	47185	161765.0039
894	change	129135	161385.0039
895	change	162895	232415.0039
896	change	73955	225615.0039
897	change	230755	218345.0039
898	change	190275	216955.0039
899	change	220665	215105.0039
900	change	182205	213105.0039
901	change	83175	211695.0039
902	change	79995	206105.0039
903	change	125295	204935.0039
904	change	199115	204255.0039
905	change	122035	203835.0039
906	change	126125	202825.0039
907	change	91845	202075.0039
908	change	170325	201945.0039
909	change	155015	198115.0039
910	change	198775	196415.0039
911	change	215525	195805.0039
912	change	240295	194765.0039
913	change	145615	193425.0039
914	change	235645	192205.0039
915	change	95045	191715.0039
916	change	170645	190245.0039
917	change	170415	189255.0039
918	change	157945	184465.0039
919	change	138945	184205.0039
920	change	158165	183065.0039
921	change	108275	182745.0039
922	change	65655	180265.0039
923	change	207915	180005.0039
924	change	130715	178955.0039
925	change	212335	178685.0039
926	change	26685	177385.0039
927	change	54145	177105.0039
928	change	95535	176395.0039
929	change	92155	174515.0039
930	change	153935	172805.0039
931	change	198525	169885.0039
932	change	191975	169335.0039
933	change	248015	162845.0039
934	change	148575	157425.0039
935	change	189695	237265.0039
936	change	179405	232565.0039
937	change	75235	223405.0039
938	change	163855	223135.0039
939	change	97385	216735.0039
940	change	142775	216285.0039
941	change	177445	214925.0039
942	change	190105	212705.0039
943	change	212175	211545.0039
944	change	207305	211455.0039
945	change	43935	211245.0039
946	change	132265	210415.0039
947	change	222175	208935.0039
948	change	108165	208725.0039
949	change	224475	207455.0039
950	change	166955	207415.0039
951	change	217775	205285.0039
952	change	97785	205205.0039
953	change	203255	204985.0039
954	change	141275	204635.0039
955	change	82765	204605.0039
956	change	208615	204295.0039
957	change	55425	204005.0039
958	change	170495	203855.0039
959	change	187905	202415.0039
960	change	191585	201945.0039
961	change	105955	201825.0039
962	change	181625	201565.0039
963	change	68025	201305.0039
964	change	113595	199855.0039
965	change	235405	199435.0039
966	change	224505	197835.0039
967	change	184435	197415.0039
968	change	67165	196785.0039
969	change	132855	196745.0039
970	change	160615	193155.0039
971	change	41895	193115.0039
972	change	58475	192035.0039
973	change	166615	191635.0039
974	change	108635	190425.0039
975	change	186125	188555.0039
976	change	48555	187945.0039
977	change	34395	186835.0039
978	change	123345	186165.0039
979	change	174615	185475.0039
980	change	183175	183625.0039
981	change	111745	182805.0039
982	change	138255	182655.0039
983	change	184445	181505.0039
984	change	146245	181475.0039
985	change	141275	181265.0039
986	change	82875	180645.0039
987	change	166935	180105.0039
988	change	163825	179795.0039
989	change	244575	179585.0039
990	change	214355	179405.0039
991	change	198955	179285.0039
992	change	48805	178875.0039
993	change	26975	178865.0039
994	change	134705	178505.0039
995	change	107925	177055.0039
996	change	114215	176885.0039
997	change	183985	176625.0039
998	change	138435	176425.0039
999	change	211895	175115.0039
1000	change	160175	174745.0039
1001	change	77565	172905.0039
1002	change	140795	172375.0039
1003	change	214255	168915.0039
1004	change	133705	168525.0039
1005	change	105325	167635.0039
1006	change	202615	167305.0039
1007	change	201795	167235.0039
1008	change	40665	166395.0039
1009	change	115395	166345.0039
1010	change	37525	166005.0039
1011	change	60235	165265.0039
1012	change	37445	165255.0039
1013	change	82825	165155.0039
1014	change	77225	164595.0039
1015	change	136505	162735.0039
1016	change	68195	161995.0039
1017	change	230505	159415.0039
1018	change	146755	157215.0039
1019	change	176635	241425.0039
1020	change	157055	239285.0039
1021	change	157665	238385.0039
1022	change	73865	226015.0039
1023	change	181685	225185.0039
1024	change	69865	224245.0039
1025	change	199175	223415.0039
1026	change	193445	217045.0039
1027	change	142095	215285.0039
1028	change	198805	213565.0039
1029	change	47955	211435.0039
1030	change	141175	211195.0039
1031	change	71455	211085.0039
1032	change	47145	210895.0039
1033	change	50165	208895.0039
1034	change	92335	208005.0039
1035	change	107835	204815.0039
1036	change	150615	202335.0039
1037	change	189765	202005.0039
1038	change	29535	201095.0039
1039	change	249685	200435.0039
1040	change	29835	199315.0039
1041	change	88995	199225.0039
1042	change	201345	198765.0039
1043	change	229685	196495.0039
1044	change	153595	192485.0039
1045	change	62465	188235.0039
1046	change	136925	187195.0039
1047	change	219505	182775.0039
1048	change	65555	179545.0039
1049	change	65755	179335.0039
1050	change	202935	178135.0039
1051	change	45275	170585.0039
1052	change	75005	168645.0039
1053	change	68565	168455.0039
1054	change	73055	166545.0039
1055	change	89895	165275.0039
1056	change	68125	162815.0039
1057	change	142955	162635.0039
1058	change	148915	158975.0039
1059	change	159565	239865.0039
1060	change	198795	239175.0039
1061	change	180675	235425.0039
1062	change	176245	231985.0039
1063	change	161405	230265.0039
1064	change	143655	228315.0039
1065	change	77315	226325.0039
1066	change	200915	224925.0039
1067	change	177205	224635.0039
1068	change	67755	224465.0039
1069	change	200935	223755.0039
