OBJECTID	type	x	y
1	change	198945	238865.0039
2	change	177465	231925.0039
3	change	185155	227685.0039
4	change	174035	227415.0039
5	change	169925	225175.0039
6	change	192295	224085.0039
7	change	183255	223435.0039
8	change	183175	222685.0039
9	change	184985	222665.0039
10	change	61815	221975.0039
11	change	67145	217035.0039
12	change	105975	216865.0039
13	change	187845	211925.0039
14	change	195535	211065.0039
15	change	85485	208965.0039
16	change	186225	207675.0039
17	change	140185	207525.0039
18	change	136545	206995.0039
19	change	204465	206665.0039
20	change	198455	206065.0039
21	change	129605	205585.0039
22	change	166985	204865.0039
23	change	59665	204255.0039
24	change	138705	203595.0039
25	change	182135	200565.0039
26	change	30755	198645.0039
27	change	181775	195865.0039
28	change	127775	194795.0039
29	change	103915	193855.0039
30	change	81195	193285.0039
31	change	135815	192355.0039
32	change	58065	191285.0039
33	change	54165	191095.0039
34	change	239585	190405.0039
35	change	180435	189835.0039
36	change	144815	189445.0039
37	change	117385	189085.0039
38	change	199895	188935.0039
39	change	190385	187545.0039
40	change	220365	187395.0039
41	change	192835	186635.0039
42	change	134925	185365.0039
43	change	98035	183295.0039
44	change	120295	183095.0039
45	change	186175	182775.0039
46	change	175485	181975.0039
47	change	123515	181825.0039
48	change	139425	181345.0039
49	change	228725	180655.0039
50	change	54285	180465.0039
51	change	159945	179735.0039
52	change	149995	179245.0039
53	change	128465	178935.0039
54	change	173195	178415.0039
55	change	79665	178075.0039
56	change	44505	177655.0039
57	change	208505	177435.0039
58	change	169975	177345.0039
59	change	92455	175845.0039
60	change	238305	175345.0039
61	change	52875	174235.0039
62	change	52825	174195.0039
63	change	84705	173735.0039
64	change	98395	173535.0039
65	change	225525	173515.0039
66	change	128195	172065.0039
67	change	64725	170975.0039
68	change	52235	170665.0039
69	change	89965	169785.0039
70	change	157645	169485.0039
71	change	30625	169035.0039
72	change	127315	167135.0039
73	change	190615	166915.0039
74	change	167905	166875.0039
75	change	139695	166555.0039
76	change	225195	165435.0039
77	change	91385	164275.0039
78	change	101285	162745.0039
79	change	156195	161265.0039
80	change	199925	160405.0039
81	change	197465	160365.0039
82	change	167315	160335.0039
83	change	164065	220595.0039
84	change	190765	218345.0039
85	change	162565	217995.0039
86	change	180135	217895.0039
87	change	75245	215275.0039
88	change	137865	214995.0039
89	change	105715	214965.0039
90	change	139425	214665.0039
91	change	205155	214585.0039
92	change	145615	212895.0039
93	change	160235	209835.0039
94	change	227795	209025.0039
95	change	99915	204265.0039
96	change	132295	203615.0039
97	change	122935	202975.0039
98	change	123405	202565.0039
99	change	203935	199655.0039
100	change	180205	199505.0039
101	change	135825	199015.0039
102	change	193735	198225.0039
103	change	189915	197515.0039
104	change	166985	196855.0039
105	change	63915	195655.0039
106	change	120215	195395.0039
107	change	142525	194515.0039
108	change	82945	192475.0039
109	change	151795	192265.0039
110	change	208725	185055.0039
111	change	80425	184865.0039
112	change	98535	183025.0039
113	change	138975	179875.0039
114	change	27225	179075.0039
115	change	164545	179075.0039
116	change	120255	178385.0039
117	change	147545	178345.0039
118	change	69025	176865.0039
119	change	189185	174425.0039
120	change	213585	173295.0039
121	change	186485	173155.0039
122	change	59215	171755.0039
123	change	232895	169905.0039
124	change	52125	166845.0039
125	change	206705	166735.0039
126	change	161405	164085.0039
127	change	107625	162135.0039
128	change	126935	159455.0039
129	change	197675	159135.0039
130	change	77275	156785.0039
131	change	154675	233605.0039
132	change	70775	225105.0039
133	change	157555	224645.0039
134	change	138145	216205.0039
135	change	72145	214945.0039
136	change	129155	213945.0039
137	change	238815	210705.0039
138	change	186255	210645.0039
139	change	223885	210295.0039
140	change	241095	206125.0039
141	change	216005	205945.0039
142	change	230225	205585.0039
143	change	88185	204995.0039
144	change	87315	204895.0039
145	change	232795	202015.0039
146	change	217305	201295.0039
147	change	234005	195645.0039
148	change	233985	195485.0039
149	change	223995	194625.0039
150	change	223795	194225.0039
151	change	111745	193645.0039
152	change	225215	192485.0039
153	change	225035	192455.0039
154	change	224785	192355.0039
155	change	239245	189715.0039
156	change	214725	187005.0039
157	change	47645	183925.0039
158	change	157715	181965.0039
159	change	157355	181365.0039
160	change	99035	175055.0039
161	change	222965	174225.0039
162	change	234455	173585.0039
163	change	170565	172645.0039
164	change	134035	171755.0039
165	change	203915	170635.0039
166	change	94945	165665.0039
167	change	184375	165395.0039
168	change	68635	165175.0039
169	change	93715	161145.0039
170	change	253235	160525.0039
171	change	149805	224245.0039
172	change	63915	222095.0039
173	change	162715	221185.0039
174	change	158865	218435.0039
175	change	162435	216245.0039
176	change	220995	215985.0039
177	change	147245	214125.0039
178	change	47775	213535.0039
179	change	201435	210205.0039
180	change	200725	207775.0039
181	change	207515	207115.0039
182	change	58325	205855.0039
183	change	135955	203725.0039
184	change	108985	203435.0039
185	change	37615	202955.0039
186	change	156475	201815.0039
187	change	138735	201275.0039
188	change	118965	200315.0039
189	change	25105	199835.0039
190	change	124555	198045.0039
191	change	208175	197225.0039
192	change	47465	194435.0039
193	change	170705	192845.0039
194	change	62205	187865.0039
195	change	112735	186645.0039
196	change	62615	185605.0039
197	change	136615	185195.0039
198	change	221085	184895.0039
199	change	217385	182075.0039
200	change	84215	178345.0039
201	change	41375	175855.0039
202	change	136335	173465.0039
203	change	35335	172145.0039
204	change	222265	172125.0039
205	change	44265	171075.0039
206	change	214245	169875.0039
207	change	125845	169705.0039
208	change	172575	168565.0039
209	change	89645	164675.0039
210	change	141165	162945.0039
211	change	193065	222895.0039
212	change	58975	219105.0039
213	change	51975	213515.0039
214	change	133435	211995.0039
215	change	103305	209795.0039
216	change	175125	209565.0039
217	change	61085	208875.0039
218	change	144025	208415.0039
219	change	68345	207915.0039
220	change	95945	205405.0039
221	change	236175	205315.0039
222	change	147715	203235.0039
223	change	189365	202565.0039
224	change	153195	199315.0039
225	change	111315	198335.0039
226	change	127015	196475.0039
227	change	168705	194235.0039
228	change	162515	193075.0039
229	change	131285	192645.0039
230	change	246605	191065.0039
231	change	158665	190725.0039
232	change	32785	190245.0039
233	change	161895	187725.0039
234	change	106835	186875.0039
235	change	90195	185925.0039
236	change	242525	185145.0039
237	change	151305	184705.0039
238	change	120395	181575.0039
239	change	162985	180345.0039
240	change	27875	179325.0039
241	change	82035	177735.0039
242	change	132435	177235.0039
243	change	173725	175055.0039
244	change	173695	175035.0039
245	change	173115	174235.0039
246	change	141425	172605.0039
247	change	68545	171025.0039
248	change	76665	167955.0039
249	change	196535	165755.0039
250	change	139745	160085.0039
251	change	156875	239085.0039
252	change	176115	229185.0039
253	change	188915	218225.0039
254	change	158165	216475.0039
255	change	180075	215605.0039
256	change	200855	213935.0039
257	change	128525	212575.0039
258	change	144335	212125.0039
259	change	98005	210025.0039
260	change	224855	207595.0039
261	change	193775	207125.0039
262	change	199645	205705.0039
263	change	46875	203245.0039
264	change	111675	202765.0039
265	change	69825	202045.0039
266	change	150715	201165.0039
267	change	196485	201025.0039
268	change	213155	200185.0039
269	change	150215	199645.0039
270	change	199275	197825.0039
271	change	70045	196725.0039
272	change	143615	195175.0039
273	change	152865	193615.0039
274	change	82965	192435.0039
275	change	25545	190705.0039
276	change	59105	189685.0039
277	change	162755	188395.0039
278	change	156325	184945.0039
279	change	197755	183945.0039
