OBJECTID..	Value	Count	LG2013_ChangeCla	LG2016_ChangeCla
32	32	2797605	1	1
48	48	46788	1	3
53	53	27237	1	5
54	54	101940	1	2
65	65	37405	1	4
66	66	23995	1	8
69	69	29938	1	6
70	70	113811	1	9
74	74	10396	1	7
6	6	13500847	2	2
38	38	26957	2	5
42	42	50388	2	4
44	44	122753	2	1
45	45	34424	2	3
47	47	56139	2	9
63	63	46895	2	7
68	68	34638	2	6
80	80	17546	2	8
8	8	118009	3	2
11	11	19290614	3	3
12	12	131131	3	7
14	14	2123495	3	4
15	15	516466	3	6
20	20	76232	3	5
23	23	176438	3	9
52	52	145436	3	1
59	59	69441	3	8
4	4	45115361	4	4
7	7	554456	4	6
16	16	2059980	4	3
17	17	44399	4	2
18	18	96338	4	5
19	19	178731	4	9
21	21	109176	4	7
57	57	30699	4	1
79	79	25797	4	8
3	3	15457030	5	5
10	10	57126	5	6
35	35	12946	5	7
37	37	130132	5	9
39	39	22114	5	4
50	50	9806	5	3
75	75	6332	5	2
76	76	3272	5	1
81	81	3023	5	8
22	22	972590	6	4
24	24	2499007	6	9
25	25	793289	6	7
29	29	9152315	6	6
34	34	533469	6	3
36	36	112731	6	5
62	62	23407	6	8
71	71	55751	6	1
72	72	23947	6	2
26	26	1017666	7	6
27	27	5679088	7	7
28	28	419303	7	9
30	30	138841	7	4
31	31	72890	7	3
33	33	42474	7	5
60	60	163133	7	2
64	64	12116	7	8
73	73	26641	7	1
1	1	38206472	8	8
40	40	5055	8	5
43	43	7852	8	4
49	49	15678	8	6
51	51	14804	8	3
55	55	5501	8	7
56	56	4468	8	2
58	58	33564	8	9
61	61	14072	8	1
2	2	5660018	9	9
5	5	954720	9	6
9	9	227252	9	5
13	13	190940	9	7
41	41	23524	9	3
46	46	47048	9	4
67	67	9724	9	2
77	77	29868	9	8
78	78	27183	9	1
