NUTS1regio	Urbanisatie	Welvaartspeil	Type
Comunidad de Madrid	14.9994894	124	topregio
Hessen	10.2763665	140	topregio
Nordrhein-Westfalen	18.2158918	121	topregio
Oost-Nederland	10.8333956	106	topregio
Ostösterreich	7.9685682	126	topregio
Southeast England	16.3912203	113	topregio
Vlaams Gewest	27.248073	120	Vlaams Gewest
West-Nederland	22.0137316	145	topregio
Zuid-Nederland	17.7559841	124	topregio
Île-de-France	21.7877127	177	topregio
