NUTS1regio	Bevolkingsdichtheid	Urbanisatie	Type
Comunidad de Madrid	817	15	topregio
Hessen	296	10	topregio
Nordrhein-Westfalen	529	18	topregio
Oost-Nederland	369	11	topregio
Ostösterreich	167	8	topregio
Southeast England	477	16	topregio
Vlaams Gewest	487	27	Vlaams Gewest
West-Nederland	922	22	topregio
Zuid-Nederland	511	18	topregio
Île-de-France	1018	22	topregio
