code	count	cut	type	jaar
FS1447	10005	0.519301474	Onbebouwde ruimte	2013
ES6046	10006	0.150367633	Onbebouwde ruimte	2013
FS6748	10001	0.81948626	Onbebouwde ruimte	2013
ES0545	10007	0.551633894	Onbebouwde ruimte	2013
FS1347	10004	0.218092278	Onbebouwde ruimte	2013
ES5946	10006	0.332531214	Onbebouwde ruimte	2013
FS6648	10002	0.594435871	Onbebouwde ruimte	2013
FS7383	10001	0.886524916	Onbebouwde ruimte	2013
FS1982	10006	0.299466014	Onbebouwde ruimte	2013
ES1180	10010	0.846604228	Onbebouwde ruimte	2013
FS7283	10000	0.184541866	Onbebouwde ruimte	2013
FS1882	10005	0.819887578	Onbebouwde ruimte	2013
ES1080	10010	0.897238076	Onbebouwde ruimte	2013
FS7183	10002	0.921607673	Onbebouwde ruimte	2013
FS1782	10006	0.846628308	Onbebouwde ruimte	2013
ES0980	10007	0.794242561	Onbebouwde ruimte	2013
FS1682	10006	0.532188237	Onbebouwde ruimte	2013
ES0880	10009	0.61345917	Onbebouwde ruimte	2013
FS1582	10005	0.530481756	Onbebouwde ruimte	2013
ES0780	10009	0.821546912	Onbebouwde ruimte	2013
FS1482	10005	0.892767668	Onbebouwde ruimte	2013
ES0680	10009	0.429886848	Onbebouwde ruimte	2013
FS1382	10005	0.266364545	Onbebouwde ruimte	2013
ES0580	10009	0.920771241	Onbebouwde ruimte	2013
FS1282	10006	0.283915639	Onbebouwde ruimte	2013
ES0480	10008	0.877829731	Onbebouwde ruimte	2013
DS8037	10007	0.722731709	Onbebouwde ruimte	2013
FS4240	10004	0.234711409	Onbebouwde ruimte	2013
ES3438	10008	0.397623211	Onbebouwde ruimte	2013
ES8839	10004	0.720855296	Onbebouwde ruimte	2013
DS7937	10008	0.515634656	Onbebouwde ruimte	2013
FS4140	10001	0.788777471	Onbebouwde ruimte	2013
ES3338	10008	0.179388463	Onbebouwde ruimte	2013
ES8739	10006	0.419794112	Onbebouwde ruimte	2013
DS7837	10007	0.698697507	Onbebouwde ruimte	2013
FS4040	10003	0.904890418	Onbebouwde ruimte	2013
ES3238	10007	0.784832835	Onbebouwde ruimte	2013
ES8639	10004	0.418340862	Onbebouwde ruimte	2013
DS7737	10007	0.882606506	Onbebouwde ruimte	2013
FS3940	10003	0.888416886	Onbebouwde ruimte	2013
ES3138	10007	0.376433164	Onbebouwde ruimte	2013
ES8539	10004	0.171009779	Onbebouwde ruimte	2013
DS7637	10008	0.717021823	Onbebouwde ruimte	2013
FS3840	10001	0.49651438	Onbebouwde ruimte	2013
ES3038	10007	0.120858259	Onbebouwde ruimte	2013
ES8439	10006	0.46651727	Onbebouwde ruimte	2013
DS7537	10008	0.352654874	Onbebouwde ruimte	2013
FS3740	10004	0.869581521	Onbebouwde ruimte	2013
ES2938	10007	0.066725373	Onbebouwde ruimte	2013
ES8339	10004	0.467351675	Onbebouwde ruimte	2013
DS7437	10008	0.891178429	Onbebouwde ruimte	2013
FS3640	10003	0.67873466	Onbebouwde ruimte	2013
ES2838	10007	0.009774958	Onbebouwde ruimte	2013
ES8239	10006	0.696344376	Onbebouwde ruimte	2013
DS7337	10007	0.448521584	Onbebouwde ruimte	2013
ES2738	10008	0.065488301	Onbebouwde ruimte	2013
FS3540	10002	0.397299051	Onbebouwde ruimte	2013
ES8139	10004	0.712052107	Onbebouwde ruimte	2013
ES2638	10007	0.109627493	Onbebouwde ruimte	2013
FS3440	10004	0.479689538	Onbebouwde ruimte	2013
ES8039	10006	0.709403038	Onbebouwde ruimte	2013
FS8741	9999	0.074771032	Onbebouwde ruimte	2013
ES2538	10008	0.207563996	Onbebouwde ruimte	2013
FS3340	10003	0.615365684	Onbebouwde ruimte	2013
