IDPlots	longitude	latitude
17091	212.946,3	202.149,2
17144	153.942,1	239.179,9
18111	160.899,0	241.189,5
18127	160.946,3	240.160,7
18135	160.884,6	239.706,1
18159	160.942,1	238.179,8
26148	173.915,2	238.657,9
27091	180.947,2	242.163,5
27113	178.936,6	240.691,7
27124	181.948,2	240.189,8
27131	180.918,1	239.683,5
27137	178.947,7	239.184,3
27138	179.942,2	239.179,6
27139	180.932,4	239.180,7
27140	181.942,1	239.179,9
27145	178.942,1	238.679,7
27148	181.925,3	238.659,1
27154	179.946,6	238.181,6
27156	181.919,3	238.175,1
35106	195.942,1	241.179,9
35114	195.942,1	240.679,9
35124	197.942,2	240.179,9
35129	194.942,2	239.679,9
35132	197.942,1	239.679,9
35140	197.935,5	239.182,1
35145	194.942,2	238.679,7
35148	197.942,4	238.680,0
48063	64.942,2	224.179,9
48064	65.942,2	224.179,8
48072	65.942,1	223.679,9
48113	58.942,5	220.679,6
55115	68.942,2	220.679,8
56018	75.942,2	226.679,5
72144	145.942,2	229.179,7
73040	153.942,3	235.679,9
73054	151.942,1	234.679,8
73062	151.942,3	234.179,8
73063	152.935,4	234.182,9
73064	153.942,1	234.179,8
73086	151.942,3	232.679,7
73120	153.942,2	230.679,9
73154	147.941,1	228.179,3
74013	158.956,0	237.163,5
74017	154.943,0	236.679,6
74018	155.941,5	236.679,8
74019	156.947,2	236.677,7
74026	155.942,1	236.179,6
74034	155.942,4	235.679,9
74041	154.942,1	235.179,9
74049	154.942,1	234.680,0
74050	155.957,5	234.681,4
74057	154.944,4	234.155,6
74065	154.971,5	233.683,1
74066	155.942,4	233.679,9
74067	156.911,4	233.681,6
74072	161.942,2	233.679,7
74074	155.942,9	233.180,0
74082	155.942,4	232.680,1
74087	160.942,0	232.689,2
74088	161.942,3	232.679,9
74090	155.942,3	232.179,8
74128	161.942,0	230.179,7
74129	154.942,2	229.679,9
74130	155.942,2	229.679,9
74135	160.942,1	229.679,8
74137	154.968,7	229.192,7
74143	160.934,8	229.178,8
74145	154.954,6	228.682,7
74156	157.931,8	228.184,5
74157	158.960,8	228.166,2
75149	134.948,3	218.675,1
76048	145.942,1	225.179,8
77011	148.942,1	227.179,8
77012	149.942,2	227.179,8
77013	150.942,2	227.179,8
77015	152.946,0	227.182,1
77016	153.942,2	227.179,9
77021	150.942,1	226.679,8
77024	153.942,1	226.679,7
77032	153.942,3	226.179,9
77038	151.942,0	225.679,7
77040	153.941,5	225.685,1
77048	153.928,4	225.176,6
77056	153.942,0	224.679,8
77087	152.950,5	222.673,0
77150	151.942,1	218.679,7
78005	158.932,7	227.662,1
78017	154.942,1	226.680,0
78019	156.942,2	226.679,9
78022	159.929,4	226.680,2
78025	154.942,1	226.180,0
78028	157.942,3	226.179,8
