IDPlots	longitude	latitude
78029	158.941,9	226.180,0
78030	159.936,7	226.186,3
78033	154.942,1	225.679,7
78035	156.937,6	225.676,3
78038	159.942,2	225.680,0
78041	154.942,1	225.179,7
78042	155.954,8	225.179,1
78044	157.946,4	225.181,8
78045	158.941,0	225.188,8
78046	159.886,0	225.192,6
78048	161.942,2	225.179,6
78051	156.927,6	224.700,5
78052	157.942,2	224.680,0
78055	160.948,0	224.664,3
78056	161.940,0	224.645,1
78058	155.938,7	224.195,4
78059	156.942,0	224.180,3
78060	157.942,2	224.179,8
78064	161.942,0	224.179,8
78067	156.942,1	223.679,8
78068	157.942,2	223.680,0
78070	159.932,1	223.674,2
78076	157.946,7	223.160,5
78078	159.961,0	223.169,1
78083	156.942,5	222.679,6
78085	158.938,6	222.672,5
78087	160.940,2	222.678,8
78088	161.948,2	222.691,6
78095	160.942,4	222.179,8
78096	161.939,6	222.182,2
78109	158.944,0	221.176,0
78127	160.942,2	220.179,8
78133	158.942,2	219.679,8
78135	160.942,0	219.679,9
78136	161.942,1	219.679,9
78140	157.943,3	219.180,3
78142	159.942,1	219.179,8
78143	160.942,2	219.179,8
78148	157.981,8	218.644,0
78150	159.958,1	218.711,9
78156	157.942,1	218.179,9
78158	159.942,3	218.179,8
81065	162.942,3	233.680,0
81066	163.941,1	233.679,9
81073	162.942,4	233.179,9
81090	163.946,0	232.175,8
81126	167.942,3	230.179,9
81131	164.942,2	229.679,0
81133	166.958,3	229.700,8
81146	163.937,9	228.681,0
82037	174.942,1	235.679,9
82061	174.942,5	234.181,4
82126	175.941,9	230.179,7
83017	178.942,2	236.679,8
83019	180.942,8	236.671,6
83069	182.942,2	233.679,7
83070	183.942,1	233.679,9
83083	180.942,3	232.679,9
83086	183.942,2	232.679,8
83091	180.942,2	232.179,8
83094	183.942,2	232.179,7
83102	183.942,1	231.679,8
83108	181.946,1	231.193,4
83112	185.942,2	231.179,9
83116	181.943,6	230.679,5
83119	184.942,1	230.679,8
83121	178.942,2	230.179,7
83127	184.942,1	230.179,8
83139	180.938,7	229.181,4
83140	181.942,8	229.181,3
83143	184.942,2	229.179,9
83147	180.943,1	228.679,7
84016	193.956,4	237.160,6
84048	193.942,2	235.179,9
84070	191.942,1	233.679,8
84078	191.942,2	233.179,9
84085	190.942,2	232.679,7
84093	190.942,1	232.179,8
84102	191.941,4	231.684,2
84117	190.949,0	230.698,7
84118	191.947,1	230.676,9
84119	192.941,4	230.676,2
84126	191.942,2	230.179,8
84134	191.942,2	229.679,8
84142	191.942,1	229.179,8
85002	163.942,2	227.679,9
85004	165.952,1	227.684,3
85019	164.942,1	226.679,7
85034	163.946,3	225.677,6
85052	165.942,2	224.679,8
85061	166.958,3	229.700,8
85064	169.937,0	224.184,2
85065	162.942,6	223.680,4
85067	164.942,2	223.679,8
85068	165.942,1	223.679,3
85069	166.947,6	223.707,9
85070	167.937,0	223.679,3
85081	162.937,5	222.666,2
85091	164.943,0	222.179,1
85092	165.942,3	222.180,1
85100	165.942,2	221.679,8
85108	165.955,2	221.178,8
85110	167.937,6	221.167,5
85116	165.951,9	220.682,8
85117	166.948,7	220.719,2
85118	167.942,3	220.679,9
85119	168.952,3	220.714,6
85124	165.942,0	220.179,6
85126	167.942,1	220.179,8
85127	168.942,2	220.180,0
85128	169.950,2	220.178,7
85133	166.953,0	219.664,0
85137	162.942,1	219.179,8
85138	163.942,1	219.179,9
85143	168.939,5	219.190,6
85145	162.942,4	218.680,1
85146	163.950,0	218.678,2
85147	164.942,1	218.679,7
85148	165.938,2	218.662,0
85153	162.942,3	218.180,0
85155	164.941,9	218.179,6
85156	165.942,1	218.179,7
86029	174.942,1	226.179,8
86044	173.942,3	225.180,0
86053	174.952,6	224.696,8
86095	176.942,1	222.179,8
86101	174.942,3	221.679,9
86112	177.954,3	221.197,6
86113	170.942,2	220.679,5
86117	174.942,3	220.679,9
86125	174.942,3	220.179,9
86134	175.942,2	219.679,8
86136	177.942,2	219.679,8
86137	170.942,3	219.179,8
86141	174.945,7	219.177,9
86142	175.942,9	219.183,8
86143	176.942,2	219.179,9
86144	177.942,3	219.179,8
86145	170.942,4	218.679,8
86149	174.942,4	218.679,6
86151	176.942,2	218.679,8
86152	177.942,1	218.679,9
86154	171.942,2	218.179,7
86158	175.942,2	218.179,8
86159	176.942,3	218.179,8
87005	182.942,2	227.680,1
87010	179.942,1	227.179,9
87012	181.942,3	227.179,8
87013	182.942,1	227.179,9
87019	180.945,9	226.680,8
87042	179.942,3	225.179,9
87047	184.942,1	225.179,9
87048	185.942,3	225.179,7
87056	185.942,0	224.680,0
87058	179.955,0	224.175,7
87072	185.945,4	223.682,8
87075	180.942,1	223.179,9
87081	178.936,8	222.697,0
87082	179.942,2	222.680,0
87088	185.936,7	222.676,3
87090	179.942,2	222.180,0
87107	180.942,3	221.179,8
87108	181.942,3	221.179,8
87110	183.941,9	221.180,1
87111	184.942,2	221.179,7
87117	182.942,2	220.679,9
87119	184.942,3	220.679,9
87123	180.943,3	220.185,1
87124	181.960,3	220.189,4
87127	184.942,2	220.179,9
87131	180.940,5	219.678,4
87135	184.942,0	219.679,7
87138	179.952,2	219.172,5
87139	180.942,2	219.179,8
87146	179.942,3	218.679,8
87147	180.942,3	218.680,0
87148	181.942,2	218.680,0
87155	180.942,2	218.179,8
87156	181.942,1	218.179,9
88006	191.962,3	227.671,9
88024	193.941,3	226.668,4
88040	193.942,1	225.679,9
88063	192.942,1	224.179,9
88092	189.954,8	222.184,4
88105	186.942,1	221.179,9
88113	186.934,1	220.690,5
88114	187.942,3	220.679,9
88118	191.942,1	220.679,8
88121	186.944,6	220.176,2
88123	188.942,3	220.179,9
88126	191.934,2	220.172,1
88127	192.947,6	220.182,8
88129	186.942,2	219.679,7
88134	191.921,3	219.696,7
88144	193.942,4	219.179,7
88146	187.942,2	218.679,9
88148	189.939,1	218.669,2
88150	191.942,2	218.679,9
88155	188.942,2	218.179,8
88156	189.942,4	218.179,5
88160	193.942,2	218.180,0
91009	194.942,1	237.179,7
91017	194.951,1	236.681,8
91025	194.942,1	236.179,8
91044	197.942,2	235.179,9
91059	196.954,1	234.189,8
91060	197.942,3	234.180,0
91068	197.942,1	233.679,8
91075	196.942,1	233.179,9
91076	197.942,2	233.179,9
91084	197.942,1	232.679,8
91091	196.942,1	232.179,9
91092	197.942,2	232.179,9
91100	197.942,2	231.680,0
91107	196.942,0	231.180,0
91108	197.942,2	231.179,9
91115	196.938,8	230.679,8
91116	197.954,8	230.685,9
91123	196.942,1	230.179,8
91124	197.942,3	230.179,8
91130	195.938,8	229.681,1
91138	195.942,2	229.179,9
91139	196.942,2	229.179,8
91145	194.942,2	228.679,7
91146	195.942,2	228.679,9
95001	194.942,2	227.679,9
95004	197.942,2	227.679,8
95011	196.942,1	227.179,3
95028	197.942,4	226.180,0
95033	194.942,3	225.679,7
95041	194.936,7	225.186,3
95051	196.942,3	224.679,7
95057	194.942,5	224.179,9
95059	196.943,5	224.163,6
95067	196.942,3	223.679,9
95075	196.948,7	223.186,7
95090	195.942,2	222.179,8
95119	200.942,3	220.679,9
95122	195.942,1	220.179,8
95143	200.942,1	219.179,9
96017	202.947,7	226.685,8
96025	202.942,2	226.179,8
96033	202.942,2	225.679,9
96049	202.942,2	224.679,9
96057	202.942,2	224.179,8
96070	207.942,0	223.679,9
96073	202.942,2	223.179,9
96077	206.940,7	223.183,2
96079	208.945,7	223.194,9
96093	206.930,5	222.159,2
96094	207.931,3	222.166,9
96097	208.945,7	223.194,9
96100	205.942,2	221.679,9
96102	207.942,2	221.679,8
96103	208.939,4	221.693,4
96104	209.949,3	221.680,7
96105	202.942,2	221.179,9
96107	204.942,1	221.179,9
96108	205.942,2	221.179,1
96109	206.953,5	221.171,8
96111	208.943,0	221.176,6
96112	209.942,2	221.179,9
96116	205.978,1	220.663,7
96117	206.942,2	220.679,8
96123	204.942,1	220.179,8
96124	205.942,1	220.179,8
96125	206.941,6	220.224,6
96126	207.942,0	220.179,8
96127	208.942,1	220.179,9
96130	203.942,2	219.679,8
96134	207.942,1	219.679,9
96137	202.942,2	219.179,8
96142	207.942,3	219.180,0
96143	208.951,2	219.160,2
96144	209.965,9	219.186,3
96149	206.941,2	218.660,8
96152	209.942,2	218.679,8
96158	207.942,3	218.179,8
98145	218.942,2	218.680,0
98153	218.942,0	218.180,0
105098	227.942,2	221.679,8
105108	229.923,9	221.203,5
105115	228.942,3	220.679,9
105122	227.946,5	220.171,9
105123	228.933,9	220.165,0
105124	229.931,3	220.194,5
105130	227.957,6	219.711,9
105131	228.958,1	219.679,6
105132	229.942,2	219.679,8
105138	227.942,0	219.179,7
105148	229.932,6	218.698,4
105156	229.942,1	218.179,9
117136	25.942,2	199.679,8
117143	24.942,2	199.179,7
117144	25.954,1	199.178,6
117149	22.942,1	198.678,2
117151	24.941,6	198.678,8
117157	22.942,2	198.179,8
118084	29.942,2	202.679,8
118093	30.942,2	202.179,8
118121	26.942,3	200.179,8
124141	62.926,2	209.192,9
124149	62.937,9	208.684,0
124152	65.942,2	208.679,7
127022	55.942,3	206.679,9
128008	65.948,0	207.686,4
128012	61.942,3	207.179,9
128015	64.937,4	207.176,6
128016	65.907,0	207.202,5
128022	63.926,2	206.683,9
128030	63.940,8	206.179,7
128031	64.945,0	206.177,6
128033	58.942,2	205.679,7
128035	60.945,0	205.680,2
128039	64.942,2	205.679,9
128050	59.942,2	204.679,7
128051	60.942,3	204.679,9
128060	61.941,4	204.183,5
128100	61.916,1	201.671,0
128138	59.892,4	199.167,9
128147	60.937,0	198.688,7
128151	64.940,9	198.660,8
128154	59.945,3	198.180,5
131044	69.942,1	215.179,8
131142	71.942,3	209.179,9
131145	66.930,1	208.697,2
131148	69.941,3	208.681,2
131158	71.934,7	208.187,4
131159	72.946,0	208.181,8
132097	74.952,6	211.698,1
132103	80.942,3	211.679,9
132113	74.988,3	210.603,1
132138	75.942,3	209.179,7
133098	83.941,5	211.679,0
133135	88.942,0	209.679,8
133153	82.942,3	208.179,8
134040	97.941,1	215.686,2
134128	97.942,2	210.179,9
134131	92.942,2	209.679,4
134159	96.942,1	208.179,9
135001	66.942,2	207.679,8
135002	67.942,2	207.680,0
135020	69.942,2	206.680,0
135054	71.941,9	204.680,2
135062	71.942,1	204.179,8
135069	70.942,1	203.679,8
135081	66.942,2	202.679,8
135082	67.942,3	202.679,8
135083	68.942,2	202.679,3
135089	66.925,1	202.182,9
135090	67.942,2	202.179,8
135092	69.942,3	202.179,9
135093	70.942,1	202.179,9
135096	73.942,2	202.179,8
135098	67.942,1	201.680,0
135099	68.942,1	201.679,8
135101	70.942,2	201.679,8
135102	71.942,2	201.679,8
135118	71.942,2	200.679,8
135120	73.942,2	200.679,8
135132	69.944,8	199.666,4
135140	69.942,2	199.179,9
135144	73.942,2	199.180,1
135151	72.942,1	198.679,7
136040	81.942,0	205.679,8
136077	78.942,1	203.179,9
136102	79.942,0	201.679,8
136113	74.938,0	200.657,6
136114	75.942,4	200.680,0
136121	74.942,3	200.179,9
136122	75.947,8	200.173,9
136135	80.950,2	199.669,6
136139	76.942,3	199.179,9
136143	80.942,9	199.180,4
136145	74.942,1	198.680,0
136155	76.940,1	198.168,9
136159	80.923,4	198.163,6
136160	81.933,0	198.174,4
137010	83.942,3	207.178,4
137011	84.942,1	207.179,7
137028	85.947,7	206.174,7
137035	84.927,1	205.679,3
137036	85.933,1	205.676,9
137037	86.956,1	205.668,2
137043	84.927,9	205.186,5
137045	86.942,0	205.179,8
137052	85.924,5	204.675,6
137053	86.937,2	204.667,4
137054	87.943,3	204.677,6
137060	85.946,2	204.180,2
137062	87.942,1	204.180,0
137068	85.942,2	203.679,4
137076	85.942,2	203.179,6
137084	85.929,5	202.665,8
138016	97.942,4	207.180,7
138019	92.936,8	206.686,8
138020	93.942,0	206.680,0
138024	97.949,5	206.679,6
138027	92.943,0	206.181,0
138028	93.943,0	206.176,8
138036	93.939,9	205.685,7
138097	90.939,6	201.676,9
138098	91.942,3	201.679,5
141131	100.934,1	209.679,5
142033	106.942,2	215.679,7
142137	106.942,1	209.180,2
142144	113.942,0	209.179,7
142150	111.942,1	208.679,8
142151	112.942,4	208.680,0
142159	112.942,3	208.179,8
143120	121.942,2	210.679,8
143127	120.942,3	210.179,8
143133	118.942,3	209.679,8
143136	121.942,1	209.679,5
143141	118.941,9	209.179,7
143143	120.942,0	209.179,8
143154	115.942,2	208.179,8
144047	128.942,3	215.179,8
144048	129.942,2	215.179,6
144051	124.942,2	214.679,8
144055	128.942,3	214.680,0
144056	129.942,3	214.679,7
144059	124.942,2	214.179,8
144063	128.942,2	214.179,7
144064	129.941,8	214.179,8
144069	126.942,2	213.679,8
144071	128.942,2	213.680,1
144072	129.942,2	213.679,9
144076	125.942,1	213.179,8
144077	126.947,3	213.181,5
144113	122.942,1	210.679,9
144119	128.941,4	210.699,2
144121	122.942,0	210.179,9
144125	126.942,5	210.179,9
144127	128.942,1	210.179,7
144131	124.942,2	209.679,9
144136	129.942,2	209.679,9
144139	124.942,1	209.179,8
144142	127.942,6	209.180,3
144146	123.942,1	208.680,0
144157	126.931,7	208.171,4
144199	128.941,4	210.699,2
145001	98.942,1	207.679,8
145002	99.942,2	207.679,8
145011	100.942,2	207.179,8
145045	102.942,0	205.179,9
145062	103.942,2	204.179,8
145153	98.942,2	198.184,8
146006	111.941,2	207.679,7
146007	112.942,1	207.679,8
146014	111.942,2	207.180,0
146031	112.942,2	206.180,0
146063	112.942,3	204.180,0
147003	116.942,3	207.679,8
147004	117.942,3	207.679,8
147036	117.942,2	205.680,1
147049	114.942,1	204.679,8
147054	119.942,1	204.680,0
147059	116.937,7	204.177,2
147067	116.942,2	203.679,9
147068	117.942,3	203.677,7
147115	116.939,0	200.685,0
147141	118.942,2	199.179,7
148018	123.938,6	206.670,1
148024	129.931,9	206.682,9
148025	122.942,1	206.179,9
148026	123.942,4	206.179,7
148031	128.948,1	206.168,2
148032	129.942,3	206.179,8
148045	126.908,9	205.129,4
148047	128.942,3	205.179,9
148069	126.942,3	203.679,9
148078	127.957,9	203.180,4
148087	128.942,3	202.679,8
148095	128.950,0	202.179,6
148110	127.955,8	201.173,0
148120	129.946,9	200.685,9
148136	129.942,3	199.679,8
148145	122.942,2	198.679,9
151041	130.942,5	215.179,7
152025	138.942,2	216.179,9
152131	140.942,1	209.679,8
153007	152.942,0	217.679,9
153016	153.942,2	217.179,9
153068	149.930,0	213.691,5
153107	148.942,2	211.179,9
153115	148.942,2	210.679,9
153139	148.935,4	209.171,4
153147	148.942,0	208.680,1
153154	147.942,2	208.179,5
154004	157.942,0	217.679,6
154009	154.942,5	217.179,6
154013	158.942,1	217.179,8
154019	156.923,7	216.680,0
154021	158.962,6	216.672,4
154027	156.942,4	216.180,2
154032	161.942,4	216.179,6
154047	160.948,0	215.174,3
154062	159.942,5	214.180,5
154068	157.941,8	213.679,7
154072	161.941,9	213.680,0
154091	156.942,1	212.179,6
154099	156.942,6	211.679,9
154101	158.942,3	211.679,8
155024	137.947,1	206.691,6
155061	134.942,3	204.179,8
155075	132.941,3	203.156,3
155083	132.942,1	202.680,2
155084	133.943,2	202.672,3
155090	131.946,2	202.181,0
155106	131.942,1	201.180,0
155113	130.946,8	200.660,9
155133	134.942,2	199.679,9
155136	137.942,1	199.679,9
155139	132.942,3	199.179,8
155151	136.942,3	198.679,9
156009	138.942,3	207.179,9
156025	138.942,2	206.180,0
156048	145.942,0	205.179,6
156056	145.942,2	204.679,7
156064	145.942,2	204.179,9
156072	145.942,1	203.679,8
156088	145.942,1	202.679,9
156094	143.942,1	202.179,9
156107	140.942,1	201.179,7
156108	141.942,2	201.179,8
156111	144.942,3	201.179,7
156113	138.942,1	200.679,8
156114	139.942,3	200.679,8
156117	142.942,3	200.679,9
156118	143.936,9	200.660,4
156121	138.942,2	200.179,9
156124	141.944,1	200.179,0
156125	142.942,2	200.179,6
156129	138.942,2	199.679,8
156137	138.942,3	199.180,0
156139	140.942,2	199.180,0
156145	138.942,3	198.680,0
156146	139.942,1	198.679,9
156152	145.925,9	198.681,6
156159	144.942,3	198.179,8
157029	150.913,6	206.183,3
157036	149.942,8	205.680,2
157050	147.948,9	204.696,6
157051	148.942,2	204.679,8
157054	151.942,3	204.679,7
157063	152.942,3	204.179,8
157067	148.926,4	203.691,8
157072	153.942,2	203.679,9
157075	148.942,4	203.179,8
157083	148.937,8	202.664,2
157084	149.916,5	202.692,5
157091	148.941,9	202.180,0
157095	152.942,0	202.180,0
157097	146.942,1	201.679,8
157131	148.942,4	199.679,7
157138	147.943,3	199.179,2
157139	148.942,4	199.180,0
157149	150.942,1	198.680,0
157153	146.942,2	198.179,7
157157	150.942,3	198.179,8
158029	158.942,1	206.179,8
158033	154.890,0	205.707,4
158053	158.942,2	204.680,0
158061	158.942,2	204.179,8
158069	158.942,1	203.679,8
158091	156.941,9	202.178,2
158103	160.909,9	201.641,3
158118	159.942,5	200.679,7
158120	161.942,4	200.679,9
161011	164.942,1	217.179,8
161030	168.942,3	212.679,9
161033	162.942,2	215.679,9
161039	168.943,9	213.187,2
161043	164.938,7	215.183,4
161053	167.942,2	213.679,7
161061	166.942,2	214.179,8
161068	165.942,3	213.679,7
161069	166.942,2	214.179,8
161070	167.942,2	213.679,7
161071	166.942,2	213.679,9
161079	167.952,3	213.185,6
161082	163.946,6	212.683,1
161085	166.942,0	212.679,8
161087	168.942,2	213.679,8
161092	165.942,1	212.179,9
161093	166.949,6	212.170,4
161095	168.942,2	212.179,7
161098	163.942,1	211.679,8
161102	167.944,4	211.681,5
161104	169.942,2	211.679,6
161111	168.942,0	211.179,8
161114	163.942,0	210.679,8
161119	168.942,2	210.679,9
161126	167.942,3	210.180,0
161129	162.952,7	209.679,7
161130	163.946,7	209.669,7
161132	165.933,7	209.681,4
161133	166.942,1	209.680,1
161134	167.952,7	209.690,2
161142	167.950,7	209.183,2
162002	171.942,3	217.679,7
162003	172.942,3	217.679,7
162006	175.942,3	217.679,8
162008	177.939,1	217.676,3
162009	170.942,5	217.179,8
162016	177.956,2	217.165,7
162017	170.946,5	216.667,6
162019	172.921,3	216.616,7
162023	176.942,2	216.679,9
162025	170.944,6	216.168,1
162027	172.942,4	216.179,8
162030	175.942,3	216.179,9
162032	177.942,1	216.179,8
162034	171.954,8	215.670,5
162035	172.914,0	215.681,1
162038	175.941,4	215.680,0
162039	176.942,2	215.679,8
162041	170.942,2	215.179,9
162042	171.942,9	215.172,3
162043	172.941,1	215.179,0
162046	175.938,3	215.170,8
162051	172.941,7	214.681,0
162053	174.964,1	214.672,9
162054	175.942,7	214.695,2
162060	173.942,2	214.180,0
162062	175.942,1	214.179,8
162066	171.942,1	213.680,1
162077	174.937,5	213.179,4
162078	175.929,1	213.192,6
162082	171.942,3	212.679,7
162085	174.942,2	212.679,9
162088	177.926,3	212.686,7
162090	171.935,4	212.182,2
162093	174.942,3	212.179,9
162094	175.997,5	212.177,8
162098	171.942,4	211.679,7
162100	173.960,7	211.656,3
162101	174.934,5	211.677,5
162103	176.946,6	211.673,3
162119	176.942,2	210.679,9
162124	173.942,3	210.179,6
162126	175.941,9	210.179,8
162129	170.948,8	209.708,0
162139	172.936,1	209.171,4
162140	173.942,2	209.179,6
162144	177.942,2	209.179,8
162147	172.939,1	208.684,9
163003	180.938,9	217.677,3
163006	183.942,2	217.679,8
163008	185.942,0	217.679,9
163010	179.941,9	217.179,8
163011	180.942,2	217.179,9
163020	181.942,2	216.679,3
163021	182.935,0	216.678,8
163036	181.942,2	215.679,8
163039	184.935,7	215.683,2
163051	180.942,2	214.679,8
163058	179.942,2	214.179,8
163092	181.942,1	212.179,8
163094	183.942,2	212.179,8
163096	185.942,2	212.190,5
163104	185.931,5	211.647,0
163106	179.942,2	211.179,8
163112	185.942,2	211.179,7
163119	184.941,5	210.675,6
163120	185.935,8	210.677,7
163123	180.942,1	210.179,7
163124	181.942,2	210.179,9
163125	182.942,2	210.180,0
163126	183.958,2	210.176,1
163127	184.928,7	210.173,4
163128	185.942,3	210.179,8
163129	178.942,2	209.679,8
163131	180.942,2	209.679,8
163133	182.942,7	209.680,1
163135	184.939,0	209.679,9
163136	185.942,7	209.680,1
163138	179.942,2	209.179,8
163140	181.942,1	209.179,8
163141	182.945,1	209.172,2
163146	179.942,2	208.679,8
163147	180.942,1	208.679,9
163148	181.942,2	208.679,9
163152	185.942,2	208.679,7
163153	178.942,2	208.179,8
163158	183.942,1	208.179,8
164006	191.942,1	217.680,0
164010	187.942,3	217.179,8
164011	188.936,1	217.173,9
164018	187.942,1	216.679,8
164019	188.942,2	216.679,7
164026	187.942,2	216.179,8
164027	188.942,1	216.179,9
164044	189.927,8	215.167,5
164051	188.944,3	214.681,7
164052	189.941,7	214.690,2
164055	192.942,2	214.679,9
164060	189.952,4	214.170,4
164061	190.942,1	214.180,0
164068	189.942,2	213.679,7
164069	190.942,1	213.679,8
164076	189.939,1	213.181,6
164083	188.942,1	212.679,9
164087	192.942,2	212.679,8
164088	193.950,4	212.681,1
164089	186.942,2	212.179,9
164097	186.942,1	211.679,9
164105	186.942,1	211.179,9
164106	187.954,5	211.173,1
164113	186.942,2	210.679,9
164114	187.942,1	210.679,8
164124	189.942,2	210.179,9
164126	191.942,1	210.179,7
164141	190.928,7	209.188,4
165005	166.942,1	207.679,9
165043	164.942,3	205.179,9
165051	164.942,2	204.679,8
165059	164.942,2	204.179,8
165060	165.942,2	204.179,8
165092	165.942,4	202.179,8
165116	165.942,2	200.679,8
165147	164.942,2	198.679,8
166005	174.933,2	207.684,3
166013	174.942,2	207.179,8
166016	177.942,2	207.179,7
166023	176.932,4	206.682,6
166024	177.925,5	206.676,9
166032	177.936,1	206.170,6
166050	171.941,8	204.679,5
166056	177.939,1	204.677,1
166057	170.942,2	204.179,9
166069	174.942,1	203.680,0
166076	173.942,3	203.180,0
166077	174.951,0	203.177,2
166078	175.942,2	203.179,9
166084	173.973,8	202.651,1
166085	174.951,2	202.677,0
166092	173.946,0	202.145,7
166094	175.942,3	202.179,6
166106	171.942,5	201.179,8
166127	176.946,5	200.177,2
166130	171.942,1	199.679,8
166156	173.939,2	198.186,1
166158	175.930,2	198.174,6
167001	178.942,2	207.679,9
167002	179.942,2	207.679,8
167037	182.942,5	205.678,4
167047	184.942,1	205.179,9
167048	185.942,2	205.179,8
167050	179.942,1	204.677,8
167056	185.942,1	204.679,8
167071	184.942,3	203.679,9
167072	185.942,2	203.679,8
167078	183.942,3	203.179,8
167080	185.942,2	203.179,9
167085	182.942,2	202.679,8
167094	183.942,2	202.179,8
167102	183.942,2	201.679,9
167128	185.942,2	200.179,8
167132	181.942,1	199.679,8
167133	182.942,1	199.679,8
167136	185.951,6	199.680,4
167160	185.942,2	198.179,9
168004	189.942,2	207.679,8
168011	188.942,2	207.179,9
168017	186.942,1	206.679,8
168025	186.940,1	206.181,8
168072	193.942,1	203.679,8
168097	186.942,1	201.679,8
168098	187.942,3	201.679,8
168106	187.942,1	201.179,9
168107	188.942,1	201.179,9
168129	186.939,1	199.682,8
168131	188.942,1	199.679,8
168142	191.942,1	199.179,9
168143	192.942,1	199.180,0
168147	188.942,2	198.679,8
168153	186.942,2	198.179,9
168156	189.941,2	198.181,0
171004	197.930,3	217.664,3
171009	194.942,1	217.179,8
171028	197.946,4	216.168,7
171029	198.942,2	216.179,8
171035	196.956,5	215.668,7
171049	194.942,2	214.679,9
171067	196.951,5	213.684,7
171068	197.942,2	213.679,8
171073	194.942,5	213.179,7
171075	196.931,2	213.174,0
171076	197.942,1	213.179,8
171080	201.948,3	213.178,8
171086	199.942,3	212.679,8
171100	197.932,6	211.672,7
171101	198.942,1	211.679,7
171105	194.942,3	211.179,9
171108	197.943,7	211.180,2
171109	198.959,4	211.180,0
171123	196.942,2	210.179,8
171134	199.922,6	209.687,4
171135	200.942,1	209.679,8
172002	203.948,4	217.652,9
172003	204.942,3	217.679,8
172004	205.942,2	217.679,8
172005	206.942,3	217.679,9
172006	207.935,7	217.684,1
172007	208.941,0	217.668,8
172011	204.941,5	217.180,4
172012	205.942,2	217.179,9
172018	203.941,1	216.685,4
172019	204.949,1	216.627,6
172027	204.942,1	216.179,8
172032	209.942,1	216.179,7
172040	209.942,6	215.677,3
172044	205.935,7	215.193,6
172048	209.942,3	215.179,7
172052	205.942,2	214.679,9
172060	205.942,2	214.179,9
172061	206.942,2	214.179,9
172066	203.942,2	213.679,8
172069	206.942,2	213.679,4
172070	207.942,4	213.679,8
172077	206.942,1	213.179,8
172082	203.942,2	212.679,9
172083	204.930,0	212.699,3
172085	206.940,5	212.686,7
172088	209.942,1	212.680,0
172092	205.942,2	212.179,8
172099	204.942,2	211.679,9
172100	205.942,2	211.679,9
172104	209.942,1	211.680,0
172105	202.942,2	211.179,9
172108	205.942,2	211.179,8
172111	208.942,1	211.179,8
172116	205.942,0	210.680,0
172128	209.942,2	210.179,7
172133	206.942,3	209.679,9
172134	207.942,2	209.679,8
172139	204.942,2	209.179,8
