X	Y	IDPlots
42942.18986	208179.7999	12153
153942.2	239179.8	17144
152942.2	238679.8	17151
153942.2	238679.8	17152
151942.2	238179.8	17158
152942.2	238179.8	17159
153942.2	238179.8	17160
160942.2	241179.8	18111
157942.2	240679.8	18116
158942.2	240679.8	18117
159942.2	240679.8	18118
160942.2	240679.8	18119
161942.2	240679.8	18120
156942.2	240179.8	18123
157942.2	240179.8	18124
158942.2	240179.8	18125
159942.2	240179.8	18126
160942.2	240179.8	18127
161942.2	240179.8	18128
154942.2	239679.8	18129
155942.2	239679.8	18130
156942.2	239679.8	18131
157942.2	239679.8	18132
158942.2	239679.8	18133
159942.2	239679.8	18134
160942.2	239679.8	18135
161942.2	239679.8	18136
154942.2	239179.8	18137
155942.2	239179.8	18138
156942.2	239179.8	18139
157942.2	239179.8	18140
158942.2	239179.8	18141
159942.2	239179.8	18142
160942.2	239179.8	18143
154942.2	238679.8	18145
155942.2	238679.8	18146
156942.2	238679.8	18147
157942.2	238679.8	18148
158942.2	238679.8	18149
159942.2	238679.8	18150
160942.2	238679.8	18151
154942.2	238179.8	18153
155942.2	238179.8	18154
156942.2	238179.8	18155
157942.2	238179.8	18156
158942.2	238179.8	18157
159942.2	238179.8	18158
160942.2	238179.8	18159
177942.2	243679.8	26072
176942.2	243179.8	26079
177942.2	243179.8	26080
176942.2	242679.8	26087
177942.2	242679.8	26088
176942.2	242179.8	26095
177942.2	242179.8	26096
175942.2	241679.8	26102
176942.2	241679.8	26103
177942.2	241679.8	26104
174942.2	241179.8	26109
175942.2	241179.8	26110
176942.2	241179.8	26111
177942.2	241179.8	26112
174942.2	240679.8	26117
175942.2	240679.8	26118
176942.2	240679.8	26119
177942.2	240679.8	26120
174942.2	240179.8	26125
175942.2	240179.8	26126
176942.2	240179.8	26127
177942.2	240179.8	26128
173942.2	239679.8	26132
174942.2	239679.8	26133
175942.2	239679.8	26134
176942.2	239679.8	26135
177942.2	239679.8	26136
173942.2	239179.8	26140
174942.2	239179.8	26141
175942.2	239179.8	26142
176942.2	239179.8	26143
177942.2	239179.8	26144
172942.2	238679.8	26147
173942.2	238679.8	26148
174942.2	238679.8	26149
175942.2	238679.8	26150
176942.2	238679.8	26151
177942.2	238679.8	26152
172942.2	238179.8	26155
173942.2	238179.8	26156
174942.2	238179.8	26157
175942.2	238179.8	26158
176942.2	238179.8	26159
177942.2	238179.8	26160
178942.2	243179.8	27073
179942.2	243179.8	27074
178942.2	242679.8	27081
179942.2	242679.8	27082
180942.2	242679.8	27083
178942.2	242179.8	27089
179942.2	242179.8	27090
180942.2	242179.8	27091
178942.2	241679.8	27097
179942.2	241679.8	27098
180942.2	241679.8	27099
178942.2	241179.8	27105
179942.2	241179.8	27106
180942.2	241179.8	27107
181942.2	241179.8	27108
178942.2	240679.8	27113
179942.2	240679.8	27114
180942.2	240679.8	27115
181942.2	240679.8	27116
178942.2	240179.8	27121
179942.2	240179.8	27122
180942.2	240179.8	27123
181942.2	240179.8	27124
178942.2	239679.8	27129
179942.2	239679.8	27130
180942.2	239679.8	27131
181942.2	239679.8	27132
178942.2	239179.8	27137
179942.2	239179.8	27138
180942.2	239179.8	27139
181942.2	239179.8	27140
178942.2	238679.8	27145
179942.2	238679.8	27146
180942.2	238679.8	27147
181942.2	238679.8	27148
178942.2	238179.8	27153
179942.2	238179.8	27154
180942.2	238179.8	27155
181942.2	238179.8	27156
60942.18986	166679.7999	28819
195942.2	241679.8	35098
195942.2	241179.8	35106
194942.2	240679.8	35113
195942.2	240679.8	35114
194942.2	240179.8	35121
195942.2	240179.8	35122
196942.2	240179.8	35123
197942.2	240179.8	35124
198942.2	240179.8	35125
194942.2	239679.8	35129
195942.2	239679.8	35130
196942.2	239679.8	35131
197942.2	239679.8	35132
198942.2	239679.8	35133
194942.2	239179.8	35137
195942.2	239179.8	35138
196942.2	239179.8	35139
197942.2	239179.8	35140
198942.2	239179.8	35141
194942.2	238679.8	35145
195942.2	238679.8	35146
196942.2	238679.8	35147
197942.2	238679.8	35148
198942.2	238679.8	35149
199942.2	238679.8	35150
194942.2	238179.8	35153
195942.2	238179.8	35154
196942.2	238179.8	35155
197942.2	238179.8	35156
198942.2	238179.8	35157
199942.2	238179.8	35158
57942.19	220179.8	47128
56942.19	219679.8	47135
57942.19	219679.8	47136
56942.19	219179.8	47143
57942.19	219179.8	47144
55942.19	218679.8	47150
56942.19	218679.8	47151
57942.19	218679.8	47152
54942.19	218179.8	47157
55942.19	218179.8	47158
56942.19	218179.8	47159
57942.19	218179.8	47160
64942.19	224179.8	48063
65942.19	224179.8	48064
63942.19	223679.8	48070
64942.19	223679.8	48071
65942.19	223679.8	48072
62942.19	223179.8	48077
63942.19	223179.8	48078
64942.19	223179.8	48079
65942.19	223179.8	48080
61942.19	222679.8	48084
62942.19	222679.8	48085
63942.19	222679.8	48086
64942.19	222679.8	48087
65942.19	222679.8	48088
60942.19	222179.8	48091
61942.19	222179.8	48092
62942.19	222179.8	48093
63942.19	222179.8	48094
64942.19	222179.8	48095
65942.19	222179.8	48096
59942.19	221679.8	48098
60942.19	221679.8	48099
61942.19	221679.8	48100
62942.19	221679.8	48101
63942.19	221679.8	48102
64942.19	221679.8	48103
65942.19	221679.8	48104
58942.19	221179.8	48105
59942.19	221179.8	48106
60942.19	221179.8	48107
61942.19	221179.8	48108
62942.19	221179.8	48109
63942.19	221179.8	48110
64942.19	221179.8	48111
65942.19	221179.8	48112
58942.19	220679.8	48113
59942.19	220679.8	48114
60942.19	220679.8	48115
61942.19	220679.8	48116
62942.19	220679.8	48117
63942.19	220679.8	48118
64942.19	220679.8	48119
65942.19	220679.8	48120
58942.19	220179.8	48121
59942.19	220179.8	48122
60942.19	220179.8	48123
61942.19	220179.8	48124
62942.19	220179.8	48125
63942.19	220179.8	48126
64942.19	220179.8	48127
65942.19	220179.8	48128
58942.19	219679.8	48129
59942.19	219679.8	48130
60942.19	219679.8	48131
61942.19	219679.8	48132
62942.19	219679.8	48133
63942.19	219679.8	48134
64942.19	219679.8	48135
65942.19	219679.8	48136
58942.19	219179.8	48137
59942.19	219179.8	48138
60942.19	219179.8	48139
61942.19	219179.8	48140
62942.19	219179.8	48141
63942.19	219179.8	48142
64942.19	219179.8	48143
65942.19	219179.8	48144
58942.19	218679.8	48145
59942.19	218679.8	48146
60942.19	218679.8	48147
61942.19	218679.8	48148
62942.19	218679.8	48149
63942.19	218679.8	48150
64942.19	218679.8	48151
65942.19	218679.8	48152
58942.19	218179.8	48153
59942.19	218179.8	48154
60942.19	218179.8	48155
61942.19	218179.8	48156
62942.19	218179.8	48157
63942.19	218179.8	48158
64942.19	218179.8	48159
65942.19	218179.8	48160
78942.19	228679.8	52149
79942.19	228679.8	52150
76942.19	228179.8	52155
77942.19	228179.8	52156
78942.19	228179.8	52157
79942.19	228179.8	52158
73942.19	227179.8	55016
72942.19	226679.8	55023
73942.19	226679.8	55024
68942.19	226179.8	55027
70942.19	226179.8	55029
71942.19	226179.8	55030
72942.19	226179.8	55031
73942.19	226179.8	55032
67942.19	225679.8	55034
68942.19	225679.8	55035
69942.19	225679.8	55036
70942.19	225679.8	55037
71942.19	225679.8	55038
72942.19	225679.8	55039
73942.19	225679.8	55040
67942.19	225179.8	55042
70942.19	223679.8	55069
71942.19	223679.8	55070
72942.19	223679.8	55071
73942.19	223679.8	55072
66942.19	223179.8	55073
67942.19	223179.8	55074
68942.19	223179.8	55075
69942.19	223179.8	55076
70942.19	223179.8	55077
71942.19	223179.8	55078
72942.19	223179.8	55079
73942.19	223179.8	55080
66942.19	222679.8	55081
67942.19	222679.8	55082
68942.19	222679.8	55083
69942.19	222679.8	55084
70942.19	222679.8	55085
71942.19	222679.8	55086
72942.19	222679.8	55087
73942.19	222679.8	55088
66942.19	222179.8	55089
67942.19	222179.8	55090
68942.19	222179.8	55091
69942.19	222179.8	55092
70942.19	222179.8	55093
71942.19	222179.8	55094
72942.19	222179.8	55095
74942.19	222679.8	56081
75942.19	222679.8	56082
76942.19	222679.8	56083
77942.19	222679.8	56084
78942.19	222679.8	56085
79942.19	222679.8	56086
74942.19	222179.8	56089
75942.19	222179.8	56090
76942.19	222179.8	56091
77942.19	222179.8	56092
78942.19	222179.8	56093
79942.19	222179.8	56094
74942.19	221679.8	56097
75942.19	221679.8	56098
76942.19	221679.8	56099
77942.19	221679.8	56100
78942.19	221679.8	56101
79942.19	221679.8	56102
74942.19	221179.8	56105
75942.19	221179.8	56106
76942.19	221179.8	56107
77942.19	221179.8	56108
78942.19	221179.8	56109
79942.19	221179.8	56110
74942.19	220679.8	56113
75942.19	220679.8	56114
76942.19	220679.8	56115
77942.19	220679.8	56116
78942.19	220679.8	56117
79942.19	220679.8	56118
74942.19	220179.8	56121
75942.19	220179.8	56122
76942.19	220179.8	56123
77942.19	220179.8	56124
78942.19	220179.8	56125
79942.19	220179.8	56126
80942.19	220179.8	56127
74942.19	219679.8	56129
75942.19	219679.8	56130
76942.19	219679.8	56131
77942.19	219679.8	56132
78942.19	219679.8	56133
79942.19	219679.8	56134
80942.19	219679.8	56135
74942.19	219179.8	56137
75942.19	219179.8	56138
76942.19	219179.8	56139
77942.19	219179.8	56140
78942.19	219179.8	56141
79942.19	219179.8	56142
74942.19	218679.8	56145
75942.19	218679.8	56146
76942.19	218679.8	56147
77942.19	218679.8	56148
78942.19	218679.8	56149
79942.19	218679.8	56150
80942.19	218679.8	56151
74942.19	218179.8	56153
75942.19	218179.8	56154
76942.19	218179.8	56155
77942.19	218179.8	56156
