Telseizoen1	Wmax	type	x	v	m	sd	ci_min	ci_max
1991	22936	Zeeschelde + zijrivieren + Sigmagebieden	1991	22936	NA	NA	NA	NA
1992	30161	Zeeschelde + zijrivieren + Sigmagebieden	1992	30161	NA	NA	NA	NA
1993	35832	Zeeschelde + zijrivieren + Sigmagebieden	1993	35832	36304.6	10451.2437680881	45465.5190738275	27143.6809261725
1994	43093	Zeeschelde + zijrivieren + Sigmagebieden	1994	43093	40534.8	7571.11796236197	47171.1774963683	33898.4225036317
1995	49501	Zeeschelde + zijrivieren + Sigmagebieden	1995	49501	41777.2	5728.75145210542	46798.6720478585	36755.7279521415
1996	44087	Zeeschelde + zijrivieren + Sigmagebieden	1996	44087	46276.6	8195.54835261192	53460.3148658961	39092.8851341039
1997	36373	Zeeschelde + zijrivieren + Sigmagebieden	1997	36373	48448.6	8571.34673199025	55961.7166689687	40935.4833310313
1998	58329	Zeeschelde + zijrivieren + Sigmagebieden	1998	58329	47959.4	8566.06577140288	55467.8877029197	40450.9122970803
1999	53953	Zeeschelde + zijrivieren + Sigmagebieden	1999	53953	55848.8	17556.0064707211	71237.3181617277	40460.2818382723
2000	47055	Zeeschelde + zijrivieren + Sigmagebieden	2000	47055	64343.6	15981.6749372524	78352.1557291684	50335.0442708316
2001	83534	Zeeschelde + zijrivieren + Sigmagebieden	2001	83534	64679.8	15840.5749485301	78564.6761359367	50794.9238640633
2002	78847	Zeeschelde + zijrivieren + Sigmagebieden	2002	78847	64902	15659.2446018319	78627.9330791491	51176.0669208509
2003	60010	Zeeschelde + zijrivieren + Sigmagebieden	2003	60010	67667.6	12651.5018989842	78757.1303593297	56578.0696406703
2004	55064	Zeeschelde + zijrivieren + Sigmagebieden	2004	55064	60961.4	10904.9513203865	70520.0112779345	51402.7887220655
2005	60883	Zeeschelde + zijrivieren + Sigmagebieden	2005	60883	51110.8	12791.7878617494	62323.2964273503	39898.3035726497
2006	50003	Zeeschelde + zijrivieren + Sigmagebieden	2006	50003	44547.6	15264.0012545859	57927.0870102473	31168.1129897527
2007	29594	Zeeschelde + zijrivieren + Sigmagebieden	2007	29594	40011.6	14717.6845427533	52912.2192987258	27110.9807012742
2008	27194	Zeeschelde + zijrivieren + Sigmagebieden	2008	27194	33424.4	9479.24270709428	41733.3225787665	25115.4774212335
2009	32384	Zeeschelde + zijrivieren + Sigmagebieden	2009	32384	28752.8	2313.82922878937	30780.9607420084	26724.6392579916
2010	27947	Zeeschelde + zijrivieren + Sigmagebieden	2010	27947	29887	3764.44903007067	33186.6850601959	26587.3149398041
2011	26645	Zeeschelde + zijrivieren + Sigmagebieden	2011	26645	30397	3469.58232356576	33438.2229961777	27355.7770038223
2012	35265	Zeeschelde + zijrivieren + Sigmagebieden	2012	35265	30713.6	3756.57953462987	34006.3871433082	27420.8128566918
2013	29744	Zeeschelde + zijrivieren + Sigmagebieden	2013	29744	31459.4	3425.58787655491	34462.0601631114	28456.7398368886
2014	33967	Zeeschelde + zijrivieren + Sigmagebieden	2014	33967	31890.6	2733.93421647266	34286.9989995858	29494.2010004142
2015	31676	Zeeschelde + zijrivieren + Sigmagebieden	2015	31676	31054	1978.97359760053	32788.6468400455	29319.3531599545
2016	28801	Zeeschelde + zijrivieren + Sigmagebieden	2016	28801	30334.4	2976.93589114714	32943.7993587675	27725.0006412325
2017	31082	Zeeschelde + zijrivieren + Sigmagebieden	2017	31082	NA	NA	NA	NA
2018	26146	Zeeschelde + zijrivieren + Sigmagebieden	2018	26146	NA	NA	NA	NA
