pnv	Bostype
12	Wilgenvloedbos
14	Wilgenvloedbos
20	Elzenbroekbos
23	Elzenbroekbos
40	Elzen-vogelkersbos
43	Elzen-vogelkersbos
50	Eiken-haagbeukenbos
68	Eiken-beukenbos
69	Eiken-beukenbos
78	Arm eiken-beukenbos
79	Arm eiken-beukenbos
