IDPlots	pnv	label
18111	78	arme Eiken-Beukenbos en eikenbos, droge variant
27091	69	Eiken-Beukenbos, natte variant
35106	20	Elzenbroekbos
18127	69	Eiken-Beukenbos, natte variant
27113	79	arme Eiken-Beukenbos en eikenbos, natte variant
27124	78	arme Eiken-Beukenbos en eikenbos, droge variant
35114	79	arme Eiken-Beukenbos en eikenbos, natte variant
35124	79	arme Eiken-Beukenbos en eikenbos, natte variant
17144	79	arme Eiken-Beukenbos en eikenbos, natte variant
18135	69	Eiken-Beukenbos, natte variant
26148	NA	NA
27131	79	arme Eiken-Beukenbos en eikenbos, natte variant
27137	78	arme Eiken-Beukenbos en eikenbos, droge variant
27138	79	arme Eiken-Beukenbos en eikenbos, natte variant
27139	79	arme Eiken-Beukenbos en eikenbos, natte variant
27140	20	Elzenbroekbos
27145	79	arme Eiken-Beukenbos en eikenbos, natte variant
27148	69	Eiken-Beukenbos, natte variant
35129	79	arme Eiken-Beukenbos en eikenbos, natte variant
35132	79	arme Eiken-Beukenbos en eikenbos, natte variant
35140	79	arme Eiken-Beukenbos en eikenbos, natte variant
35145	79	arme Eiken-Beukenbos en eikenbos, natte variant
35148	78	arme Eiken-Beukenbos en eikenbos, droge variant
35149	79	arme Eiken-Beukenbos en eikenbos, natte variant
18159	79	arme Eiken-Beukenbos en eikenbos, natte variant
27154	78	arme Eiken-Beukenbos en eikenbos, droge variant
27156	40	Elzen-Vogelkersbos
35157	79	arme Eiken-Beukenbos en eikenbos, natte variant
91001	78	arme Eiken-Beukenbos en eikenbos, droge variant
73032	79	arme Eiken-Beukenbos en eikenbos, natte variant
74013	78	arme Eiken-Beukenbos en eikenbos, droge variant
74017	79	arme Eiken-Beukenbos en eikenbos, natte variant
74018	69	Eiken-Beukenbos, natte variant
74019	78	arme Eiken-Beukenbos en eikenbos, droge variant
74025	79	arme Eiken-Beukenbos en eikenbos, natte variant
74026	79	arme Eiken-Beukenbos en eikenbos, natte variant
83017	78	arme Eiken-Beukenbos en eikenbos, droge variant
83019	79	arme Eiken-Beukenbos en eikenbos, natte variant
