IDPlots	pnv	label
91009	79	arme Eiken-Beukenbos en eikenbos, natte variant
91017	79	arme Eiken-Beukenbos en eikenbos, natte variant
91022	79	arme Eiken-Beukenbos en eikenbos, natte variant
91025	79	arme Eiken-Beukenbos en eikenbos, natte variant
73040	79	arme Eiken-Beukenbos en eikenbos, natte variant
74034	78	arme Eiken-Beukenbos en eikenbos, droge variant
74041	79	arme Eiken-Beukenbos en eikenbos, natte variant
82037	79	arme Eiken-Beukenbos en eikenbos, natte variant
84048	79	arme Eiken-Beukenbos en eikenbos, natte variant
91044	78	arme Eiken-Beukenbos en eikenbos, droge variant
91045	79	arme Eiken-Beukenbos en eikenbos, natte variant
73054	69	Eiken-Beukenbos, natte variant
73062	69	Eiken-Beukenbos, natte variant
73063	78	arme Eiken-Beukenbos en eikenbos, droge variant
73064	78	arme Eiken-Beukenbos en eikenbos, droge variant
74049	79	arme Eiken-Beukenbos en eikenbos, natte variant
74050	79	arme Eiken-Beukenbos en eikenbos, natte variant
74057	79	arme Eiken-Beukenbos en eikenbos, natte variant
74058	79	arme Eiken-Beukenbos en eikenbos, natte variant
74065	78	arme Eiken-Beukenbos en eikenbos, droge variant
74066	78	arme Eiken-Beukenbos en eikenbos, droge variant
74067	20	Elzenbroekbos
74072	79	arme Eiken-Beukenbos en eikenbos, natte variant
81065	79	arme Eiken-Beukenbos en eikenbos, natte variant
81066	78	arme Eiken-Beukenbos en eikenbos, droge variant
82061	78	arme Eiken-Beukenbos en eikenbos, droge variant
83067	78	arme Eiken-Beukenbos en eikenbos, droge variant
83069	79	arme Eiken-Beukenbos en eikenbos, natte variant
83070	20	Elzenbroekbos
84070	78	arme Eiken-Beukenbos en eikenbos, droge variant
91052	NA	NA
91059	79	arme Eiken-Beukenbos en eikenbos, natte variant
91060	79	arme Eiken-Beukenbos en eikenbos, natte variant
91068	79	arme Eiken-Beukenbos en eikenbos, natte variant
73086	78	arme Eiken-Beukenbos en eikenbos, droge variant
74074	79	arme Eiken-Beukenbos en eikenbos, natte variant
74082	69	Eiken-Beukenbos, natte variant
74087	78	arme Eiken-Beukenbos en eikenbos, droge variant
74088	79	arme Eiken-Beukenbos en eikenbos, natte variant
81073	78	arme Eiken-Beukenbos en eikenbos, droge variant
81074	79	arme Eiken-Beukenbos en eikenbos, natte variant
81082	78	arme Eiken-Beukenbos en eikenbos, droge variant
83083	79	arme Eiken-Beukenbos en eikenbos, natte variant
83086	79	arme Eiken-Beukenbos en eikenbos, natte variant
84078	78	arme Eiken-Beukenbos en eikenbos, droge variant
84085	79	arme Eiken-Beukenbos en eikenbos, natte variant
91075	79	arme Eiken-Beukenbos en eikenbos, natte variant
91076	79	arme Eiken-Beukenbos en eikenbos, natte variant
91084	79	arme Eiken-Beukenbos en eikenbos, natte variant
74090	69	Eiken-Beukenbos, natte variant
81090	79	arme Eiken-Beukenbos en eikenbos, natte variant
81101	NA	NA
83091	79	arme Eiken-Beukenbos en eikenbos, natte variant
83094	79	arme Eiken-Beukenbos en eikenbos, natte variant
83102	78	arme Eiken-Beukenbos en eikenbos, droge variant
83103	78	arme Eiken-Beukenbos en eikenbos, droge variant
83108	79	arme Eiken-Beukenbos en eikenbos, natte variant
83112	79	arme Eiken-Beukenbos en eikenbos, natte variant
84093	78	arme Eiken-Beukenbos en eikenbos, droge variant
84097	20	Elzenbroekbos
84098	78	arme Eiken-Beukenbos en eikenbos, droge variant
84100	78	arme Eiken-Beukenbos en eikenbos, droge variant
84102	78	arme Eiken-Beukenbos en eikenbos, droge variant
91091	79	arme Eiken-Beukenbos en eikenbos, natte variant
91092	79	arme Eiken-Beukenbos en eikenbos, natte variant
91093	79	arme Eiken-Beukenbos en eikenbos, natte variant
91099	78	arme Eiken-Beukenbos en eikenbos, droge variant
91100	79	arme Eiken-Beukenbos en eikenbos, natte variant
91107	78	arme Eiken-Beukenbos en eikenbos, droge variant
91108	79	arme Eiken-Beukenbos en eikenbos, natte variant
73120	78	arme Eiken-Beukenbos en eikenbos, droge variant
74128	78	arme Eiken-Beukenbos en eikenbos, droge variant
74129	78	arme Eiken-Beukenbos en eikenbos, droge variant
74130	79	arme Eiken-Beukenbos en eikenbos, natte variant
74135	79	arme Eiken-Beukenbos en eikenbos, natte variant
81124	79	arme Eiken-Beukenbos en eikenbos, natte variant
81126	NA	NA
81131	79	arme Eiken-Beukenbos en eikenbos, natte variant
81133	NA	NA
82126	69	Eiken-Beukenbos, natte variant
83116	79	arme Eiken-Beukenbos en eikenbos, natte variant
83119	79	arme Eiken-Beukenbos en eikenbos, natte variant
83121	79	arme Eiken-Beukenbos en eikenbos, natte variant
83127	79	arme Eiken-Beukenbos en eikenbos, natte variant
83132	79	arme Eiken-Beukenbos en eikenbos, natte variant
84114	79	arme Eiken-Beukenbos en eikenbos, natte variant
84117	78	arme Eiken-Beukenbos en eikenbos, droge variant
84118	78	arme Eiken-Beukenbos en eikenbos, droge variant
84119	78	arme Eiken-Beukenbos en eikenbos, droge variant
84122	79	arme Eiken-Beukenbos en eikenbos, natte variant
84123	79	arme Eiken-Beukenbos en eikenbos, natte variant
84124	79	arme Eiken-Beukenbos en eikenbos, natte variant
84126	79	arme Eiken-Beukenbos en eikenbos, natte variant
84134	78	arme Eiken-Beukenbos en eikenbos, droge variant
84135	79	arme Eiken-Beukenbos en eikenbos, natte variant
85061	NA	NA
91115	79	arme Eiken-Beukenbos en eikenbos, natte variant
91116	79	arme Eiken-Beukenbos en eikenbos, natte variant
91123	79	arme Eiken-Beukenbos en eikenbos, natte variant
91124	79	arme Eiken-Beukenbos en eikenbos, natte variant
91125	79	arme Eiken-Beukenbos en eikenbos, natte variant
91130	79	arme Eiken-Beukenbos en eikenbos, natte variant
91131	79	arme Eiken-Beukenbos en eikenbos, natte variant
72144	NA	NA
74137	79	arme Eiken-Beukenbos en eikenbos, natte variant
74143	79	arme Eiken-Beukenbos en eikenbos, natte variant
74145	79	arme Eiken-Beukenbos en eikenbos, natte variant
74146	78	arme Eiken-Beukenbos en eikenbos, droge variant
81139	NA	NA
81140	NA	NA
81146	79	arme Eiken-Beukenbos en eikenbos, natte variant
83139	79	arme Eiken-Beukenbos en eikenbos, natte variant
83140	78	arme Eiken-Beukenbos en eikenbos, droge variant
83143	79	arme Eiken-Beukenbos en eikenbos, natte variant
83147	78	arme Eiken-Beukenbos en eikenbos, droge variant
83148	79	arme Eiken-Beukenbos en eikenbos, natte variant
84142	78	arme Eiken-Beukenbos en eikenbos, droge variant
91138	79	arme Eiken-Beukenbos en eikenbos, natte variant
91139	79	arme Eiken-Beukenbos en eikenbos, natte variant
91142	78	arme Eiken-Beukenbos en eikenbos, droge variant
91143	79	arme Eiken-Beukenbos en eikenbos, natte variant
91145	79	arme Eiken-Beukenbos en eikenbos, natte variant
91146	79	arme Eiken-Beukenbos en eikenbos, natte variant
91149	79	arme Eiken-Beukenbos en eikenbos, natte variant
91150	79	arme Eiken-Beukenbos en eikenbos, natte variant
91151	79	arme Eiken-Beukenbos en eikenbos, natte variant
73154	78	arme Eiken-Beukenbos en eikenbos, droge variant
74156	NA	NA
74157	NA	NA
77011	69	Eiken-Beukenbos, natte variant
77012	78	arme Eiken-Beukenbos en eikenbos, droge variant
77013	78	arme Eiken-Beukenbos en eikenbos, droge variant
77015	79	arme Eiken-Beukenbos en eikenbos, natte variant
77016	79	arme Eiken-Beukenbos en eikenbos, natte variant
78005	NA	NA
84156	20	Elzenbroekbos
85002	NA	NA
85004	NA	NA
86008	79	arme Eiken-Beukenbos en eikenbos, natte variant
87005	78	arme Eiken-Beukenbos en eikenbos, droge variant
87010	78	arme Eiken-Beukenbos en eikenbos, droge variant
87012	79	arme Eiken-Beukenbos en eikenbos, natte variant
87013	78	arme Eiken-Beukenbos en eikenbos, droge variant
88006	NA	NA
88011	79	arme Eiken-Beukenbos en eikenbos, natte variant
88012	79	arme Eiken-Beukenbos en eikenbos, natte variant
91153	79	arme Eiken-Beukenbos en eikenbos, natte variant
91158	78	arme Eiken-Beukenbos en eikenbos, droge variant
91159	79	arme Eiken-Beukenbos en eikenbos, natte variant
91160	78	arme Eiken-Beukenbos en eikenbos, droge variant
95001	79	arme Eiken-Beukenbos en eikenbos, natte variant
95004	79	arme Eiken-Beukenbos en eikenbos, natte variant
95005	79	arme Eiken-Beukenbos en eikenbos, natte variant
95007	78	arme Eiken-Beukenbos en eikenbos, droge variant
95008	NA	NA
95011	79	arme Eiken-Beukenbos en eikenbos, natte variant
95013	78	arme Eiken-Beukenbos en eikenbos, droge variant
95014	79	arme Eiken-Beukenbos en eikenbos, natte variant
95015	79	arme Eiken-Beukenbos en eikenbos, natte variant
56018	NA	NA
56019	NA	NA
77021	79	arme Eiken-Beukenbos en eikenbos, natte variant
77024	79	arme Eiken-Beukenbos en eikenbos, natte variant
77032	NA	NA
78017	79	arme Eiken-Beukenbos en eikenbos, natte variant
78019	78	arme Eiken-Beukenbos en eikenbos, droge variant
78022	78	arme Eiken-Beukenbos en eikenbos, droge variant
78025	78	arme Eiken-Beukenbos en eikenbos, droge variant
78028	78	arme Eiken-Beukenbos en eikenbos, droge variant
78029	NA	NA
78030	79	arme Eiken-Beukenbos en eikenbos, natte variant
85019	NA	NA
86029	69	Eiken-Beukenbos, natte variant
87019	78	arme Eiken-Beukenbos en eikenbos, droge variant
88024	79	arme Eiken-Beukenbos en eikenbos, natte variant
95021	79	arme Eiken-Beukenbos en eikenbos, natte variant
95022	79	arme Eiken-Beukenbos en eikenbos, natte variant
95024	NA	NA
95028	79	arme Eiken-Beukenbos en eikenbos, natte variant
95029	79	arme Eiken-Beukenbos en eikenbos, natte variant
95030	79	arme Eiken-Beukenbos en eikenbos, natte variant
96017	78	arme Eiken-Beukenbos en eikenbos, droge variant
96025	79	arme Eiken-Beukenbos en eikenbos, natte variant
76048	NA	NA
77038	79	arme Eiken-Beukenbos en eikenbos, natte variant
77040	79	arme Eiken-Beukenbos en eikenbos, natte variant
77048	79	arme Eiken-Beukenbos en eikenbos, natte variant
77056	79	arme Eiken-Beukenbos en eikenbos, natte variant
78033	79	arme Eiken-Beukenbos en eikenbos, natte variant
78035	NA	NA
78037	79	arme Eiken-Beukenbos en eikenbos, natte variant
78038	NA	NA
78039	79	arme Eiken-Beukenbos en eikenbos, natte variant
78041	79	arme Eiken-Beukenbos en eikenbos, natte variant
78042	78	arme Eiken-Beukenbos en eikenbos, droge variant
78044	79	arme Eiken-Beukenbos en eikenbos, natte variant
78045	79	arme Eiken-Beukenbos en eikenbos, natte variant
78046	79	arme Eiken-Beukenbos en eikenbos, natte variant
78048	NA	NA
78050	79	arme Eiken-Beukenbos en eikenbos, natte variant
78051	79	arme Eiken-Beukenbos en eikenbos, natte variant
78052	79	arme Eiken-Beukenbos en eikenbos, natte variant
78055	78	arme Eiken-Beukenbos en eikenbos, droge variant
78056	NA	NA
85034	NA	NA
85052	79	arme Eiken-Beukenbos en eikenbos, natte variant
86044	NA	NA
86053	79	arme Eiken-Beukenbos en eikenbos, natte variant
87042	78	arme Eiken-Beukenbos en eikenbos, droge variant
87048	NA	NA
87056	NA	NA
88037	79	arme Eiken-Beukenbos en eikenbos, natte variant
88040	79	arme Eiken-Beukenbos en eikenbos, natte variant
95033	79	arme Eiken-Beukenbos en eikenbos, natte variant
95041	20	Elzenbroekbos
95049	79	arme Eiken-Beukenbos en eikenbos, natte variant
95050	78	arme Eiken-Beukenbos en eikenbos, droge variant
95051	79	arme Eiken-Beukenbos en eikenbos, natte variant
95053	78	arme Eiken-Beukenbos en eikenbos, droge variant
96033	79	arme Eiken-Beukenbos en eikenbos, natte variant
96041	79	arme Eiken-Beukenbos en eikenbos, natte variant
96049	79	arme Eiken-Beukenbos en eikenbos, natte variant
48063	NA	NA
48064	NA	NA
48072	NA	NA
78058	79	arme Eiken-Beukenbos en eikenbos, natte variant
78059	78	arme Eiken-Beukenbos en eikenbos, droge variant
78060	79	arme Eiken-Beukenbos en eikenbos, natte variant
78064	79	arme Eiken-Beukenbos en eikenbos, natte variant
78067	79	arme Eiken-Beukenbos en eikenbos, natte variant
78068	79	arme Eiken-Beukenbos en eikenbos, natte variant
78070	79	arme Eiken-Beukenbos en eikenbos, natte variant
78072	78	arme Eiken-Beukenbos en eikenbos, droge variant
85064	79	arme Eiken-Beukenbos en eikenbos, natte variant
85065	79	arme Eiken-Beukenbos en eikenbos, natte variant
85067	78	arme Eiken-Beukenbos en eikenbos, droge variant
85068	78	arme Eiken-Beukenbos en eikenbos, droge variant
85069	79	arme Eiken-Beukenbos en eikenbos, natte variant
85070	78	arme Eiken-Beukenbos en eikenbos, droge variant
87058	NA	NA
87072	78	arme Eiken-Beukenbos en eikenbos, droge variant
88057	78	arme Eiken-Beukenbos en eikenbos, droge variant
88058	79	arme Eiken-Beukenbos en eikenbos, natte variant
88063	69	Eiken-Beukenbos, natte variant
88065	78	arme Eiken-Beukenbos en eikenbos, droge variant
95057	78	arme Eiken-Beukenbos en eikenbos, droge variant
95059	78	arme Eiken-Beukenbos en eikenbos, droge variant
95067	79	arme Eiken-Beukenbos en eikenbos, natte variant
95072	78	arme Eiken-Beukenbos en eikenbos, droge variant
96057	79	arme Eiken-Beukenbos en eikenbos, natte variant
96070	78	arme Eiken-Beukenbos en eikenbos, droge variant
77087	20	Elzenbroekbos
78073	79	arme Eiken-Beukenbos en eikenbos, natte variant
78076	79	arme Eiken-Beukenbos en eikenbos, natte variant
78078	79	arme Eiken-Beukenbos en eikenbos, natte variant
78080	79	arme Eiken-Beukenbos en eikenbos, natte variant
78083	78	arme Eiken-Beukenbos en eikenbos, droge variant
78085	79	arme Eiken-Beukenbos en eikenbos, natte variant
78087	79	arme Eiken-Beukenbos en eikenbos, natte variant
78088	79	arme Eiken-Beukenbos en eikenbos, natte variant
78091	79	arme Eiken-Beukenbos en eikenbos, natte variant
78095	79	arme Eiken-Beukenbos en eikenbos, natte variant
78096	78	arme Eiken-Beukenbos en eikenbos, droge variant
85081	79	arme Eiken-Beukenbos en eikenbos, natte variant
85091	79	arme Eiken-Beukenbos en eikenbos, natte variant
85092	79	arme Eiken-Beukenbos en eikenbos, natte variant
86095	79	arme Eiken-Beukenbos en eikenbos, natte variant
87075	69	Eiken-Beukenbos, natte variant
87081	79	arme Eiken-Beukenbos en eikenbos, natte variant
87082	79	arme Eiken-Beukenbos en eikenbos, natte variant
87088	78	arme Eiken-Beukenbos en eikenbos, droge variant
87090	79	arme Eiken-Beukenbos en eikenbos, natte variant
88082	79	arme Eiken-Beukenbos en eikenbos, natte variant
88092	NA	NA
95075	79	arme Eiken-Beukenbos en eikenbos, natte variant
95090	78	arme Eiken-Beukenbos en eikenbos, droge variant
96073	79	arme Eiken-Beukenbos en eikenbos, natte variant
96077	78	arme Eiken-Beukenbos en eikenbos, droge variant
96079	78	arme Eiken-Beukenbos en eikenbos, droge variant
96093	78	arme Eiken-Beukenbos en eikenbos, droge variant
96094	79	arme Eiken-Beukenbos en eikenbos, natte variant
78103	79	arme Eiken-Beukenbos en eikenbos, natte variant
78109	79	arme Eiken-Beukenbos en eikenbos, natte variant
85100	78	arme Eiken-Beukenbos en eikenbos, droge variant
85108	79	arme Eiken-Beukenbos en eikenbos, natte variant
85110	79	arme Eiken-Beukenbos en eikenbos, natte variant
85116	78	arme Eiken-Beukenbos en eikenbos, droge variant
85117	79	arme Eiken-Beukenbos en eikenbos, natte variant
85119	69	Eiken-Beukenbos, natte variant
86101	78	arme Eiken-Beukenbos en eikenbos, droge variant
86109	NA	NA
86112	78	arme Eiken-Beukenbos en eikenbos, droge variant
87100	79	arme Eiken-Beukenbos en eikenbos, natte variant
87107	78	arme Eiken-Beukenbos en eikenbos, droge variant
87108	79	arme Eiken-Beukenbos en eikenbos, natte variant
87110	78	arme Eiken-Beukenbos en eikenbos, droge variant
87111	78	arme Eiken-Beukenbos en eikenbos, droge variant
88105	79	arme Eiken-Beukenbos en eikenbos, natte variant
88113	40	Elzen-Vogelkersbos
96100	78	arme Eiken-Beukenbos en eikenbos, droge variant
96102	78	arme Eiken-Beukenbos en eikenbos, droge variant
96103	78	arme Eiken-Beukenbos en eikenbos, droge variant
96104	78	arme Eiken-Beukenbos en eikenbos, droge variant
96105	79	arme Eiken-Beukenbos en eikenbos, natte variant
96107	78	arme Eiken-Beukenbos en eikenbos, droge variant
96108	78	arme Eiken-Beukenbos en eikenbos, droge variant
96109	78	arme Eiken-Beukenbos en eikenbos, droge variant
96111	78	arme Eiken-Beukenbos en eikenbos, droge variant
96112	78	arme Eiken-Beukenbos en eikenbos, droge variant
105108	78	arme Eiken-Beukenbos en eikenbos, droge variant
47128	NA	NA
47136	NA	NA
48113	NA	NA
55115	NA	NA
78127	79	arme Eiken-Beukenbos en eikenbos, natte variant
78133	79	arme Eiken-Beukenbos en eikenbos, natte variant
78135	NA	NA
78136	79	arme Eiken-Beukenbos en eikenbos, natte variant
85118	69	Eiken-Beukenbos, natte variant
85124	78	arme Eiken-Beukenbos en eikenbos, droge variant
85126	69	Eiken-Beukenbos, natte variant
85127	69	Eiken-Beukenbos, natte variant
85128	78	arme Eiken-Beukenbos en eikenbos, droge variant
85133	78	arme Eiken-Beukenbos en eikenbos, droge variant
86113	78	arme Eiken-Beukenbos en eikenbos, droge variant
86117	79	arme Eiken-Beukenbos en eikenbos, natte variant
86125	79	arme Eiken-Beukenbos en eikenbos, natte variant
86134	20	Elzenbroekbos
86136	79	arme Eiken-Beukenbos en eikenbos, natte variant
87116	79	arme Eiken-Beukenbos en eikenbos, natte variant
87117	79	arme Eiken-Beukenbos en eikenbos, natte variant
87118	78	arme Eiken-Beukenbos en eikenbos, droge variant
87119	79	arme Eiken-Beukenbos en eikenbos, natte variant
87123	79	arme Eiken-Beukenbos en eikenbos, natte variant
87124	79	arme Eiken-Beukenbos en eikenbos, natte variant
87125	78	arme Eiken-Beukenbos en eikenbos, droge variant
87127	79	arme Eiken-Beukenbos en eikenbos, natte variant
87131	20	Elzenbroekbos
87133	78	arme Eiken-Beukenbos en eikenbos, droge variant
87135	69	Eiken-Beukenbos, natte variant
88114	69	Eiken-Beukenbos, natte variant
88118	79	arme Eiken-Beukenbos en eikenbos, natte variant
88121	79	arme Eiken-Beukenbos en eikenbos, natte variant
88123	78	arme Eiken-Beukenbos en eikenbos, droge variant
88126	79	arme Eiken-Beukenbos en eikenbos, natte variant
88127	79	arme Eiken-Beukenbos en eikenbos, natte variant
88129	79	arme Eiken-Beukenbos en eikenbos, natte variant
88134	79	arme Eiken-Beukenbos en eikenbos, natte variant
95119	79	arme Eiken-Beukenbos en eikenbos, natte variant
95120	79	arme Eiken-Beukenbos en eikenbos, natte variant
95122	78	arme Eiken-Beukenbos en eikenbos, droge variant
96116	78	arme Eiken-Beukenbos en eikenbos, droge variant
96117	78	arme Eiken-Beukenbos en eikenbos, droge variant
96119	78	arme Eiken-Beukenbos en eikenbos, droge variant
96123	78	arme Eiken-Beukenbos en eikenbos, droge variant
96124	79	arme Eiken-Beukenbos en eikenbos, natte variant
96125	78	arme Eiken-Beukenbos en eikenbos, droge variant
96126	78	arme Eiken-Beukenbos en eikenbos, droge variant
96127	79	arme Eiken-Beukenbos en eikenbos, natte variant
96130	79	arme Eiken-Beukenbos en eikenbos, natte variant
96134	78	arme Eiken-Beukenbos en eikenbos, droge variant
96135	79	arme Eiken-Beukenbos en eikenbos, natte variant
105115	78	arme Eiken-Beukenbos en eikenbos, droge variant
105122	78	arme Eiken-Beukenbos en eikenbos, droge variant
105123	79	arme Eiken-Beukenbos en eikenbos, natte variant
105124	78	arme Eiken-Beukenbos en eikenbos, droge variant
105130	78	arme Eiken-Beukenbos en eikenbos, droge variant
105131	79	arme Eiken-Beukenbos en eikenbos, natte variant
105132	78	arme Eiken-Beukenbos en eikenbos, droge variant
75149	NA	NA
77150	NA	NA
78140	78	arme Eiken-Beukenbos en eikenbos, droge variant
78141	40	Elzen-Vogelkersbos
78142	78	arme Eiken-Beukenbos en eikenbos, droge variant
78143	79	arme Eiken-Beukenbos en eikenbos, natte variant
78144	79	arme Eiken-Beukenbos en eikenbos, natte variant
78148	79	arme Eiken-Beukenbos en eikenbos, natte variant
78150	79	arme Eiken-Beukenbos en eikenbos, natte variant
78156	79	arme Eiken-Beukenbos en eikenbos, natte variant
78157	79	arme Eiken-Beukenbos en eikenbos, natte variant
78158	79	arme Eiken-Beukenbos en eikenbos, natte variant
78160	79	arme Eiken-Beukenbos en eikenbos, natte variant
85137	20	Elzenbroekbos
85138	79	arme Eiken-Beukenbos en eikenbos, natte variant
85143	78	arme Eiken-Beukenbos en eikenbos, droge variant
85145	20	Elzenbroekbos
85146	79	arme Eiken-Beukenbos en eikenbos, natte variant
85147	20	Elzenbroekbos
85148	79	arme Eiken-Beukenbos en eikenbos, natte variant
85153	79	arme Eiken-Beukenbos en eikenbos, natte variant
85155	79	arme Eiken-Beukenbos en eikenbos, natte variant
85156	20	Elzenbroekbos
86137	79	arme Eiken-Beukenbos en eikenbos, natte variant
86141	79	arme Eiken-Beukenbos en eikenbos, natte variant
86142	79	arme Eiken-Beukenbos en eikenbos, natte variant
86143	79	arme Eiken-Beukenbos en eikenbos, natte variant
86144	79	arme Eiken-Beukenbos en eikenbos, natte variant
86145	79	arme Eiken-Beukenbos en eikenbos, natte variant
86149	79	arme Eiken-Beukenbos en eikenbos, natte variant
86151	78	arme Eiken-Beukenbos en eikenbos, droge variant
86152	79	arme Eiken-Beukenbos en eikenbos, natte variant
86154	79	arme Eiken-Beukenbos en eikenbos, natte variant
86155	78	arme Eiken-Beukenbos en eikenbos, droge variant
86158	79	arme Eiken-Beukenbos en eikenbos, natte variant
86159	78	arme Eiken-Beukenbos en eikenbos, droge variant
87138	78	arme Eiken-Beukenbos en eikenbos, droge variant
87139	79	arme Eiken-Beukenbos en eikenbos, natte variant
87146	79	arme Eiken-Beukenbos en eikenbos, natte variant
87147	78	arme Eiken-Beukenbos en eikenbos, droge variant
87148	78	arme Eiken-Beukenbos en eikenbos, droge variant
87155	69	Eiken-Beukenbos, natte variant
87156	78	arme Eiken-Beukenbos en eikenbos, droge variant
88144	20	Elzenbroekbos
88146	NA	NA
88148	NA	NA
88150	79	arme Eiken-Beukenbos en eikenbos, natte variant
88155	NA	NA
88156	20	Elzenbroekbos
88160	20	Elzenbroekbos
95143	79	arme Eiken-Beukenbos en eikenbos, natte variant
96137	78	arme Eiken-Beukenbos en eikenbos, droge variant
96142	78	arme Eiken-Beukenbos en eikenbos, droge variant
96143	78	arme Eiken-Beukenbos en eikenbos, droge variant
96144	78	arme Eiken-Beukenbos en eikenbos, droge variant
96146	79	arme Eiken-Beukenbos en eikenbos, natte variant
96149	78	arme Eiken-Beukenbos en eikenbos, droge variant
96152	78	arme Eiken-Beukenbos en eikenbos, droge variant
96158	78	arme Eiken-Beukenbos en eikenbos, droge variant
98145	79	arme Eiken-Beukenbos en eikenbos, natte variant
98153	79	arme Eiken-Beukenbos en eikenbos, natte variant
98158	79	arme Eiken-Beukenbos en eikenbos, natte variant
105138	79	arme Eiken-Beukenbos en eikenbos, natte variant
105148	79	arme Eiken-Beukenbos en eikenbos, natte variant
105156	78	arme Eiken-Beukenbos en eikenbos, droge variant
153007	NA	NA
153016	NA	NA
154004	79	arme Eiken-Beukenbos en eikenbos, natte variant
154009	NA	NA
154013	79	arme Eiken-Beukenbos en eikenbos, natte variant
161011	40	Elzen-Vogelkersbos
161012	79	arme Eiken-Beukenbos en eikenbos, natte variant
162002	79	arme Eiken-Beukenbos en eikenbos, natte variant
162003	78	arme Eiken-Beukenbos en eikenbos, droge variant
162006	20	Elzenbroekbos
162008	78	arme Eiken-Beukenbos en eikenbos, droge variant
162009	79	arme Eiken-Beukenbos en eikenbos, natte variant
162016	78	arme Eiken-Beukenbos en eikenbos, droge variant
163003	20	Elzenbroekbos
163006	20	Elzenbroekbos
163008	20	Elzenbroekbos
163010	78	arme Eiken-Beukenbos en eikenbos, droge variant
163011	79	arme Eiken-Beukenbos en eikenbos, natte variant
164003	NA	NA
164006	78	arme Eiken-Beukenbos en eikenbos, droge variant
164010	NA	NA
164011	NA	NA
171004	78	arme Eiken-Beukenbos en eikenbos, droge variant
171009	78	arme Eiken-Beukenbos en eikenbos, droge variant
172002	78	arme Eiken-Beukenbos en eikenbos, droge variant
172003	79	arme Eiken-Beukenbos en eikenbos, natte variant
172004	79	arme Eiken-Beukenbos en eikenbos, natte variant
172005	79	arme Eiken-Beukenbos en eikenbos, natte variant
172006	78	arme Eiken-Beukenbos en eikenbos, droge variant
172007	78	arme Eiken-Beukenbos en eikenbos, droge variant
172011	NA	NA
172012	79	arme Eiken-Beukenbos en eikenbos, natte variant
173008	69	Eiken-Beukenbos, natte variant
173009	78	arme Eiken-Beukenbos en eikenbos, droge variant
173011	78	arme Eiken-Beukenbos en eikenbos, droge variant
173013	78	arme Eiken-Beukenbos en eikenbos, droge variant
174001	79	arme Eiken-Beukenbos en eikenbos, natte variant
174004	79	arme Eiken-Beukenbos en eikenbos, natte variant
174006	20	Elzenbroekbos
174008	78	arme Eiken-Beukenbos en eikenbos, droge variant
174012	79	arme Eiken-Beukenbos en eikenbos, natte variant
174016	78	arme Eiken-Beukenbos en eikenbos, droge variant
181003	79	arme Eiken-Beukenbos en eikenbos, natte variant
181004	78	arme Eiken-Beukenbos en eikenbos, droge variant
181012	78	arme Eiken-Beukenbos en eikenbos, droge variant
134040	78	arme Eiken-Beukenbos en eikenbos, droge variant
142033	NA	NA
152025	NA	NA
154019	78	arme Eiken-Beukenbos en eikenbos, droge variant
154021	78	arme Eiken-Beukenbos en eikenbos, droge variant
154027	69	Eiken-Beukenbos, natte variant
154032	20	Elzenbroekbos
