kwadrant	Schaal	aantal
Functies (n = 19)	Ecosysteem	9
Functies (n = 19)	Gen	0
Functies (n = 19)	Landschap	0
Functies (n = 19)	Soort	10
Samenstelling (n = 47)	Ecosysteem	17
Samenstelling (n = 47)	Gen	0
Samenstelling (n = 47)	Landschap	0
Samenstelling (n = 47)	Soort	30
Structuren (n = 19)	Ecosysteem	17
Structuren (n = 19)	Gen	0
Structuren (n = 19)	Landschap	2
Structuren (n = 19)	Soort	0
Voorraad (n = 69)	Ecosysteem	38
Voorraad (n = 69)	Gen	0
Voorraad (n = 69)	Landschap	9
Voorraad (n = 69)	Soort	22
