PNV.type	PNV.hoofdtype
12 - Getijden wilgenvloedbos of Elzenbroekbos	Wilgenvloedbos
14 - Getijden wilgenvloedbos of Elzen-vogelkersbos	Wilgenvloedbos
20 - Elzenbroekbos	Elzenbroekbos
23 - Elzenbroekbos kans op Bronbos	Elzenbroekbos
40 - Elzen-vogelkersbos	Elzen-vogelkersbos
43 - Elzen-vogelkersbos kans op Bronbos	Elzen-vogelkersbos
50 - Beukenbos, Eiken-Haagbeukenbos of rijke Eiken-beukenbos	Eiken-haagbeukenbos
68 - Typische Eiken-Beukenbos, droge variant	Eiken-beukenbos
69 - Typische Eiken-Beukenbos, natte variant	Eiken-beukenbos
78 - Arme Eiken-Beukenbos en Eikenbos, droge variant	Arm Eiken-beukenbos
79 - Arme Eiken-Beukenbos en Eikenbos, natte variant	Arm Eiken-beukenbos
