jaar	nevendoel	hoofddoel
2010	10.57930569	23.131076
2011	9.27957322	17.276311
2012	10.97923226	14.680934
2013	11.69138953	17.287972
2014	12.34962886	9.250507
2015	12.84701884	8.291759
2016	12.21929468	9.161335
2017	15.7020265	10.599228
