LandCover	OpeningStock	Loss	Gain
Crop	4679.2484	-281.9914	310.6574
Dune	41.374	-0.6852	1.0203
Estu	55.3964	-0.4282	0.833
For	1478.7494	-74.1077	74.7734
Gras	2551.4035	-405.7168	285.4132
Heath	87.2463	-9.5904	18.5661
Marsh	20.2998	-2.6551	3.1051
Sea	3467.1222	-0.1505	0.1408
Urb	4445.453	-67.8627	139.6401
Water	260.3165	-8.9102	17.9488
