klasse	aantal_meetplaatsen
niet afwijkend (< 603 ng/g vet)	12
licht afwijkend (603 - 1514 ng/g vet)	20
afwijkend (1514 - 3804 ng/g vet)	22
sterk afwijkend (>3804 ng/g vet)	46
