IDPlots	Periode	IDGroup	PlotWeight	StartPeriode	DateDendro	Reeks	Total	Totalrel	Totalcor	Totalrelcor	Max	FS	WL	HL	DW	Maxcor	FScor	WLcor	DWcor	FSrel	WLrel	HLrel	DWrel	FSrelcor	WLrelcor	DWrelcor	StandType	OwnerType	ForestType	ForestAge	Frag	pnv	Paired_1_2	fpnv	fPeriode	fpnvGroup	Weight	Year	Rand	FragInv
17144	1	17144_1	1	1	1999	6	16	0.266666666666667	11	0.211538461538462	60	12	2	0	2	52	8	1	2	0.6	0.08	NA	0.133333333333333	0.5	0.0476190476190476	0.133333333333333	loofhout	Private	NA	recent	0.3676269	79	FALSE	79	1	Arm Eiken-beukenbos	1	1999	Volledig in bos	0.6323731
17144	2	17144_2	0.66	2	2014	6	26	0.273684210526316	19	0.263888888888889	95	12	6	3	5	72	10	5	1	0.6	0.24	0.15	0.166666666666667	0.625	0.238095238095238	0.0666666666666667	loofhout	Private	I	recent	0.3676269	79	FALSE	79	2	Arm Eiken-beukenbos	0.66	2014	Rand	0.6323731
18111	1	18111_1	1	1	1999	4	10	0.166666666666667	6	0.115384615384615	60	8	0	0	2	52	4	0	2	0.4	0	NA	0.133333333333333	0.25	0	0.133333333333333	naaldhout	Private	NA	recent	0.6681299	78	TRUE	78	1	Arm Eiken-beukenbos	1	1999	Volledig in bos	0.3318701
18111	2	18111_1	1	1	2013	4	23	0.242105263157895	13	0.180555555555556	95	8	3	5	7	72	6	1	1	0.4	0.12	0.25	0.233333333333333	0.375	0.0476190476190476	0.0666666666666667	naaldhout	Private	I	recent	0.6681299	78	TRUE	78	2	Arm Eiken-beukenbos	1	2013	Volledig in bos	0.3318701
18127	1	18127_1	1	1	1999	4	14	0.233333333333333	9	0.173076923076923	60	10	3	0	1	52	6	2	1	0.5	0.12	NA	0.0666666666666667	0.375	0.0952380952380952	0.0666666666666667	naaldhout	Private	NA	oud	0.5314914	69	TRUE	69	1	Eiken-beukenbos	1	1999	Volledig in bos	0.4685086
18127	2	18127_1	1	1	2013	4	20	0.210526315789474	11	0.152777777777778	95	8	3	4	5	72	4	2	1	0.4	0.12	0.2	0.166666666666667	0.25	0.0952380952380952	0.0666666666666667	naaldhout	Private	I	oud	0.5314914	69	TRUE	69	2	Eiken-beukenbos	1	2013	Volledig in bos	0.4685086
18135	1	18135_1	1	1	1999	4	19	0.2	12	0.166666666666667	95	8	2	5	4	72	6	1	0	0.4	0.08	0.25	0.133333333333333	0.375	0.0476190476190476	0	naaldhout	Public	I	recent	0.7765124	69	TRUE	69	1	Eiken-beukenbos	1	1999	Volledig in bos	0.2234876
18135	2	18135_1	1	1	2013	4	27	0.284210526315789	18	0.25	95	12	7	4	4	72	8	6	0	0.6	0.28	0.2	0.133333333333333	0.5	0.285714285714286	0	naaldhout	Private	I	recent	0.7765124	69	TRUE	69	2	Eiken-beukenbos	1	2013	Volledig in bos	0.2234876
18159	2	18159_2	0.63	2	2013	4	14	0.147368421052632	10	0.138888888888889	95	6	2	4	2	72	4	2	0	0.3	0.08	0.2	0.0666666666666667	0.25	0.0952380952380952	0	loofhout	Public	D	NA	0.3692643	79	FALSE	79	2	Arm Eiken-beukenbos	0.63	2013	Rand	0.6307357
26148	1	26148_1	1	1	1998	1	24	0.252631578947368	18	0.25	95	13	3	3	5	72	11	3	1	0.65	0.12	0.15	0.166666666666667	0.6875	0.142857142857143	0.0666666666666667	loofhout	Private	I	recent	0.7211562	78	TRUE	78	1	Arm Eiken-beukenbos	1	1998	Volledig in bos	0.2788438
26148	2	26148_1	0.92	1	2010	1	20	0.210526315789474	13	0.180555555555556	95	10	5	1	4	72	8	4	0	0.5	0.2	0.05	0.133333333333333	0.5	0.19047619047619	0	loofhout	Private	I	recent	0.7211562	78	TRUE	78	2	Arm Eiken-beukenbos	0.92	2010	Rand	0.2788438
27091	1	27091_1	1	1	1998	9	13	0.216666666666667	8	0.153846153846154	60	10	2	0	1	52	6	1	1	0.5	0.08	NA	0.0666666666666667	0.375	0.0476190476190476	0.0666666666666667	loofhout	Public	NA	recent	0.510594	69	TRUE	69	1	Eiken-beukenbos	1	1998	Volledig in bos	0.489406
27091	2	27091_1	1	1	2017	9	17.46	0.183789473684211	12	0.166666666666667	95	7.46	3	4	3	72	5	2	1	0.373	0.12	0.2	0.1	0.3125	0.0952380952380952	0.0666666666666667	loofhout	Public	I	recent	0.510594	69	TRUE	69	2	Eiken-beukenbos	1	2017	Volledig in bos	0.489406
27113	1	27113_1	1	1	1998	9	23	0.242105263157895	15	0.208333333333333	95	14	1	4	4	72	10	1	0	0.7	0.04	0.2	0.133333333333333	0.625	0.0476190476190476	0	gemengd naaldhout	Private	I	recent	0.511302	79	TRUE	79	1	Arm Eiken-beukenbos	1	1998	Volledig in bos	0.488698
27113	2	27113_1	1	1	2017	9	17	0.188888888888889	11	0.164179104477612	90	10	0	2	5	67	8	0	1	0.5	0	0.1	0.166666666666667	0.5	0	0.0666666666666667	gemengd loofhout	Private	I	recent	0.511302	79	TRUE	79	2	Arm Eiken-beukenbos	1	2017	Volledig in bos	0.488698
27124	1	27124_1	1	1	1998	9	21	0.35	18	0.346153846153846	60	16	5	0	0	52	14	4	0	0.8	0.2	NA	0	0.875	0.19047619047619	0	naaldhout	Private	NA	recent	0.7424276	78	TRUE	78	1	Arm Eiken-beukenbos	1	1998	Volledig in bos	0.2575724
27124	2	27124_1	1	1	2017	9	29	0.305263157894737	23	0.319444444444444	95	11	12	1	5	72	9	12	1	0.55	0.48	0.05	0.166666666666667	0.5625	0.571428571428571	0.0666666666666667	naaldhout	Private	I	recent	0.7424276	78	TRUE	78	2	Arm Eiken-beukenbos	1	2017	Volledig in bos	0.2575724
27131	1	27131_1	1	1	1998	9	29	0.305263157894737	23	0.319444444444444	95	15	4	6	4	72	13	4	0	0.75	0.16	0.3	0.133333333333333	0.8125	0.19047619047619	0	loofhout	Private	I	recent	0.7859239	79	TRUE	79	1	Arm Eiken-beukenbos	1	1998	Volledig in bos	0.2140761
