klassenr	klasse	type	value
1	< 0,5	abund	29082550
2	0,5 - 0,6	abund	14709825
3	0,6 - 0,7	abund	49681885
4	0,7 - 0,8	abund	7203218
5	0,8 - 0,9	abund	23923283
6	> 0,9	abund	11590839
1	< 0,5	spec	29082550
2	0,5 - 0,6	spec	0
3	0,6 - 0,7	spec	64391710
4	0,7 - 0,8	spec	28840460
5	0,8 - 0,9	spec	0
6	> 0,9	spec	13876880
