teeltgroep	mediaan_nitraatresidu	score
aardappelen	> 80	5
bieten	20 - 40	2
blijvend gras	20 - 40	2
fruit	40 - 60	3
graan	40 - 60	3
groenten	> 80	5
mais	60 - 80	4
overig	40 - 60	3
sierteelt	> 80	5
tijdelijk gras	20 - 40	2
