teeltcombinaties	percentage_en_type_KLE.beheerovereenkomst	bescherming_of_biologische_landbouw	score
Blijvend grasland		Permanent grasland in VEN	2
Graan	Gemengde grasstrook triorand (25%)		2.29
Suikerbieten - braak - groenten	Houtkanten (25%)		2.95
