gebiedsaanduidingen	intensiteitsscore_vermindering
agromilieuklimaatmaatregelen met verminderd gebruik	vermindering met 1 klasse
biologische landbouw	steeds klasse 1
VEN en habitatrichtlijngebied (zonder afwijking)	steeds klasse 1
