teeltgroep	gemiddelde_seq	klasse	score
aardappelen	16.8	> 10	5
bieten	10.4	> 10	5
fruit	48.7	> 10	5
graan	4	> 0 - 2	2
gras	0.2	> 0 - 2	2
groenten	13	> 10	5
maïs	1.6	2 - 5	3
overig	3.3	2 - 5	3
sierteelt	25	> 10	5
