gebiedsaanduidingen	intensiteitsscore_vermindering
BO waterkwaliteit grasland en bieten	vermindering met 1 klasse
kwetsbaar gebied natuur (huiskavels en ontheffingen)	geen verandering
kwetsbaar gebied natuur (muv huiskavels en ontheffingen)	steeds klasse 1
