landgebruik	score
blijvend gras (ifv aantal jaren gras)	1 tem 2
bos, moeras en riet	1
gras (historisch permanent graslanden, permanente graslanden in VEN, ecologisch kwetsbare blijvende graslanden)	1
halfnatuurlijk grasland	1
heide en duin	1
hoogstam, laagstam en noten	1
korte omloophout	2
laaggroen	1
populier, hooggroen en houtige gewassen	1
