Landgebruik	bodemkoolstof	bodemerosie	bodemverdichting	gewasbescherming	nitraatresidu	bodemafdichting	totaal	klasse
aardappelen	4	4	5	5	5		4.6	zeer intensief
aardbeien - open lucht 	4	5	5	5	3		4.4	zeer intensief
andere blijvende teelten	4	5	4	3	3		3.8	intensief
andere nijverheidsgewassen	5	4	4	3	3		3.8	intensief
boomgaarden	1	3	4	5	3		3.2	intensief
boomkwekerijen - open lucht 	4	5	4	5	5		4.6	zeer intensief
braakland	1	3	3	1	1		1.8	extensief
cultuurgrasland blijvend	1.5	2	5	2	2		2.5	matig intensief
graan	1	4	4	3	3		3	intensief
groenten - open lucht	4	5	5	5	5		4.8	zeer intensief
kleinfruit - open lucht	4	5	5	5	3		4.4	zeer intensief
korrelmais	1	5	5	2	4		3.4	intensief
oliehoudende gewassen	3	4	4	3	3		3.4	intensief
overige voedergewassen	4	5	4	3	3		3.8	intensief
peulvruchten droog geoogst	3	5	4	3	3		3.6	intensief
sierteelt - open lucht	4	5	4	5	5		4.6	zeer intensief
snijmais	3	5	5	2	4		3.8	intensief
suikerbieten	3	4	5	5	2		3.8	intensief
teelten in serres						5	5	zeer intensief
tijdelijk weiden	2	3	5	2	2		2.8	matig intensief
tuinbouwzaden en -planten open lucht	4	5	4	5	5		4.6	zeer intensief
voederbieten	3	4	5	5	2		3.8	intensief
