jaar	trend	lw	up	aantal_dagen
1985	35.2691756307349	26.0102699090808	47.8239846806566	3.28333333333333
1986	35.8428112250072	28.4323440314382	45.1847063714119	14.7948275862069
1987	36.4017927069242	30.6038361038679	43.2981835277311	0.456034482758621
1988	36.8865815821363	32.0270193799273	42.4835007177831	0.807758620689655
1989	37.2287671421951	32.5589761302898	42.5683257784756	69.4551724137931
1990	37.3455681264784	32.7393350418605	42.5998712834632	72.5741379310345
1991	37.2495512273404	32.9874536218746	42.0623271666584	35.1387931034483
1992	37.0362004563767	33.270049495486	41.2286775957763	7.25689655172414
1993	36.7917952079681	33.4676952535691	40.4460535560993	22.7646551724138
1994	36.5587678966909	33.535154567603	39.8549977585403	19.7594827586207
1995	36.3390764228306	33.4670926652771	39.4575199128188	40.2715517241379
1996	36.1135029514634	33.1874236188328	39.2975697783684	63.4396551724138
1997	35.8809742424461	32.5562981072687	39.5451690589981	35.8465517241379
1998	35.720964912988	31.778261605737	40.1528362421361	12.2060344827586
1999	35.7162056029229	31.2855005872652	40.7743944870587	17.4301724137931
2000	35.9052972471229	31.3042717243467	41.1825702816652	2.99827586206897
2001	36.2969933830236	31.866386972453	41.343617956631	10.9379310344828
2002	36.8713843561367	32.8222348612587	41.4200614334957	1.65603448275862
2003	37.5714355952115	33.8546224597434	41.6963082179893	67.6379310344828
2004	38.309643576298	34.704019672129	42.2898789479897	26.9681034482759
2005	39.0865417435723	35.4790776161612	43.0608078936107	56.8181034482759
2006	39.8800856108347	36.2505404339286	43.873034975196	43.0120689655172
2007	40.7143459455742	37.0792819831	44.7057730657088	10.2344827586207
2008	41.6267687891735	37.9895746714458	45.6121947880012	9.18275862068966
2009	42.6148845474202	38.9557594866054	46.6177122182505	71.226724137931
2010	43.6393586316656	39.8269032428965	47.8167637129254	51.0646551724138
2011	44.7431962060229	40.5138630459652	49.4140389540078	47.7818965517241
2012	46.0031939677536	41.1813096133222	51.38966864109	17.0784482758621
2013	47.5204417399517	42.2489048806153	53.4497258459413	33.448275862069
2014	49.3551234393546	43.9313883915197	55.44846859846	14.0120689655172
2015	51.5542827132458	46.1592382260216	57.5798944744923	53.6206896551724
2016	54.1016569094123	48.2102229039176	60.713041841296	7.19396551724138
2017	56.9939878174601	49.3261866400874	65.8537557553026	60.95
2018	60.1579718628878	49.4400819927987	73.1993441916851	112.062068965517
