Soort	Populatietrend_korte_termijn	Populatietrend_lange_termijn	Beoordeling_areaal	Beoordeling_populatie	Beoordeling_leefgebied	Beoordeling_toekomstperspectieven	Globale_beoordeling
Bergeend	afname	sterke afname	gunstig	zeer ongunstig	gunstig	onbekend	zeer ongunstig
Goudplevier	onbekend	onbekend	gunstig	matig ongunstig	gunstig	gunstig	matig ongunstig
Grauwe Gans	potentiële toename	sterke toename	gunstig	gunstig	gunstig	gunstig	gunstig
Grote Zilverreiger	sterke toename	sterke toename	gunstig	gunstig	gunstig	gunstig	gunstig
Kemphaan	potentiële afname	sterke afname	gunstig	zeer ongunstig	gunstig	gunstig	zeer ongunstig
Kleine Rietgans	potentiële afname	toename	gunstig	matig ongunstig	gunstig	matig ongunstig	matig ongunstig
Kleine Zwaan	potentiële afname	potentiële toename	gunstig	gunstig	gunstig	matig ongunstig	matig ongunstig
Kluut	onbekend	onbekend	gunstig	matig ongunstig	gunstig	gunstig	matig ongunstig
Kolgans	sterke toename	sterke toename	gunstig	gunstig	gunstig	gunstig	gunstig
Krakeend	toename	sterke toename	gunstig	gunstig	gunstig	gunstig	gunstig
Kuifeend	stabiel	matige afname	gunstig	matig ongunstig	gunstig	gunstig	matig ongunstig
Pijlstaart	sterke afname	sterke afname	matig ongunstig	zeer ongunstig	matig ongunstig	matig ongunstig	zeer ongunstig
Slobeend	potentiële toename	toename	gunstig	gunstig	gunstig	gunstig	gunstig
Smient	potentiële afname	potentiële afname	gunstig	matig ongunstig	gunstig	gunstig	matig ongunstig
Steenloper	potentiële afname	afname	gunstig	matig ongunstig	gunstig	gunstig	matig ongunstig
Tafeleend	sterke afname	sterke afname	gunstig	zeer ongunstig	gunstig	matig ongunstig	zeer ongunstig
Toendrarietgans	sterke toename	sterke toename	gunstig	gunstig	gunstig	gunstig	gunstig
Wintertaling	afname	afname	gunstig	zeer ongunstig	gunstig	gunstig	zeer ongunstig
Wulp	potentiële toename	toename	gunstig	gunstig	gunstig	matig ongunstig	matig ongunstig
