Trend	Periode	Aantal
toename	korte termijn	4
toename	lange termijn	8
mogelijke toename	korte termijn	3
mogelijke toename	lange termijn	1
stabiel	korte termijn	1
stabiel	lange termijn	0
mogelijke afname	korte termijn	5
mogelijke afname	lange termijn	1
afname	korte termijn	4
afname	lange termijn	7
onbekend	korte termijn	2
onbekend	lange termijn	2
